iter,passed,in_band,k_peak,snr_like
0,False,False,,
1,False,False,,
2,False,False,,
3,True,True,15.56718777539391,3.9236853599267847
4,True,False,33.52932751623304,5.265337194488034
5,True,True,17.962139740839127,3.8894324072160926
6,True,True,17.962139740839127,3.296559561543226
7,False,False,,
8,False,False,,
9,True,True,15.56718777539391,3.1988753603159767
10,True,True,17.962139740839127,4.250005286634983
11,False,False,,
12,True,True,15.56718777539391,4.3971970090566534
13,False,False,,
14,True,True,17.962139740839127,3.679813922124696
15,True,True,16.76466375811652,3.287222932932754
16,False,False,,
17,False,False,,
18,False,False,,
19,False,False,,
20,False,False,,
21,False,False,,
22,True,True,15.56718777539391,3.172218008972362
23,False,False,,
24,False,False,,
25,False,False,,
26,True,False,33.52932751623304,3.4987342605532312
27,False,False,,
28,True,True,17.962139740839127,3.787091327488342
29,False,False,,
30,False,False,,
31,False,False,,
32,True,False,33.52932751623304,3.677456704408295
33,True,True,17.962139740839127,3.219877106941167
34,False,False,,
35,True,False,33.52932751623304,3.0208653988132546
36,True,True,17.962139740839127,3.9970194903090257
37,False,False,,
38,False,False,,
39,False,False,,
40,False,False,,
41,False,False,,
42,False,False,,
43,True,True,17.962139740839127,3.405882233217555
44,False,False,,
45,True,False,33.52932751623304,3.4070007042827504
46,False,False,,
47,False,False,,
48,False,False,,
49,False,False,,
50,True,True,15.56718777539391,3.474480540531712
51,False,False,,
52,False,False,,
53,False,False,,
54,False,False,,
55,False,False,,
56,True,True,17.962139740839127,3.0044971707018484
57,False,False,,
58,True,True,15.56718777539391,4.526727899165839
59,True,False,33.52932751623304,3.3738688245145947
60,True,True,17.962139740839127,5.3812378442105455
61,True,True,15.56718777539391,3.6750061572779766
62,False,False,,
63,True,True,15.56718777539391,3.84899397997045
64,False,False,,
65,True,True,15.56718777539391,6.007371564448672
66,False,False,,
67,True,True,17.962139740839127,3.3630435930523044
68,True,True,15.56718777539391,3.5066202181863915
69,True,True,15.56718777539391,3.939089717686211
70,False,False,,
71,False,False,,
72,True,True,15.56718777539391,3.919567421864474
73,True,True,16.76466375811652,3.625457675213175
74,False,False,,
75,False,False,,
76,False,False,,
77,True,True,15.56718777539391,3.453402990556863
78,False,False,,
79,False,False,,
80,False,False,,
81,False,False,,
82,False,False,,
83,False,False,,
84,False,False,,
85,True,True,15.56718777539391,4.651765983969391
86,False,False,,
87,False,False,,
88,False,False,,
89,False,False,,
90,True,False,33.52932751623304,3.47330780507644
91,True,True,15.56718777539391,3.336272271641795
92,False,False,,
93,False,False,,
94,False,False,,
95,False,False,,
96,False,False,,
97,True,True,15.56718777539391,5.0037544263854645
98,True,True,15.56718777539391,3.482032377635292
99,False,False,,
100,False,False,,
101,True,True,17.962139740839127,3.2142119285804855
102,False,False,,
103,True,True,15.56718777539391,4.180813688497039
104,True,False,22.752043671729563,3.750744171477922
105,True,True,15.56718777539391,3.6744012973953493
106,True,False,33.52932751623304,3.085973442326791
107,True,True,17.962139740839127,3.917705338021641
108,False,False,,
109,True,True,17.962139740839127,3.218117488265188
110,False,False,,
111,False,False,,
112,False,False,,
113,False,False,,
114,True,True,15.56718777539391,4.488695157425501
115,False,False,,
116,True,True,15.56718777539391,3.3740713621100173
117,True,True,15.56718777539391,4.3394531161308745
118,False,False,,
119,True,False,33.52932751623304,3.910761035346673
120,False,False,,
121,True,False,33.52932751623304,3.663554478401588
122,False,False,,
123,False,False,,
124,True,True,15.56718777539391,3.0410244704977525
125,False,False,,
126,False,False,,
127,False,False,,
128,True,True,15.56718777539391,4.261075795884576
129,False,False,,
130,False,False,,
131,False,False,,
132,False,False,,
133,False,False,,
134,True,True,15.56718777539391,3.799816647478084
135,False,False,,
136,False,False,,
137,True,True,15.56718777539391,3.5421391797644626
138,False,False,,
139,False,False,,
140,False,False,,
141,True,True,17.962139740839127,3.199641692589204
142,True,False,33.52932751623304,3.460795327095593
143,False,False,,
144,False,False,,
145,False,False,,
146,True,False,33.52932751623304,3.097470126634855
147,False,False,,
148,False,False,,
149,False,False,,
150,False,False,,
151,False,False,,
152,True,True,15.56718777539391,3.1448916430862446
153,False,False,,
154,False,False,,
155,False,False,,
156,False,False,,
157,False,False,,
158,False,False,,
159,False,False,,
160,True,True,17.962139740839127,4.179594399042746
161,False,False,,
162,False,False,,
163,True,True,17.962139740839127,3.548241788122198
164,True,True,15.56718777539391,3.9848423801475215
165,False,False,,
166,False,False,,
167,False,False,,
168,False,False,,
169,False,False,,
170,True,True,15.56718777539391,3.5911581806545025
171,True,False,33.52932751623304,3.353419485620068
172,True,True,15.56718777539391,3.4172493807583257
173,False,False,,
174,False,False,,
175,False,False,,
176,False,False,,
177,False,False,,
178,False,False,,
179,False,False,,
180,True,True,17.962139740839127,4.967461920861361
181,False,False,,
182,False,False,,
183,False,False,,
184,False,False,,
185,False,False,,
186,False,False,,
187,True,True,15.56718777539391,4.003464834341846
188,False,False,,
189,True,True,15.56718777539391,3.4817676539359805
190,False,False,,
191,True,True,15.56718777539391,4.019126731692654
192,False,False,,
193,False,False,,
194,True,True,15.56718777539391,3.5094809722161235
195,True,True,17.962139740839127,3.897754979110431
196,False,False,,
197,False,False,,
198,True,True,15.56718777539391,4.002989530452126
199,True,True,15.56718777539391,3.132914918297253
