region,k,n_eff,delta_chi2,amp,phase
B_high_sideband_Kst_signal,6.0,4.564707328107824,246.70484959811802,8.56258620126949,2.586673680147032
B_high_sideband_Kst_signal,6.02,4.579923019201517,235.86319978850588,8.417028077990278,2.587953458621904
B_high_sideband_Kst_signal,6.04,4.59513871029521,224.2299758642257,8.251245951840774,2.5895472192512137
B_high_sideband_Kst_signal,6.06,4.610354401388903,211.90017363340303,8.065101331349885,2.591464392988456
B_high_sideband_Kst_signal,6.08,4.6255700924825955,198.97716483439945,7.8585304244935035,2.593714709889545
B_high_sideband_Kst_signal,6.1,4.640785783576288,185.5718569642013,7.631548191393353,2.59630914874134
B_high_sideband_Kst_signal,6.12,4.656001474669981,171.8017036583551,7.384251171438844,2.5992610935096425
B_high_sideband_Kst_signal,6.14,4.671217165763673,157.7895777703743,7.116819030979827,2.602587787955114
B_high_sideband_Kst_signal,6.16,4.686432856857366,143.66252383841493,6.829514807936029,2.6063122265274647
B_high_sideband_Kst_signal,6.18,4.701648547951058,129.55041077491114,6.522683865574703,2.610465694057577
B_high_sideband_Kst_signal,6.2,4.716864239044752,115.5845091936826,6.1967516117043004,2.6150912885892215
B_high_sideband_Kst_signal,6.22,4.732079930138445,101.89602064043356,5.8522200961873825,2.62024896739717
B_high_sideband_Kst_signal,6.24,4.747295621232137,88.61458798336753,5.489663678171249,2.6260230156550772
B_high_sideband_Kst_signal,6.26,4.76251131232583,75.86681725503149,5.109724073805859,2.6325334897906543
B_high_sideband_Kst_signal,6.28,4.777727003419523,63.77484125976116,4.7131052963727065,2.639954425542175
B_high_sideband_Kst_signal,6.3,4.792942694513216,52.454954266355344,4.300569375695436,2.64854407175786
B_high_sideband_Kst_signal,6.32,4.808158385606908,42.01634513408135,3.8729345119532894,2.658697647399775
B_high_sideband_Kst_signal,6.34,4.823374076700601,32.55995335982152,3.4310790449025053,2.6710450402416415
B_high_sideband_Kst_signal,6.36,4.838589767794295,24.177468914607743,2.9759588961513757,2.6866454890529576
B_high_sideband_Kst_signal,6.38,4.853805458887987,16.950492522035347,2.5086580316472693,2.707413453127415
B_high_sideband_Kst_signal,6.4,4.86902114998168,10.949868406663882,2.030529744144942,2.7371726853732605
B_high_sideband_Kst_signal,6.42,4.884236841075372,6.235196706576971,1.5436366871111216,2.784756209265431
B_high_sideband_Kst_signal,6.44,4.899452532169065,2.8545279007921636,1.0524880805770545,2.8758278587708066
B_high_sideband_Kst_signal,6.46,4.914668223262757,0.8442369388285442,0.5748790613374085,3.12238073780756
B_high_sideband_Kst_signal,6.48,4.92988391435645,0.22907044483508798,0.28532599591279434,-2.0231527635031807
B_high_sideband_Kst_signal,6.5,4.945099605450143,1.0223565426567802,0.6233869347647069,-1.0052362528542083
B_high_sideband_Kst_signal,6.52,4.960315296543835,3.226363617399329,1.1305622152779278,-0.7834075240953308
B_high_sideband_Kst_signal,6.54,4.975530987637528,6.832791763197747,1.6656641404160304,-0.6984379817037727
B_high_sideband_Kst_signal,6.5600000000000005,4.990746678731222,11.823378799152124,2.2136799513100796,-0.6535561302254225
B_high_sideband_Kst_signal,6.58,5.005962369824914,18.170601564477693,2.770923648017952,-0.6255684933245601
B_high_sideband_Kst_signal,6.6,5.021178060918606,25.83845269777521,3.336004189456748,-0.6062955082610362
B_high_sideband_Kst_signal,6.62,5.0363937520123,34.7832732075949,3.9082960161802704,-0.5921417334065427
B_high_sideband_Kst_signal,6.64,5.051609443105992,44.95462177663285,4.487537758486271,-0.5812868250668872
B_high_sideband_Kst_signal,6.66,5.066825134199685,56.296162821992766,5.073698449304436,-0.5727140055150225
B_high_sideband_Kst_signal,6.68,5.082040825293378,68.7465567654981,5.666926784188721,-0.5658128720520941
B_high_sideband_Kst_signal,6.7,5.09725651638707,82.24033765671265,6.2675314059599145,-0.5601962401712649
B_high_sideband_Kst_signal,6.72,5.112472207480764,96.70876514635165,6.875974625658206,-0.5556076222353015
B_high_sideband_Kst_signal,6.74,5.1276878985744565,112.0806397477354,7.4928728588360665,-0.5518710177188066
B_high_sideband_Kst_signal,6.76,5.1429035896681485,128.2830722759245,8.119001018003944,-0.5488620381766651
B_high_sideband_Kst_signal,6.78,5.158119280761842,145.2422002579733,8.755299724832149,-0.5464904843475348
B_high_sideband_Kst_signal,6.8,5.173334971855534,162.88384591630165,9.402884944735701,-0.5446893980129884
B_high_sideband_Kst_signal,6.82,5.188550662949227,181.13411200383416,10.063060023948415,-0.5434079385121093
B_high_sideband_Kst_signal,6.84,5.20376635404292,199.91991329073426,10.73733033220973,-0.5426066050592604
B_high_sideband_Kst_signal,6.86,5.218982045136613,219.16944285413774,11.427420872953267,-0.5422539457515294
B_high_sideband_Kst_signal,6.88,5.234197736230305,238.81257349856605,12.135297361076734,-0.5423242365294264
B_high_sideband_Kst_signal,6.9,5.249413427323999,258.78119563761356,12.863191410446403,-0.5427958097412048
B_high_sideband_Kst_signal,6.92,5.264629118417691,279.00949380403836,13.61363063599712,-0.5436498283866286
B_high_sideband_Kst_signal,6.94,5.279844809511384,299.43416463632093,14.389474673202319,-0.5448693731806176
B_high_sideband_Kst_signal,6.96,5.295060500605076,319.9945797284963,15.19395836624044,-0.5464387540914765
B_high_sideband_Kst_signal,6.98,5.31027619169877,340.6328971416333,16.030743694024885,-0.548342986539195
B_high_sideband_Kst_signal,7.0,5.325491882792462,361.2941256741251,16.90398241448247,-0.550567391098397
B_high_sideband_Kst_signal,7.02,5.340707573886154,381.9261461894894,17.818391944411957,-0.5530972879682894
B_high_sideband_Kst_signal,7.04,5.355923264979847,402.47969441736495,18.77934769929015,-0.5559177658567008
B_high_sideband_Kst_signal,7.0600000000000005,5.3711389560735405,422.9083096892755,19.792996056353076,-0.5590135106509185
B_high_sideband_Kst_signal,7.08,5.386354647167233,443.16825405569034,20.866393362463477,-0.5623686831871068
B_high_sideband_Kst_signal,7.1,5.401570338260925,463.2184061652006,22.00767811051414,-0.5659668381478118
B_high_sideband_Kst_signal,7.12,5.416786029354618,483.02013417758644,23.226285735181772,-0.5697908779877368
B_high_sideband_Kst_signal,7.140000000000001,5.432001720448311,502.53715183797976,24.53321869602442,-0.5738230370634284
B_high_sideband_Kst_signal,7.16,5.447217411542003,521.7353616640466,25.941389018046234,-0.5780448919974687
B_high_sideband_Kst_signal,7.18,5.462433102635697,540.5826889977689,27.46605684358615,-0.582437394864957
B_high_sideband_Kst_signal,7.2,5.477648793729389,559.0489104520348,29.125397731155143,-0.5869809261387272
B_high_sideband_Kst_signal,7.22,5.492864484823082,577.1054800433376,30.94124484941498,-0.591655364536164
B_high_sideband_Kst_signal,7.24,5.508080175916774,594.7253560495847,32.94007214136103,-0.5964401710245867
B_high_sideband_Kst_signal,7.26,5.523295867010468,611.8828313691047,35.154314691687716,-0.6013144843027076
B_high_sideband_Kst_signal,7.28,5.538511558104161,628.553369887155,37.6241691098759,-0.6062572251122768
B_high_sideband_Kst_signal,7.3,5.553727249197853,644.7134510823744,40.40009031911338,-0.6112472067696587
B_high_sideband_Kst_signal,7.32,5.568942940291547,660.3404248314182,43.546320301739094,-0.6162632493585056
B_high_sideband_Kst_signal,7.34,5.584158631385239,675.4123780984082,47.145982793612326,-0.6212842951037184
B_high_sideband_Kst_signal,7.36,5.599374322478932,689.9080149297915,51.308618931290624,-0.6262895225609586
B_high_sideband_Kst_signal,7.38,5.614590013572624,703.8065509179469,56.18164612089937,-0.6312584574078807
B_high_sideband_Kst_signal,7.4,5.6298057046663175,717.0876230509675,61.968348841033894,-0.6361710778130679
B_high_sideband_Kst_signal,7.42,5.6450213957600095,729.7312156336702,68.95720066918716,-0.641007912582605
B_high_sideband_Kst_signal,7.4399999999999995,5.6602370868537015,741.7176027481328,77.57181949047346,-0.6457501305368132
B_high_sideband_Kst_signal,7.46,5.675452777947395,753.0273075224395,88.46074434042248,-0.6503796198431424
B_high_sideband_Kst_signal,7.48,5.690668469041088,763.6410782942221,102.66974119327105,-0.6548790563170779
B_high_sideband_Kst_signal,7.5,5.70588416013478,773.5398815923509,122.00116127192959,-0.6592319599919743
B_high_sideband_Kst_signal,7.52,5.721099851228472,782.7049117142524,149.84958688370946,-0.6634227395419916
