region,k,n_eff,delta_chi2,amp,phase
signal_B_signal_Kst,6.0,4.564707328107824,314.3339194997534,26.8271832149629,-0.9597068354511856
signal_B_signal_Kst,6.02,4.579923019201517,312.4599939155087,26.812544130822808,-0.9988626418337723
signal_B_signal_Kst,6.04,4.59513871029521,310.34310926910985,26.780180021927567,-1.0385955964652098
signal_B_signal_Kst,6.06,4.610354401388903,308.0377555159357,26.7316911303567,-1.0790396580897295
signal_B_signal_Kst,6.08,4.6255700924825955,305.6065405175541,26.669322606839422,-1.120329022368653
signal_B_signal_Kst,6.1,4.640785783576288,303.1197896614758,26.595990198492956,-1.162594674184523
signal_B_signal_Kst,6.12,4.656001474669981,300.6549339315825,26.515293609588674,-1.2059603783594954
signal_B_signal_Kst,6.14,4.671217165763673,298.2956972442407,26.431515249872316,-1.2505380633072103
signal_B_signal_Kst,6.16,4.686432856857366,296.1311003113515,26.34960172432741,-1.2964225980861055
signal_B_signal_Kst,6.18,4.701648547951058,294.25430419029726,26.275125192582802,-1.3436860361639236
signal_B_signal_Kst,6.2,4.716864239044752,292.7613217924518,26.214221757488968,-1.392371500999493
signal_B_signal_Kst,6.22,4.732079930138445,291.749629731763,26.173504476684915,-1.4424870162296914
signal_B_signal_Kst,6.24,4.747295621232137,291.3167158314245,26.159949577790115,-1.4939997255583608
signal_B_signal_Kst,6.26,4.76251131232583,291.5585992416527,26.180756111697836,-1.5468310824360691
signal_B_signal_Kst,6.28,4.777727003419523,292.5683603986181,26.24318162289945,-1.600853684422911
signal_B_signal_Kst,6.3,4.792942694513216,294.43471697709174,26.35435932066544,-1.6558904419361269
signal_B_signal_Kst,6.32,4.808158385606908,297.24067963579,26.52110536959276,-1.7117166687422471
signal_B_signal_Kst,6.34,4.823374076700601,301.0623178648966,26.7497277526111,-1.7680654418794943
signal_B_signal_Kst,6.36,4.838589767794295,305.96766181752173,27.04585004272979,-1.8246362133900798
signal_B_signal_Kst,6.38,4.853805458887987,312.0157608775189,27.414263737949312,-1.8811062171833592
signal_B_signal_Kst,6.4,4.86902114998168,319.25591414931114,27.858821194841465,-1.9371437881185514
