region,k1,k2,k3,n1,n2,n3,delta1,delta2,delta3,Q_low,Q_high,Q_mean,koide_error,integer_error_10_15_20,score
B_low_sideband_Kst_signal,13.2,19.5,25.740000000000002,10.042356121837212,14.835298816350429,19.582594437582568,49.88606138875548,71.06570061439015,44.53959067177857,0.6769230769230768,0.66,0.6684615384615384,0.012232677376283587,0.4507193411533073,38.8889036644191
B_low_sideband_Kst_signal,9.82,14.46,19.5,7.470904327003139,11.000944660739858,14.835298816350429,96.28759120898758,72.87552652025079,71.06570061439015,0.6791147994467496,0.6742738589211618,0.6766943291839557,0.014588536037156924,7.004491904915572,25.69976824465121
B_low_sideband_Kst_signal,9.82,14.46,18.259999999999998,7.470904327003139,11.000944660739858,13.891925968541477,96.28759120898758,72.87552652025079,64.68592031281878,0.6791147994467496,0.6313969571230981,0.6552558782849238,0.03740198418531117,7.726405173391728,20.159482043765628
B_low_sideband_Kst_signal,13.2,19.5,24.42,10.042356121837212,14.835298816350429,18.578358825398848,49.88606138875548,71.06570061439015,71.17515820548033,0.6769230769230768,0.6261538461538463,0.6515384615384616,0.041790938937188216,1.4317765713525288,26.654112952185425
B_low_sideband_Kst_signal,9.82,15.76,20.78,7.470904327003139,11.989964581829886,15.809103046346767,96.28759120898758,101.85492613306815,57.69501060409311,0.6230964467005076,0.659263959390863,0.6411802030456852,0.04419461667342213,5.746325383925794,24.080321318797775
B_low_sideband_Kst_signal,6.06,9.82,13.2,4.610354401388903,7.470904327003139,10.042356121837212,194.33429987507225,96.28759120898758,49.88606138875548,0.6171079429735234,0.6720977596741343,0.6446028513238289,0.04985542964762289,13.597434792492328,20.10410709239792
B_low_sideband_Kst_signal,9.82,14.46,20.78,7.470904327003139,11.000944660739858,15.809103046346767,96.28759120898758,72.87552652025079,57.69501060409311,0.6791147994467496,0.7185338865836791,0.6988243430152143,0.053340083536026754,6.320789966908919,19.321711992170663
B_low_sideband_Kst_signal,14.46,20.78,25.740000000000002,11.000944660739858,15.809103046346767,19.582594437582568,72.87552652025079,57.69501060409311,44.53959067177857,0.6958614051973051,0.6193455245428297,0.6576034648700674,0.05560236730371042,1.353057780365739,21.3941051590907
B_low_sideband_Kst_signal,13.2,18.259999999999998,24.42,10.042356121837212,13.891925968541477,18.578358825398848,49.88606138875548,64.68592031281878,71.17515820548033,0.7228915662650602,0.6686746987951809,0.6957831325301206,0.0562607458880398,1.8029658148648235,21.66961043640239
B_low_sideband_Kst_signal,13.2,20.78,25.740000000000002,10.042356121837212,15.809103046346767,19.582594437582568,49.88606138875548,57.69501060409311,44.53959067177857,0.6352261790182867,0.6193455245428297,0.6272858517805582,0.05681368457926584,0.9114105464617578,19.147718472695043
B_low_sideband_Kst_signal,8.06,13.2,17.04,6.1319235107581775,10.042356121837212,12.96376881182622,536.36302752763,49.88606138875548,75.01120895702115,0.6106060606060607,0.6454545454545455,0.6280303030303032,0.059939516499552814,9.43656706025765,45.37606073795239
B_low_sideband_Kst_signal,8.06,13.2,18.259999999999998,6.1319235107581775,10.042356121837212,13.891925968541477,536.36302752763,49.88606138875548,64.68592031281878,0.6106060606060607,0.6916666666666667,0.6511363636363636,0.06138233908774124,8.766345699496927,45.91021665772527
B_low_sideband_Kst_signal,9.82,15.76,19.5,7.470904327003139,11.989964581829886,14.835298816350429,96.28759120898758,101.85492613306815,71.06570061439015,0.6230964467005076,0.6186548223350253,0.6208756345177664,0.06483441419512666,6.490822479331973,21.146383298130893
B_low_sideband_Kst_signal,13.2,18.259999999999998,25.740000000000002,10.042356121837212,13.891925968541477,19.582594437582568,49.88606138875548,64.68592031281878,44.53959067177857,0.7228915662650602,0.7048192771084338,0.713855421686747,0.06794748721160103,1.1848415521861333,17.709183563354987
B_low_sideband_Kst_signal,14.46,19.5,25.740000000000002,11.000944660739858,14.835298816350429,19.582594437582568,72.87552652025079,71.06570061439015,44.53959067177857,0.7415384615384616,0.66,0.7007692307692308,0.07516801255699518,1.096924836666675,19.92335613085154
