region,k,n_eff,delta_chi2,amp,phase
B_high_sideband_Kst_signal,6.0,4.564707328107824,380.4721931325039,10.750135560767442,2.7107637232981094
B_high_sideband_Kst_signal,6.02,4.579923019201517,364.74932156542127,10.586937165701137,2.720809381478182
B_high_sideband_Kst_signal,6.04,4.59513871029521,347.94060918461037,10.400921864876837,2.7315875129343117
B_high_sideband_Kst_signal,6.06,4.610354401388903,330.17458761169473,10.191974766102216,2.743175517678114
B_high_sideband_Kst_signal,6.08,4.6255700924825955,311.5912443609668,9.960093315988066,2.755661814605388
B_high_sideband_Kst_signal,6.1,4.640785783576288,292.3408997037186,9.705396879306939,2.7691493036124095
B_high_sideband_Kst_signal,6.12,4.656001474669981,272.58287028309496,9.428136022990666,2.783759722887178
B_high_sideband_Kst_signal,6.14,4.671217165763673,252.48393565591687,9.128701858259204,2.7996392171034112
B_high_sideband_Kst_signal,6.16,4.686432856857366,232.21663071466173,8.807636024248927,2.8169655607420037
B_high_sideband_Kst_signal,6.18,4.701648547951058,211.9573931933337,8.465642227083421,2.835957668274949
B_high_sideband_Kst_signal,6.2,4.716864239044752,191.88460090125955,8.10360073390322,2.856888299703775
B_high_sideband_Kst_signal,6.22,4.732079930138445,172.17653769780736,7.722587951102955,2.8801012826103753
B_high_sideband_Kst_signal,6.24,4.747295621232137,153.0093303003814,7.323904338708581,2.9060351921093606
B_high_sideband_Kst_signal,6.26,4.76251131232583,134.55489964708977,6.909115680151173,2.935256365842326
B_high_sideband_Kst_signal,6.28,4.777727003419523,116.97897062151605,6.48011556851783,2.9685055372751865
B_high_sideband_Kst_signal,6.3,4.792942694513216,100.43918247748297,6.039221622992759,3.006764442631934
B_high_sideband_Kst_signal,6.32,4.808158385606908,85.08333934077382,5.589325660273112,3.051351650693065
B_high_sideband_Kst_signal,6.34,4.823374076700601,71.04783585568657,5.1341308441618265,3.1040603543142127
B_high_sideband_Kst_signal,6.36,4.838589767794295,58.45628759610554,4.678529644716641,-3.115832150201158
B_high_sideband_Kst_signal,6.38,4.853805458887987,47.41838953684055,4.2292079027752,-3.038562381029363
B_high_sideband_Kst_signal,6.4,4.86902114998168,38.02901898026175,3.795597897397594,-2.9426936210930017
B_high_sideband_Kst_signal,6.42,4.884236841075372,30.367592172104196,3.391307996247811,-2.8221977158724636
B_high_sideband_Kst_signal,6.44,4.899452532169065,24.497676730115927,3.0359706754119666,-2.670107193013844
B_high_sideband_Kst_signal,6.46,4.914668223262757,20.466855241771555,2.75664548866899,-2.480824996850677
B_high_sideband_Kst_signal,6.48,4.92988391435645,18.306829214230675,2.5860052848736528,-2.2556164435802266
B_high_sideband_Kst_signal,6.5,4.945099605450143,18.03374718521445,2.5532791454229993,-2.0090266676483624
B_high_sideband_Kst_signal,6.52,4.960315296543835,19.64873637349956,2.6699333717097935,-1.7669429123818876
B_high_sideband_Kst_signal,6.54,4.975530987637528,23.13861384871052,2.923464691318758,-1.5527103002720493
B_high_sideband_Kst_signal,6.5600000000000005,4.990746678731222,28.476750860492757,3.2867305521146672,-1.3762011229913496
B_high_sideband_Kst_signal,6.58,5.005962369824914,35.62406266220205,3.7314616216868814,-1.2357008507112504
B_high_sideband_Kst_signal,6.6,5.021178060918606,44.53009582353843,4.235173067444733,-1.1247405201014844
B_high_sideband_Kst_signal,6.62,5.0363937520123,55.13418554582677,4.781990860492914,-1.0365215371388599
B_high_sideband_Kst_signal,6.64,5.051609443105992,67.36665674300457,5.3612325225876,-0.9654613125124222
B_high_sideband_Kst_signal,6.66,5.066825134199685,81.15004448713444,5.965826285911476,-0.9073605371316666
B_high_sideband_Kst_signal,6.68,5.082040825293378,96.400311691963,6.591128186614522,-0.8591542242935529
B_high_sideband_Kst_signal,6.7,5.09725651638707,113.0280444785858,7.2341366898474595,-0.81861694888951
B_high_sideband_Kst_signal,6.72,5.112472207480764,130.939608399789,7.892991600467343,-0.7841229574049347
B_high_sideband_Kst_signal,6.74,5.1276878985744565,150.03825147868338,8.566657352695877,-0.7544712366064753
B_high_sideband_Kst_signal,6.76,5.1429035896681485,170.2251427430856,9.25472262477866,-0.7287627769300696
B_high_sideband_Kst_signal,6.78,5.158119280761842,191.40033753186435,9.957273511150056,-0.7063153501269508
B_high_sideband_Kst_signal,6.8,5.173334971855534,213.4636632556212,10.674814074681677,-0.68660419251961
B_high_sideband_Kst_signal,6.82,5.188550662949227,236.3155214705257,11.408218352046482,-0.6692203640524012
B_high_sideband_Kst_signal,6.84,5.20376635404292,259.85760404995017,12.158704125704793,-0.6538411782427096
B_high_sideband_Kst_signal,6.86,5.218982045136613,283.9935229049661,12.92782260102598,-0.6402089348697036
B_high_sideband_Kst_signal,6.88,5.234197736230305,308.6293541155901,13.717460521290747,-0.6281154228011886
B_high_sideband_Kst_signal,6.9,5.249413427323999,333.67409850294644,14.529852805658166,-0.6173904805069944
B_high_sideband_Kst_signal,6.92,5.264629118417691,359.0400616172119,15.367604857328033,-0.6078934456489049
B_high_sideband_Kst_signal,6.94,5.279844809511384,384.6431568612534,16.23372447527129,-0.5995066876595038
B_high_sideband_Kst_signal,6.96,5.295060500605076,410.40313603908726,17.131663949030134,-0.5921306609512929
B_high_sideband_Kst_signal,6.98,5.31027619169877,436.243752039074,18.065373515191986,-0.5856800819410625
B_high_sideband_Kst_signal,7.0,5.325491882792462,462.0928586563423,19.039367977623932,-0.5800809467498318
B_high_sideband_Kst_signal,7.02,5.340707573886154,487.88245275173904,20.058809005403802,-0.5752681853676845
B_high_sideband_Kst_signal,7.04,5.355923264979847,513.5486640530326,21.129606489866454,-0.5711838034747831
B_high_sideband_Kst_signal,7.0600000000000005,5.3711389560735405,539.0316979466988,22.25854344579647,-0.5677754024026077
B_high_sideband_Kst_signal,7.08,5.386354647167233,564.2757365970538,23.453430386549407,-0.5649949958568667
B_high_sideband_Kst_signal,7.1,5.401570338260925,589.2288036755635,24.723297033200005,-0.5627980623484913
B_high_sideband_Kst_signal,7.12,5.416786029354618,613.8425978932719,26.078631838986748,-0.5611427870721695
B_high_sideband_Kst_signal,7.140000000000001,5.432001720448311,638.0723004099709,27.53168342100777,-0.5599894578062636
B_high_sideband_Kst_signal,7.16,5.447217411542003,661.8763610472743,29.096843034003616,-0.5592999873813472
B_high_sideband_Kst_signal,7.18,5.462433102635697,685.2162680627516,30.791134363825293,-0.5590375411518038
B_high_sideband_Kst_signal,7.2,5.477648793729389,708.0563060482164,32.634847185474214,-0.5591662522605858
B_high_sideband_Kst_signal,7.22,5.492864484823082,730.3633063000998,34.65236642372672,-0.5596510107122711
B_high_sideband_Kst_signal,7.24,5.508080175916774,752.1063937726285,36.87327042500981,-0.560457314659548
B_high_sideband_Kst_signal,7.26,5.523295867010468,773.2567344676063,39.3338059503052,-0.561551174082357
B_high_sideband_Kst_signal,7.28,5.538511558104161,793.787286839055,42.07889944735995,-0.5628990583632758
B_high_sideband_Kst_signal,7.3,5.553727249197853,813.6725604996391,45.16494637347713,-0.5644678802633704
B_high_sideband_Kst_signal,7.32,5.568942940291547,832.8883852108556,48.663753482855654,-0.5662250095769338
B_high_sideband_Kst_signal,7.34,5.584158631385239,851.4116928250005,52.66823071602372,-0.5681383103652882
B_high_sideband_Kst_signal,7.36,5.599374322478932,869.2203145271778,57.300810346293645,-0.5701761961959443
B_high_sideband_Kst_signal,7.38,5.614590013572624,886.292795404981,62.726249542219776,-0.5723076982857498
B_high_sideband_Kst_signal,7.4,5.6298057046663175,902.6082280566043,69.17173109088085,-0.5745025418951244
B_high_sideband_Kst_signal,7.42,5.6450213957600095,918.1461066390839,76.95962457745082,-0.5767312267652008
B_high_sideband_Kst_signal,7.4399999999999995,5.6602370868537015,932.886202461752,86.56330118621099,-0.5789651078418273
B_high_sideband_Kst_signal,7.46,5.675452777947395,946.808461949342,98.70744154797144,-0.5811764729947608
B_high_sideband_Kst_signal,7.48,5.690668469041088,959.8929275375594,114.56055387383616,-0.5833386149157762
B_high_sideband_Kst_signal,7.5,5.70588416013478,972.119681823453,136.13648743604293,-0.5854258948610095
B_high_sideband_Kst_signal,7.52,5.721099851228472,983.468815075139,167.22810605530373,-0.5874137963824435
B_high_sideband_Kst_signal,7.54,5.736315542322166,993.9204160104637,215.92929370125785,-0.5892789676618971
B_high_sideband_Kst_signal,7.5600000000000005,5.751531233415859,1003.4545855820106,303.14510375754725,-0.5909992515078144
B_high_sideband_Kst_signal,7.58,5.766746924509551,1012.0514733538403,504.5406116813818,-0.5925537024915385
B_high_sideband_Kst_signal,7.6,5.781962615603243,1019.6913359233731,1470.085820017873,-0.5939225910768137
B_high_sideband_Kst_signal,7.62,5.797178306696937,1026.354616724293,1646.8210707741882,2.54650525866227
B_high_sideband_Kst_signal,7.640000000000001,5.81239399779063,1032.022046441296,531.608278272738,2.5455618757301752
B_high_sideband_Kst_signal,7.66,5.827609688884322,1036.674763172654,318.2627354403013,2.5448560964585245
B_high_sideband_Kst_signal,7.68,5.842825379978016,1040.2944513814182,227.74255422406526,2.54440299365003
B_high_sideband_Kst_signal,7.7,5.858041071071708,1042.8634985860044,177.6672042755161,2.5442165834732076
B_high_sideband_Kst_signal,7.72,5.873256762165401,1044.3651686418198,145.86461274052854,2.5443098875038173
B_high_sideband_Kst_signal,7.74,5.8884724532590935,1044.7837903605396,123.86379205164545,2.544695002407923
B_high_sideband_Kst_signal,7.76,5.903688144352786,1044.104960095552,107.72779089074525,2.545383176181669
B_high_sideband_Kst_signal,7.78,5.9189038354464785,1042.3157567891794,95.3781235499199,2.5463848899063475
B_high_sideband_Kst_signal,7.8,5.934119526540172,1039.4049678269366,85.61385005041943,2.5477099440486533
B_high_sideband_Kst_signal,7.82,5.949335217633865,1035.3633238751681,77.69262730414886,2.549367548429278
B_high_sideband_Kst_signal,7.84,5.964550908727557,1030.1837406906525,71.13085704068008,2.5513664150930104
B_high_sideband_Kst_signal,7.86,5.979766599821251,1023.8615656845286,65.5999707792111,2.5537148534350904
B_high_sideband_Kst_signal,7.88,5.994982290914943,1016.3948268009626,60.8689031681266,2.5564208670676254
B_high_sideband_Kst_signal,7.9,6.010197982008636,1007.7844810364331,56.770414315723706,2.5594922520428356
B_high_sideband_Kst_signal,7.92,6.025413673102328,998.0346596828713,53.180471853742375,2.5629366961837317
B_high_sideband_Kst_signal,7.9399999999999995,6.04062936419602,987.1529071346595,50.00514320117877,2.5667618794056106
B_high_sideband_Kst_signal,7.96,6.055845055289714,975.150409861646,47.17198933996868,2.570975575041627
B_high_sideband_Kst_signal,7.98,6.071060746383407,962.0422119284485,44.62425436374261,2.575585752312097
B_high_sideband_Kst_signal,8.0,6.086276437477099,947.8474132439915,42.316845813950394,2.5806006801993053
B_high_sideband_Kst_signal,8.02,6.101492128570792,932.5893465656736,40.213493516113324,2.5860290331076414
B_high_sideband_Kst_signal,8.04,6.116707819664484,916.2957291717248,38.28470273429217,2.591879998803038
B_high_sideband_Kst_signal,8.06,6.1319235107581775,898.9987850662365,36.50625421460438,2.5981633892365203
B_high_sideband_Kst_signal,8.08,6.1471392018518705,880.7353336048327,34.85808800712089,2.604889754964752
B_high_sideband_Kst_signal,8.1,6.1623548929455625,861.5468405384672,33.323461265275455,2.612070503986616
B_high_sideband_Kst_signal,8.120000000000001,6.177570584039256,841.4794276767534,31.888304696437988,2.6197180259193793
B_high_sideband_Kst_signal,8.14,6.192786275132949,820.583837681359,30.540725091696988,2.6278458225415546
B_high_sideband_Kst_signal,8.16,6.208001966226641,798.9153509182543,29.27061666350673,2.636468645831862
B_high_sideband_Kst_signal,8.18,6.223217657320333,776.5336518299082,28.06935438482972,2.6456026447342276
B_high_sideband_Kst_signal,8.2,6.238433348414026,753.5026429330101,26.92954979373078,2.655265521976067
B_high_sideband_Kst_signal,8.22,6.25364903950772,729.8902052995654,25.84485485172399,2.665476702358554
B_high_sideband_Kst_signal,8.24,6.268864730601412,705.7679052299936,24.80980310466098,2.676257514019125
B_high_sideband_Kst_signal,8.26,6.284080421695105,681.2106477614361,23.819680042622018,2.687631384231532
B_high_sideband_Kst_signal,8.280000000000001,6.299296112788799,656.2962786549942,22.870416492938226,2.6996240513484597
B_high_sideband_Kst_signal,8.3,6.314511803882491,631.1051375477691,21.9585003142418,2.712263794492951
B_high_sideband_Kst_signal,8.32,6.329727494976183,605.7195660128564,21.080902731480506,2.7255816825488406
B_high_sideband_Kst_signal,8.34,6.344943186069876,580.2233753127512,20.235016461350945,2.739611843863316
B_high_sideband_Kst_signal,8.36,6.360158877163569,554.7012796262316,19.41860339459515,2.7543917578207298
B_high_sideband_Kst_signal,8.379999999999999,6.375374568257261,529.2383014427687,18.62975007598033,2.7699625690312173
B_high_sideband_Kst_signal,8.4,6.3905902593509545,503.9191566204536,17.86682959041036,2.786369424238142
B_high_sideband_Kst_signal,8.42,6.405805950444647,478.82762726128567,17.128468750521428,2.8036618311033257
B_high_sideband_Kst_signal,8.44,6.421021641538339,454.0459310465849,16.41351970626101,2.821894036671149
B_high_sideband_Kst_signal,8.46,6.436237332632032,429.6540959728627,15.721035274257193,2.8411254214023147
B_high_sideband_Kst_signal,8.48,6.451453023725726,405.7293495189115,15.050247424447512,2.8614209020264276
B_high_sideband_Kst_signal,8.5,6.466668714819418,382.34553115109884,14.400548470933234,2.882851332863367
B_high_sideband_Kst_signal,8.52,6.48188440591311,359.5725367342711,13.77147459875437,2.905493890427095
B_high_sideband_Kst_signal,8.54,6.497100097006802,337.47580286821176,13.162691422050283,2.929432419715598
B_high_sideband_Kst_signal,8.56,6.512315788100497,316.11583842991604,12.573981314431228,2.954757712218345
B_high_sideband_Kst_signal,8.58,6.527531479194189,295.54780969156127,12.005232280852814,2.9815676749159037
B_high_sideband_Kst_signal,8.6,6.542747170287881,275.82118433210053,11.456428152517182,3.0099673359937755
B_high_sideband_Kst_signal,8.620000000000001,6.557962861381576,256.9794385004061,10.927639882302003,3.040068616329396
B_high_sideband_Kst_signal,8.64,6.573178552475268,239.05982985560695,10.419017697402076,3.0719897759694623
B_high_sideband_Kst_signal,8.66,6.58839424356896,222.0932382455576,9.930783827541033,3.105854422215125
B_high_sideband_Kst_signal,8.68,6.603609934662652,206.10407442390715,9.463225470817465,-3.1413953653257236
B_high_sideband_Kst_signal,8.7,6.618825625756346,191.11025598808556,9.016687585609562,-3.1032601100091237
B_high_sideband_Kst_signal,8.72,6.6340413168500385,177.12324857708518,8.591565008859833,-3.0627979988608014
B_high_sideband_Kst_signal,8.74,6.6492570079437305,164.1481693290516,8.188293305393453,-3.0198879663028717
B_high_sideband_Kst_signal,8.76,6.664472699037424,152.18394868779797,7.807337662796819,-2.9744205694865937
B_high_sideband_Kst_signal,8.780000000000001,6.679688390131117,141.22354588228336,7.449179083658067,-2.9263049146612947
B_high_sideband_Kst_signal,8.8,6.694904081224809,131.25421279562215,7.114297124164908,-2.875476931760209
B_high_sideband_Kst_signal,8.82,6.710119772318501,122.25780049540845,6.803148528429525,-2.8219088061419297
B_high_sideband_Kst_signal,8.84,6.725335463412195,114.2111024149417,6.516141361261662,-2.7656191206413006
B_high_sideband_Kst_signal,8.86,6.740551154505887,107.0862280489855,6.253604693782649,-2.7066829425160983
B_high_sideband_Kst_signal,8.879999999999999,6.755766845599579,100.85100104796584,6.0157545675413475,-2.6452407496528068
B_high_sideband_Kst_signal,8.9,6.770982536693274,95.46937574624826,5.802657824182414,-2.5815048060771577
B_high_sideband_Kst_signal,8.92,6.786198227786966,90.90186642677872,5.614196332960482,-2.515761477671152
B_high_sideband_Kst_signal,8.94,6.801413918880658,87.10598398624643,5.450034984124909,-2.4483681411253766
B_high_sideband_Kst_signal,8.96,6.816629609974351,84.03667510232845,5.309597285944683,-2.379743859017059
B_high_sideband_Kst_signal,8.98,6.831845301068045,81.64675949661614,5.192052256419529,-2.310353853347589
B_high_sideband_Kst_signal,9.0,6.847060992161737,79.88736141369009,5.096315395441737,-2.24068886154003
B_high_sideband_Kst_signal,9.02,6.862276683255429,78.70833197927277,5.021064920080098,-2.1712414442281225
B_high_sideband_Kst_signal,9.04,6.877492374349121,78.05865964066834,4.964772438430833,-2.102481944986602
B_high_sideband_Kst_signal,9.06,6.8927080654428154,77.88686641479217,4.925745282249851,-2.034836876815497
B_high_sideband_Kst_signal,9.08,6.9079237565365075,78.1413881595945,4.902176280084512,-1.9686720040384356
B_high_sideband_Kst_signal,9.1,6.9231394476301995,78.77093753097142,4.892196137635668,-1.904281465096956
B_high_sideband_Kst_signal,9.120000000000001,6.938355138723894,79.72484868058018,4.893923852667292,-1.841883219219924
B_high_sideband_Kst_signal,9.14,6.953570829817586,80.95340308296727,4.905511539646852,-1.7816201738010014
B_high_sideband_Kst_signal,9.16,6.968786520911278,82.40813614784565,4.92518134895098,-1.7235657387033123
B_high_sideband_Kst_signal,9.18,6.98400221200497,84.04212447296595,4.951253503353369,-1.667732307166596
