region,k,n_eff,delta_chi2,amp,phase
B_low_sideband_Kst_signal,6.0,4.564707328107824,329.7604055761185,10.875270348198574,2.6728310149902192
B_low_sideband_Kst_signal,6.02,4.579923019201517,339.1228056118089,11.149718051945628,2.6721715471541514
B_low_sideband_Kst_signal,6.04,4.59513871029521,347.3547602878789,11.404947440814405,2.670502346161626
B_low_sideband_Kst_signal,6.06,4.610354401388903,354.3044913301637,11.637494065862837,2.6680161597261924
B_low_sideband_Kst_signal,6.08,4.6255700924825955,359.8285907413374,11.84381914818536,2.664892816973027
B_low_sideband_Kst_signal,6.1,4.640785783576288,363.7965483838598,12.020393755826422,2.661299012645418
B_low_sideband_Kst_signal,6.12,4.656001474669981,366.09565246875354,12.16380537543782,2.657387865840586
B_low_sideband_Kst_signal,6.14,4.671217165763673,366.636006605102,12.270882725735719,2.653298231557932
B_low_sideband_Kst_signal,6.16,4.686432856857366,365.3553267767784,12.33883186614168,2.649153753727699
B_low_sideband_Kst_signal,6.18,4.701648547951058,362.2231247394484,12.365374029073005,2.6450616562481657
B_low_sideband_Kst_signal,6.2,4.716864239044752,357.24386680554016,12.348873626875088,2.641111274802711
B_low_sideband_Kst_signal,6.22,4.732079930138445,350.45873138999013,12.288444046363724,2.637372337412839
B_low_sideband_Kst_signal,6.24,4.747295621232137,341.94568017649726,12.184019533424035,2.6338930059731496
B_low_sideband_Kst_signal,6.26,4.76251131232583,331.81770090344435,12.036383848843338,2.6306976940976727
B_low_sideband_Kst_signal,6.28,4.777727003419523,320.21925765322885,11.84715029214906,2.627784677585665
B_low_sideband_Kst_signal,6.3,4.792942694513216,307.3211709952084,11.618692660714673,2.625123511083823
B_low_sideband_Kst_signal,6.32,4.808158385606908,293.3143151470467,11.354032001109639,2.6226522556583878
B_low_sideband_Kst_signal,6.34,4.823374076700601,278.4026350544664,11.056688784343237,2.6202745036856108
B_low_sideband_Kst_signal,6.36,4.838589767794295,262.7960348094275,10.73051365507774,2.6178561555134694
B_low_sideband_Kst_signal,6.38,4.853805458887987,246.70366534154164,10.37951168846369,2.6152218516824925
B_low_sideband_Kst_signal,6.4,4.86902114998168,230.32805276999716,10.00767501735962,2.6121508892931367
B_low_sideband_Kst_signal,6.42,4.884236841075372,213.8603787038337,9.618837006248663,2.608372344840331
B_low_sideband_Kst_signal,6.44,4.899452532169065,197.47707475590505,9.21655835768818,2.6035589812494453
B_low_sideband_Kst_signal,6.46,4.914668223262757,181.33774948486098,8.804052293642648,2.5973193259110774
B_low_sideband_Kst_signal,6.48,4.92988391435645,165.5843454641472,8.38415291493885,2.5891870606801595
B_low_sideband_Kst_signal,6.5,4.945099605450143,150.34133804867452,7.959328576440563,2.578606556785913
B_low_sideband_Kst_signal,6.52,4.960315296543835,135.71673869162987,7.531741066606127,2.5649130177185993
B_low_sideband_Kst_signal,6.54,4.975530987637528,121.80365111492574,7.103351881850156,2.5473052877608477
B_low_sideband_Kst_signal,6.5600000000000005,4.990746678731222,108.68214111465204,6.676079210836428,2.5248090428782275
B_low_sideband_Kst_signal,6.58,5.005962369824914,96.42121161634714,6.252013630994807,2.496228092884595
B_low_sideband_Kst_signal,6.6,5.021178060918606,85.08071543685946,5.83370707691523,2.460082630913006
B_low_sideband_Kst_signal,6.62,5.0363937520123,74.7130821804567,5.424557848400671,2.414537233400255
B_low_sideband_Kst_signal,6.64,5.051609443105992,65.36477784575982,5.029321591362278,2.357332133655272
B_low_sideband_Kst_signal,6.66,5.066825134199685,57.077452994351916,4.654775419368319,2.285756424150143
B_low_sideband_Kst_signal,6.68,5.082040825293378,49.88876624747718,4.310525887437352,2.1967532003692187
B_low_sideband_Kst_signal,6.7,5.09725651638707,43.83289408820565,4.009830140056411,2.087330540006711
B_low_sideband_Kst_signal,6.72,5.112472207480764,38.94075581616926,3.770019785687226,1.9555250183034134
B_low_sideband_Kst_signal,6.74,5.1276878985744565,35.23999476048266,3.6116911371618348,1.8020339705885853
B_low_sideband_Kst_signal,6.76,5.1429035896681485,32.754764360030094,3.555669870727275,1.6319627420597689
B_low_sideband_Kst_signal,6.78,5.158119280761842,31.50537129706572,3.6178383599965835,1.455091827467676
B_low_sideband_Kst_signal,6.8,5.173334971855534,31.507828259283997,3.8043427984864473,1.2832941292199866
B_low_sideband_Kst_signal,6.82,5.188550662949227,32.77336673128593,4.110662502769012,1.1263691233086546
B_low_sideband_Kst_signal,6.84,5.20376635404292,35.30795601088175,4.525061723728478,0.989458178829382
B_low_sideband_Kst_signal,6.86,5.218982045136613,39.11186886722135,5.033464324870116,0.8733099910276328
B_low_sideband_Kst_signal,6.88,5.234197736230305,44.179327328547515,5.6229443882648935,0.7760273914993506
B_low_sideband_Kst_signal,6.9,5.249413427323999,50.498254405029,6.283227188926861,0.694699811295596
B_low_sideband_Kst_signal,6.92,5.264629118417691,58.050149508704635,7.006890219439435,0.6263668570560913
B_low_sideband_Kst_signal,6.94,5.279844809511384,66.81009730532969,7.78902370009858,0.5684288799701585
B_low_sideband_Kst_signal,6.96,5.295060500605076,76.74691208184959,8.626784256317015,0.5187511731672653
B_low_sideband_Kst_signal,6.98,5.31027619169877,87.82341275932049,9.519015079915498,0.47563569489125135
B_low_sideband_Kst_signal,7.0,5.325491882792462,99.99681769362724,10.46597616487324,0.43775034366081844
B_low_sideband_Kst_signal,7.02,5.340707573886154,113.2192435844554,11.469179690189442,0.40405446769763176
B_low_sideband_Kst_signal,7.04,5.355923264979847,127.43828927677896,12.53131371056304,0.37373418638577754
B_low_sideband_Kst_signal,7.0600000000000005,5.3711389560735405,142.59768302582597,13.65623882700307,0.34615041648574496
B_low_sideband_Kst_signal,7.08,5.386354647167233,158.6379708632412,14.849047855951737,0.32079856213397917
B_low_sideband_Kst_signal,7.1,5.401570338260925,175.4972239368617,16.116184423340922,0.2972777455510009
B_low_sideband_Kst_signal,7.12,5.416786029354618,193.11174393193141,17.4656221406676,0.27526745487295
B_low_sideband_Kst_signal,7.140000000000001,5.432001720448311,211.4167477146948,18.907111774970232,0.25450982264699035
B_low_sideband_Kst_signal,7.16,5.447217411542003,230.3470149486493,20.452510171914202,0.23479613506696734
B_low_sideband_Kst_signal,7.18,5.462433102635697,249.83748539875887,22.116212430097686,0.21595651086370762
B_low_sideband_Kst_signal,7.2,5.477648793729389,269.8237957531928,23.915719047074077,0.19785195806370318
B_low_sideband_Kst_signal,7.22,5.492864484823082,290.2427488764988,25.872384041888818,0.1803682214504842
B_low_sideband_Kst_signal,7.24,5.508080175916774,311.03271131663496,28.012410819024968,0.16341098568014398
B_low_sideband_Kst_signal,7.26,5.523295867010468,332.1339375114585,30.368193628184578,0.14690211096478825
B_low_sideband_Kst_signal,7.28,5.538511558104161,353.4888214065286,32.98015025771166,0.13077666037220217
B_low_sideband_Kst_signal,7.3,5.553727249197853,375.04207806659906,35.899266911078904,0.11498053808185894
B_low_sideband_Kst_signal,7.32,5.568942940291547,396.74085932899834,39.19069806614443,0.09946860233020126
B_low_sideband_Kst_signal,7.34,5.584158631385239,418.5348086222548,42.938966954828246,0.08420314961351145
B_low_sideband_Kst_signal,7.36,5.599374322478932,440.3760607902841,47.25566081019163,0.06915269113547921
B_low_sideband_Kst_signal,7.38,5.614590013572624,462.2191931634261,52.291135607299594,0.054290960755060264
B_low_sideband_Kst_signal,7.4,5.6298057046663175,484.02113425422067,58.252896141755826,0.039596107442845224
B_low_sideband_Kst_signal,7.42,5.6450213957600095,505.7410363785093,65.43555583715025,0.025050035673160165
B_low_sideband_Kst_signal,7.4399999999999995,5.6602370868537015,527.3401182634079,74.2718819378273,0.010637865122908492
B_low_sideband_Kst_signal,7.46,5.675452777947395,548.7814833506236,85.42453472288202,-0.0036525128571348203
B_low_sideband_Kst_signal,7.48,5.690668469041088,570.0299190780679,99.96214323791997,-0.017830799827896777
B_low_sideband_Kst_signal,7.5,5.70588416013478,591.0516819630975,119.72652992556588,-0.03190459007969097
B_low_sideband_Kst_signal,7.52,5.721099851228472,611.814272846168,148.18665268515056,-0.04587961700275793
B_low_sideband_Kst_signal,7.54,5.736315542322166,632.2862062102249,192.74524637189924,-0.059759955088708926
B_low_sideband_Kst_signal,7.5600000000000005,5.751531233415859,652.4367770872232,272.5222606003742,-0.07354818486918446
B_low_sideband_Kst_signal,7.58,5.766746924509551,672.2358287136412,456.7215581830249,-0.08724552669108528
B_low_sideband_Kst_signal,7.6,5.781962615603243,691.6535238115575,1339.8101371908015,-0.10085194810401371
B_low_sideband_Kst_signal,7.62,5.797178306696937,710.66012215726,1510.9460700562506,3.027226404854842
B_low_sideband_Kst_signal,7.640000000000001,5.81239399779063,729.2257669578539,490.98427881142936,3.0138065277917203
B_low_sideband_Kst_signal,7.66,5.827609688884322,747.3202824922955,295.8828462415612,3.0004844307892244
B_low_sideband_Kst_signal,7.68,5.842825379978016,764.9129854772946,213.1246429688134,2.9872644900629854
B_low_sideband_Kst_signal,7.7,5.858041071071708,781.9725126966368,167.363615021695,2.9741520805954065
B_low_sideband_Kst_signal,7.72,5.873256762165401,798.4666675705448,138.32073142078445,2.9611535668318862
B_low_sideband_Kst_signal,7.74,5.8884724532590935,814.3622885354089,118.2480321185161,2.9482763039127797
B_low_sideband_Kst_signal,7.76,5.903688144352786,829.6251423422946,103.54438366254321,2.935528648535246
B_low_sideband_Kst_signal,7.78,5.9189038354464785,844.219845650885,92.30838420439792,2.922919978708896
B_low_sideband_Kst_signal,7.8,5.934119526540172,858.1098185773917,83.4412074801548,2.9104607218036707
B_low_sideband_Kst_signal,7.82,5.949335217633865,871.2572741296462,76.26342943933395,2.898162390391346
B_low_sideband_Kst_signal,7.84,5.964550908727557,883.6232477051853,70.33224250863917,2.886037625456039
B_low_sideband_Kst_signal,7.86,5.979766599821251,895.1676710087522,65.34659779933348,2.874100246594839
B_low_sideband_Kst_signal,7.88,5.994982290914943,905.8494948297557,61.094591959094345,2.8623653088474033
B_low_sideband_Kst_signal,7.9,6.010197982008636,915.6268650685306,57.42266702473155,2.8508491657810637
B_low_sideband_Kst_signal,7.92,6.025413673102328,924.4573561682992,54.21675545041421,2.8395695384132784
B_low_sideband_Kst_signal,7.9399999999999995,6.04062936419602,932.2982656508757,51.39029477493939,2.828545589471724
B_low_sideband_Kst_signal,7.96,6.055845055289714,939.1069727193535,48.876360261726816,2.8177980023684857
