region,well_rank,peak_index,k,n_eff,delta_chi2,prominence,nearest_integer_n,distance_to_integer,distance_to_n10,distance_to_n15,distance_to_n20
B_low_sideband_Kst_signal,1,103,8.06,6.1319235107581775,956.2404703571628,924.7350990600971,6.0,0.13192351075817754,3.8680764892418225,8.868076489241822,13.868076489241822
B_low_sideband_Kst_signal,2,7,6.14,4.671217165763673,366.636006605102,36.87560102898351,5.0,0.3287828342363266,5.328782834236327,10.328782834236327,15.328782834236327
B_low_sideband_Kst_signal,3,485,15.700000000000001,11.944317508548808,241.56422334436502,240.96062354052265,12.0,0.05568249145119175,1.9443175085488082,3.0556824914511918,8.055682491451192
B_low_sideband_Kst_signal,4,550,17.0,12.933337429638836,197.5631389526461,197.42095853473438,13.0,0.06666257036116363,2.9333374296388364,2.0666625703611636,7.066662570361164
B_low_sideband_Kst_signal,5,676,19.52,14.850514507444121,196.07037223783846,195.6840276204057,15.0,0.14948549255587906,4.850514507444121,0.14948549255587906,5.149485492555879
B_low_sideband_Kst_signal,6,613,18.259999999999998,13.891925968541477,177.26177005385398,173.21415678181074,14.0,0.10807403145852312,3.891925968541477,1.1080740314585231,6.108074031458523
B_low_sideband_Kst_signal,7,191,9.82,7.470904327003139,176.62899328432468,168.58741370099233,7.0,0.4709043270031392,2.5290956729968608,7.529095672996861,12.52909567299686
B_low_sideband_Kst_signal,8,741,20.82,15.83953442853415,161.94192953113816,160.94945788343102,16.0,0.16046557146584917,5.839534428534151,0.8395344285341508,4.160465571465849
B_low_sideband_Kst_signal,9,421,14.42,10.97051327855247,160.14326592941143,158.13007167262185,11.0,0.029486721447529618,0.9705132785524704,4.02948672144753,9.02948672144753
B_low_sideband_Kst_signal,10,925,24.5,18.639221589773616,107.2649202147768,103.82772363235927,19.0,0.36077841022638424,8.639221589773616,3.6392215897736158,1.3607784102263842
B_low_sideband_Kst_signal,11,804,22.080000000000002,16.798122967436793,96.75009683244207,92.80559387117682,17.0,0.20187703256320688,6.798122967436793,1.7981229674367931,3.201877032563207
B_low_sideband_Kst_signal,12,862,23.240000000000002,17.680633050870973,83.58728012141364,71.40349140455146,18.0,0.3193669491290265,7.6806330508709735,2.6806330508709735,2.3193669491290265
B_low_sideband_Kst_signal,13,359,13.18,10.02714043074352,80.09484005532067,73.21989483031939,10.0,0.027140430743520128,0.027140430743520128,4.97285956925648,9.97285956925648
B_low_sideband_Kst_signal,14,254,11.08,8.429492865905782,73.90595053545621,57.439711118044215,8.0,0.4294928659057824,1.5705071340942176,6.570507134094218,11.570507134094218
B_low_sideband_Kst_signal,15,991,25.82,19.64345720195734,59.773373987176456,59.19337525410083,20.0,0.35654279804266054,9.64345720195734,4.6434572019573395,0.35654279804266054
B_low_sideband_Kst_signal,16,305,12.100000000000001,9.205493111684113,42.25182059213694,22.34221774683465,9.0,0.20549311168411322,0.7945068883158868,5.794506888315887,10.794506888315887
B_low_sideband_Kst_signal,17,1244,30.88,23.493027048661602,26.8885108682407,14.803240199562424,23.0,0.4930270486616024,13.493027048661602,8.493027048661602,3.4930270486616024
B_low_sideband_Kst_signal,18,1051,27.02,20.556398667578904,22.86117547180038,21.503290958014986,21.0,0.4436013324210961,10.556398667578904,5.556398667578904,0.5563986675789039
B_low_sideband_Kst_signal,19,1107,28.14,21.408477368825697,19.973932968230656,16.85614053444806,21.0,0.40847736882569663,11.408477368825697,6.408477368825697,1.4084773688256966
B_low_sideband_Kst_signal,20,1174,29.48,22.42792867210311,19.05782139112125,7.198035099791014,22.0,0.4279286721031106,12.42792867210311,7.427928672103111,2.4279286721031106
