"k","n_eff","delta_chi2","amp","phase"
6,4.56470732810782,380.472193132504,10.7501355607674,2.71076372329811
6.02,4.57992301920152,364.749321565425,10.5869371657011,2.72080938147818
6.04,4.59513871029521,347.94060918461,10.4009218648768,2.73158751293431
6.06,4.6103544013889,330.174587611698,10.1919747661022,2.74317551767811
6.08,4.6255700924826,311.59124436097,9.96009331598807,2.75566181460538
6.1,4.64078578357629,292.340899703722,9.70539687930695,2.76914930361241
6.12,4.65600147466998,272.582870283095,9.42813602299066,2.78375972288717
6.14,4.67121716576367,252.483935655921,9.1287018582592,2.79963921710341
6.16,4.68643285685737,232.216630714665,8.80763602424893,2.816965560742
6.18,4.70164854795106,211.957393193334,8.46564222708343,2.83595766827495
6.2,4.71686423904475,191.884600901263,8.10360073390322,2.85688829970377
6.22,4.73207993013845,172.176537697804,7.72258795110296,2.88010128261037
6.24,4.74729562123214,153.009330300381,7.32390433870861,2.90603519210936
6.26,4.76251131232583,134.55489964709,6.90911568015119,2.93525636584232
6.28,4.77772700341952,116.978970621516,6.48011556851785,2.96850553727518
6.3,4.79294269451322,100.439182477483,6.03922162299273,3.00676444263193
6.32,4.80815838560691,85.0833393407775,5.5893256602731,3.05135165069306
6.34,4.8233740767006,71.0478358556902,5.13413084416181,3.1040603543142
6.36,4.83858976779429,58.4562875961092,4.67852964471665,-3.11583215020117
6.38,4.85380545888799,47.4183895368406,4.22920790277522,-3.03856238102937
6.4,4.86902114998168,38.0290189802618,3.79559789739758,-2.94269362109301
6.42,4.88423684107537,30.3675921721042,3.39130799624781,-2.82219771587247
6.44,4.89945253216907,24.4976767301159,3.03597067541197,-2.67010719301386
6.46,4.91466822326276,20.4668552417716,2.75664548866899,-2.48082499685069
6.48,4.92988391435645,18.3068292142307,2.58600528487363,-2.25561644358024
6.5,4.94509960545014,18.0337471852145,2.55327914542297,-2.00902666764837
6.52,4.96031529654384,19.6487363735068,2.66993337170977,-1.76694291238189
6.54,4.97553098763753,23.1386138487069,2.92346469131874,-1.55271030027205
6.56,4.99074667873122,28.4767508604855,3.28673055211465,-1.37620112299135
6.58,5.00596236982491,35.624062662202,3.73146162168686,-1.23570085071124
6.6,5.02117806091861,44.5300958235384,4.23517306744473,-1.12474052010148
6.62,5.0363937520123,55.1341855458231,4.78199086049294,-1.03652153713885
6.64,5.05160944310599,67.3666567430046,5.36123252258756,-0.965461312512422
6.66,5.06682513419968,81.1500444871308,5.96582628591144,-0.907360537131667
6.68,5.08204082529338,96.4003116919666,6.59112818661448,-0.859154224293554
6.7,5.09725651638707,113.028044478589,7.23413668984743,-0.818616948889512
6.72,5.11247220748076,130.939608399789,7.89299160046732,-0.784122957404933
6.74,5.12768789857446,150.038251478691,8.56665735269582,-0.754471236606476
6.76,5.14290358966815,170.225142743086,9.25472262477861,-0.72876277693007
6.78,5.15811928076184,191.400337531861,9.95727351115001,-0.706315350126952
6.8,5.17333497185553,213.463663255621,10.6748140746816,-0.68660419251961
6.82,5.18855066294923,236.315521470526,11.4082183520464,-0.669220364052401
6.84,5.20376635404292,259.857604049947,12.1587041257047,-0.653841178242709
6.86,5.21898204513661,283.993522904962,12.9278226010259,-0.640208934869704
6.88,5.23419773623031,308.629354115594,13.7174605212907,-0.628115422801189
6.9,5.249413427324,333.674098502946,14.5298528056581,-0.617390480506994
6.92,5.26462911841769,359.040061617212,15.367604857328,-0.607893445648906
6.94,5.27984480951138,384.64315686125,16.2337244752712,-0.599506687659505
6.96,5.29506050060508,410.403136039091,17.1316639490301,-0.592130660951294
6.98,5.31027619169877,436.243752039074,18.0653735151919,-0.585680081941064
7,5.32549188279246,462.092858656342,19.0393679776239,-0.580080946749833
7.02,5.34070757388615,487.882452751735,20.0588090054038,-0.575268185367686
7.04,5.35592326497985,513.548664053033,21.1296064898664,-0.571183803474786
7.06,5.37113895607354,539.031697946699,22.2585434457964,-0.567775402402609
7.08,5.38635464716723,564.275736597054,23.4534303865493,-0.564994995856868
7.1,5.40157033826092,589.228803675564,24.7232970331999,-0.562798062348493
7.12,5.41678602935462,613.842597893276,26.0786318389867,-0.56114278707217
7.14,5.43200172044831,638.072300409971,27.5316834210077,-0.559989457806266
7.16,5.447217411542,661.876361047278,29.0968430340036,-0.559299987381347
7.18,5.4624331026357,685.216268062755,30.7911343638252,-0.559037541151806
7.2,5.47764879372939,708.05630604822,32.6348471854741,-0.559166252260587
7.22,5.49286448482308,730.363306300096,34.6523664237266,-0.559651010712272
7.24,5.50808017591677,752.106393772632,36.8732704250097,-0.56045731465955
7.26,5.52329586701047,773.256734467606,39.3338059503052,-0.561551174082359
