"k","n_eff","delta_chi2","amp","phase"
6,4.56470732810782,329.760405576119,10.8752703481986,2.67283101499022
6.02,4.57992301920152,339.122805611809,11.1497180519456,2.67217154715415
6.04,4.59513871029521,347.354760287879,11.4049474408144,2.67050234616162
6.06,4.6103544013889,354.30449133016,11.6374940658628,2.66801615972619
6.08,4.6255700924826,359.828590741337,11.8438191481854,2.66489281697302
6.1,4.64078578357629,363.796548383856,12.0203937558264,2.66129901264541
6.12,4.65600147466998,366.095652468754,12.1638053754378,2.65738786584058
6.14,4.67121716576367,366.636006605102,12.2708827257357,2.65329823155793
6.16,4.68643285685737,365.355326776778,12.3388318661417,2.6491537537277
6.18,4.70164854795106,362.223124739448,12.365374029073,2.64506165624816
6.2,4.71686423904475,357.24386680554,12.3488736268751,2.64111127480271
6.22,4.73207993013845,350.45873138999,12.2884440463637,2.63737233741284
6.24,4.74729562123214,341.945680176501,12.184019533424,2.63389300597315
6.26,4.76251131232583,331.817700903444,12.0363838488434,2.63069769409767
6.28,4.77772700341952,320.219257653232,11.8471502921491,2.62778467758566
6.3,4.79294269451322,307.321170995208,11.6186926607147,2.62512351108382
6.32,4.80815838560691,293.314315147047,11.3540320011097,2.62265225565839
6.34,4.8233740767006,278.402635054463,11.0566887843433,2.62027450368561
6.36,4.83858976779429,262.796034809428,10.7305136550778,2.61785615551346
6.38,4.85380545888799,246.703665341542,10.3795116884637,2.61522185168249
6.4,4.86902114998168,230.328052769997,10.0076750173597,2.61215088929313
6.42,4.88423684107537,213.860378703834,9.61883700624869,2.60837234484033
6.44,4.89945253216907,197.477074755909,9.21655835768819,2.60355898124944
6.46,4.91466822326276,181.337749484865,8.80405229364266,2.59731932591107
6.48,4.92988391435645,165.584345464147,8.38415291493888,2.58918706068016
6.5,4.94509960545014,150.341338048671,7.9593285764406,2.57860655678591
6.52,4.96031529654384,135.716738691634,7.53174106660617,2.56491301771859
6.54,4.97553098763753,121.803651114929,7.10335188185022,2.54730528776084
6.56,4.99074667873122,108.682141114652,6.67607921083646,2.52480904287822
6.58,5.00596236982491,96.4212116163435,6.25201363099485,2.49622809288459
6.6,5.02117806091861,85.0807154368595,5.83370707691526,2.460082630913
6.62,5.0363937520123,74.7130821804494,5.4245578484007,2.41453723340026
6.64,5.05160944310599,65.3647778457598,5.02932159136231,2.35733213365527
6.66,5.06682513419968,57.0774529943592,4.65477541936836,2.28575642415015
6.68,5.08204082529338,49.8887662474735,4.31052588743738,2.19675320036922
6.7,5.09725651638707,43.8328940882056,4.00983014005644,2.08733054000671
