"k","n_eff","delta_chi2","amp","phase"
6,4.56470732810782,105.150216604157,5.00423527097797,2.24554184644593
6.02,4.57992301920152,103.481435776559,4.99173058098571,2.23186630540243
6.04,4.59513871029521,101.379466540267,4.96733178293951,2.2176938725216
6.06,4.6103544013889,98.8654262729069,4.93091811166303,2.20288270147765
6.08,4.6255700924826,95.9658325466226,4.88245585477616,2.18727292779738
6.1,4.64078578357629,92.7124654546533,4.8220089199638,2.17068383854962
6.12,4.65600147466998,89.142128700214,4.74974998584298,2.1529104410759
6.14,4.67121716576367,85.2963093653725,4.66597251159755,2.13371934034186
6.16,4.68643285685737,81.2207394071575,4.57110399030555,2.11284383943977
6.18,4.70164854795106,76.9648651196421,4.46572096602026,2.08997820123487
6.2,4.71686423904475,72.5812339155855,4.35056649323105,2.06477106748147
6.22,4.73207993013845,68.1248106738549,4.2265708894049,2.0368181525802
6.24,4.74729562123214,63.6522384248856,4.09487679097193,2.00565455785192
6.26,4.76251131232583,59.2210601735278,3.95686961396412,1.97074746031718
6.28,4.77772700341952,54.8889200768917,3.81421443085577,1.93149062387696
6.3,4.79294269451322,50.7127629248844,3.66889979888881,1.88720330322409
6.32,4.80815838560691,46.7480508722419,3.52328785838667,1.83713781539316
6.34,4.8233740767006,43.0480156432495,3.38016750975142,1.7805024080139
6.36,4.83858976779429,39.6629630169427,3.24280293887289,1.71650878835913
6.38,4.85380545888799,36.6396443829017,3.1149625145411,1.64445568651972
6.4,4.86902114998168,34.0207076500283,3.00090327610077,1.56385843433628
6.42,4.88423684107537,31.8442369309996,2.90527644482847,1.47462510014451
6.44,4.89945253216907,30.1433873644,2.83291675191056,1.37725722767761
6.46,4.91466822326276,28.9461183286949,2.78849478978095,1.27301849605413
6.48,4.92988391435645,28.2750252919304,2.77605714214057,1.163984137153
6.5,4.94509960545014,28.1472677567799,2.79854610373927,1.05289152493929
6.52,4.96031529654384,28.5745883058935,2.85744156018759,0.94278348146929
6.54,4.97553098763753,29.5634157030981,2.95265239698219,0.8365439191406
6.56,4.99074667873122,31.1150434070987,3.08269311750069,0.736490609538555
6.58,5.00596236982491,33.2258737224292,3.2450683147116,0.644154629854936
6.6,5.02117806091861,35.8877171368331,3.43672743631822,0.560272137047823
6.62,5.0363937520123,39.0881361429856,3.65446890293414,0.484924806444439
6.64,5.05160944310599,42.8108229662212,3.89523182989694,0.41773824318015
6.66,5.06682513419968,47.0360010582772,4.15626940463881,0.358069990124879
6.68,5.08204082529338,51.7408409037562,4.43522853544128,0.305154904979397
6.7,5.09725651638707,56.8998815540108,4.73016787083299,0.258202769746039
6.72,5.11247220748076,62.4854502880589,5.03954144572915,0.216456210488354
6.74,5.12768789857446,68.4680738441475,5.3621668590889,0.179220407738614
6.76,5.14290358966815,74.816875718645,5.69718943295142,0.145874778992437
6.78,5.15811928076184,81.4999550506473,6.04404852043978,0.115874133148542
6.8,5.17333497185553,88.4847435699594,6.40244885934319,0.0887442624282401
6.82,5.18855066294923,95.7383379615621,6.77233804334307,0.0640750208097925
6.84,5.20376635404292,103.227805778004,7.15389027309809,0.0415126428930781
6.86,5.21898204513661,110.920463706834,7.54749617213635,0.0207522416361415
6.88,5.23419773623031,118.784127573412,7.95375836694297,0.0015309363154073
6.9,5.249413427324,126.78733393551,8.37349259762289,-0.0163782153210744
6.92,5.26462911841769,134.899533513164,8.80773427088178,-0.0331714563720384
6.94,5.27984480951138,143.091257006165,9.2577505556543,-0.0490187919072908
6.96,5.29506050060508,151.334254093823,9.72505834124711,-0.0640677544559652
6.98,5.31027619169877,159.601606599197,10.2114486298383,-0.0784465655960027
7,5.32549188279246,167.867816943974,10.7190182302787,-0.0922667827816774
7.02,5.34070757388615,176.108873130985,11.2502099767048,-0.105625512530578
7.04,5.35592326497985,184.302291577596,11.8078631399563,-0.118607261137477
7.06,5.37113895607354,192.427139192003,12.3952762690839,-0.131285483999958
7.08,5.38635464716723,200.464036141257,13.0162854458091,-0.143723885295796
7.1,5.40157033826092,208.39514080827,13.6753619294915,-0.155977511493531
7.12,5.41678602935462,216.204118477181,14.3777345186221,-0.168093675078539
7.14,5.43200172044831,223.876095323258,15.1295438099351,-0.180112738875021
7.16,5.447217411542,231.397599314625,15.9380381247542,-0.192068786317275
7.18,5.4624331026357,238.756489657369,16.8118245364031,-0.203990198831286
7.2,5.47764879372939,245.941876431687,17.7611936976248,-0.215900157992672
7.22,5.49286448482308,252.944032072615,18.7985448537395,-0.227817087204654
7.24,5.50808017591677,259.754296343086,19.9389488435264,-0.239755045182299
7.26,5.52329586701047,266.364976427745,21.2009041639813,-0.25172408144616
7.28,5.53851155810416,272.769243742518,22.6073678520828,-0.263730562245658
7.3,5.55372724919785,278.961029006328,24.1871850726988,-0.275777473791065
7.32,5.56894294029155,284.93491705815,25.9771095387521,-0.287864708326894
7.34,5.58415863138524,290.686042825142,28.0247205235922,-0.299989337394218
7.36,5.59937432247893,296.209989757353,30.392737495804,-0.312145875580114
7.38,5.61459001357262,301.502691943253,33.1655811358183,-0.324326537121932
7.4,5.62980570466632,306.560341010139,36.4596745086925,-0.336521486911604
7.42,5.64502139576001,311.379298797023,40.4402325145041,-0.348719086724978
7.44,5.6602370868537,315.956016667275,45.3498660090144,-0.360906136880241
7.46,5.6754527779474,320.286962206876,51.5599880835204,-0.373068113007588
7.48,5.69066846904109,324.368553934053,59.6694771033668,-0.385189397189158
7.5,5.70588416013478,328.197104529534,70.7104476505495,-0.397253502404101
7.52,5.72109985122847,331.768772985784,86.6267479284244,-0.409243288986826
7.54,5.73631554232217,335.079525969541,111.566460928163,-0.421141171674211
7.56,5.75153123341586,338.125108596367,156.243267314732,-0.432929315774341
7.58,5.76674692450955,340.901024728828,259.434798193122,-0.444589821027959
7.6,5.78196261560324,343.402526831798,754.244028567318,-0.456104891844271
7.62,5.79717830669694,345.624615349067,843.162302109866,2.67413566082602
7.64,5.81239399779063,347.562047503516,271.652016365387,2.66296366537074
7.66,5.82760968888432,349.209355368985,162.340279643223,2.65198838767235
7.68,5.84282537997802,350.560873011929,115.976098066805,2.64122581014896
7.7,5.85804107107171,351.610772456368,90.3402217912519,2.63069119565164
7.72,5.8732567621654,352.353108182049,74.0696120917762,2.62039901453094
7.74,5.88847245325909,352.781869823104,62.8228941821068,2.61036288805618
7.76,5.90368814435279,352.89104269028,54.5823396772867,2.60059554754884
7.78,5.91890383544648,352.674675692533,48.2826645899955,2.5911088083905
7.8,5.93411952654017,352.126956181659,43.3083182730354,2.58191355790118
7.82,5.94933521763387,351.242291185679,39.2787766626041,2.57301975595741
7.84,5.96455090872756,350.015394431583,35.94612030209,2.5644364471331
7.86,5.97976659982125,348.441378485315,33.1418815640845,2.55617178309697
7.88,5.99498229091494,346.515851256203,30.7475628938533,2.54823305398756
7.9,6.01019798200864,344.23501602491,28.6773773792008,2.54062672750622
7.92,6.02541367310233,341.59577405894,26.8676822679632,2.53335849451589
7.94,6.04062936419602,338.595828779482,25.2702613597258,2.52643332000509
7.96,6.05584505528971,335.233790339813,23.8479143545899,2.51985549836764
7.98,6.07106074638341,331.509279371165,22.5714789897967,2.51362871205444
8,6.0862764374771,327.423028550362,21.4177709234032,2.507756092771
8.02,6.10149212857079,322.976980548216,20.3681275776918,2.50224028451946
8.04,6.11670781966448,318.174380833036,19.4073590561322,2.49708350791352
8.06,6.13192351075818,313.019863734351,18.5229793315408,2.49228762532701
8.08,6.14713920185187,307.519530122803,17.7046341148557,2.48785420657029
8.1,6.16235489294556,301.681015038395,16.9436691340505,2.48378459492205
8.12,6.17757058403926,295.513543605417,16.232800219907,2.4800799734773
8.14,6.19278627513295,289.027973613207,15.5658582561122,2.4767414319056
8.16,6.20800196622664,282.236823221001,14.9375898918982,2.47377003384846
8.18,6.22321765732033,275.154282365804,14.3435002779931,2.47116688532175
8.2,6.23843334841403,267.79620661602,13.7797278119876,2.46893320463179
8.22,6.25364903950772,260.180092421228,13.2429435047855,2.4670703944637
8.24,6.26886473060141,252.325032958797,12.7302694551865,2.46558011696292
8.26,6.2840804216951,244.251654068097,12.2392122760018,2.46446437280824
8.28,6.2992961127888,235.98203008848,11.7676083076291,2.46372558547467
8.3,6.31451180388249,227.539579771284,11.3135781893373,2.46336669211146
8.32,6.32972749497618,218.948942810885,10.8754889075161,2.46339124272491
8.34,6.34494318606988,210.235837925722,10.4519218546789,2.4638035096651
8.36,6.36015887716357,201.426903806176,10.0416457489638,2.46460860978483
8.38,6.37537456825726,192.549524620887,9.64359350687019,2.46581264208158
8.4,6.39059025935095,183.63164212443,9.25684235041336,2.46742284417032
8.42,6.40580595044465,174.701556725488,8.88059657718842,2.46944777159017
8.44,6.42102164153834,165.787720144786,8.51417253780582,2.47189750475462
8.46,6.43623733263203,156.918522506481,8.15698545705993,2.47478388935336
8.48,6.45145302372573,148.122076857124,7.80853780841771,2.47812081725843
8.5,6.46666871481942,139.426004187459,7.46840901003876,2.48192455654929
8.52,6.48188440591311,130.857222040477,7.13624625765349,2.48621414124258
8.54,6.4971000970068,122.441739724061,6.81175634761591,2.49101183381876
8.56,6.5123157881005,114.20446301025,6.49469837418166,2.49634367684351
8.58,6.52753147919419,106.169011000458,6.18487721003798,2.50224015411191
8.6,6.54274717028788,98.3575475742036,5.88213769956586,2.50873698710053
8.62,6.55796286138158,90.790629527035,5.58635951131055,2.51587609951122
8.64,6.57317855247527,83.4870731524625,5.29745261062945,2.52370679190007
8.66,6.58839424356896,76.4638406443482,5.01535332640139,2.53228718059413
8.68,6.60360993466265,69.7359473027955,4.74002099796542,2.54168597140506
8.7,6.61882562575635,63.316390130316,4.47143520116469,2.55198466059264
8.72,6.63404131685004,57.2160980172284,4.20959356676556,2.56328028528214
8.74,6.64925700794373,51.4439033466278,3.9545102222096,2.57568888617091
8.76,6.66447269903742,46.006534508575,3.7062149107997,2.58934990123809
8.78,6.67968839013112,40.9086285078229,3.46475287405292,2.60443178649989
8.8,6.69490408122481,36.1527625846702,3.2301856274484,2.62113926741755
8.82,6.7101197723185,31.7395035480586,3.00259282362708,2.63972277466465
8.84,6.7253354634122,27.6674733451964,2.78207548994633,2.66049082740968
8.86,6.74055115450589,23.9334292629974,2.56876106376714,2.68382641793145
8.88,6.75576684559958,20.5323570715227,2.36281085095471,2.71020884865209
8.9,6.77098253669327,17.4575753759764,2.16443083343651,2.74024299761091
8.92,6.78619822778697,14.7008494375696,1.97388719681047,2.77469863239865
8.94,6.80141391888066,12.2525127504796,1.79152859927387,2.81456304664089
8.96,6.81662960997435,10.101594717331,1.61781811797907,2.86111056414663
8.98,6.83184530106804,8.2359528442812,1.45337898377923,2.91599121289911
9,6.84706099216174,6.64240797378261,1.29905937747324,2.98133519108017
9.02,6.86227668325543,5.30688118413855,1.15602159093808,3.05985271472493
9.04,6.87749237434912,4.21453110525727,1.02585635051899,-3.12831928220891
9.06,6.89270806544282,3.34989052597484,0.910705508147027,-3.01306636991296
9.08,6.90792375653651,2.69700129602643,0.813329263908602,-2.87412352341024
9.1,6.9231394476302,2.23954665209749,0.736963944379347,-2.70996241260874
9.12,6.93835513872389,1.96098021954276,0.684732826037318,-2.52348377918049
9.14,6.95357082981759,1.84465105644267,0.658513032138108,-2.32390465562485
9.16,6.96878652091128,1.87392421272489,0.657743043988424,-2.12525216363463
9.18,6.98400221200497,2.03229637159166,0.679153344835983,-1.94106188806474
9.2,6.99921790309866,2.30350622204423,0.717774206997947,-1.77950013779942
9.22,7.01443359419236,2.67163927802721,0.768391214427465,-1.64255910066405
9.24,7.02964928528605,3.12122691063087,0.826515021109786,-1.52822581439992
9.26,7.04486497637974,3.63733939416488,0.888684342376832,-1.43289761671029
9.28,7.06008066747344,4.2056727843119,0.952379473925726,-1.35284245022987
9.3,7.07529635856713,4.81262944766604,1.01581372120932,-1.28480184411582
9.32,7.09051204966082,5.44539204764624,1.07773228567265,-1.22612907119327
9.34,7.10572774075451,6.09199076391815,1.13725613011782,-1.17473883139851
9.36,7.12094343184821,6.74136348386128,1.19377071509786,-1.12900400839724
9.38,7.1361591229419,7.38340865853934,1.24684950151419,-1.08765312237432
9.4,7.15137481403559,8.00903046635176,1.29620204138466,-1.04968486929431
9.42,7.16659050512928,8.61017587981769,1.34163884241121,-1.01430168714339
9.44,7.18180619622298,9.1798631900183,1.38304754415084,-0.980859660866706
9.46,7.19702188731667,9.71220151451234,1.42037672433728,-0.948831216105519
9.48,7.21223757841036,10.2024008034787,1.45362488045239,-0.917777437506671
9.5,7.22745326950406,10.6467718704425,1.4828329443223,-0.887327519511941
9.52,7.24266896059775,11.0427160127201,1.50807921783632,-0.857163490044661
9.54,7.25788465169144,11.3887038556713,1.52947596249014,-0.827008855870689
9.56,7.27310034278513,11.6842431565383,1.54716709947384,-0.796620201713634
9.58,7.28831603387883,11.9298354379916,1.56132662284025,-0.765781055914134
9.6,7.30353172497252,12.1269214875247,1.57215742313804,-0.734297538084601
9.62,7.31874741606621,12.2778159530535,1.57989028032384,-0.701995449052296
9.64,7.3339631071599,12.3856314824989,1.58478282426297,-0.668718565260944
9.66,7.3491787982536,12.4541930885789,1.58711828648322,-0.634327968840862
9.68,7.36439448934729,12.4879436612882,1.58720388371055,-0.598702287178331
9.7,7.37961018044098,12.4918417896679,1.58536868662028,-0.561738735759154
9.72,7.39482587153468,12.4712532812118,1.58196084025293,-0.523354857377887
9.74,7.41004156262837,12.4318379712749,1.57734401966616,-0.483490830866816
9.76,7.42525725372206,12.3794335857456,1.57189302964754,-0.44211218511382
9.78,7.44047294481576,12.3199385495827,1.56598849454214,-0.399212702766594
9.8,7.45568863590945,12.2591957139739,1.5600106365634,-0.354817238959855
9.82,7.47090432700314,12.2028790009663,1.55433220980639,-0.30898412364552
9.84,7.48612001809683,12.156384933789,1.54931074120896,-0.261806775381084
9.86,7.50133570919052,12.1247309339451,1.54528032359986,-0.213414145877007
9.88,7.51655140028422,12.1124621251329,1.54254329984532,-0.163969653726374
9.9,7.53176709137791,12.1235681949038,1.54136225688645,-0.1136683628154
9.92,7.5469827824716,12.1614116348392,1.54195279779657,-0.0627323158764855
9.94,7.5621984735653,12.228668418742,1.54447756365995,-0.0114041323220012
9.96,7.57741416465899,12.3272818959886,1.54904192530039,0.0400608066340874
9.98,7.59262985575268,12.4584303850879,1.5556916572461,0.0914030716672995
10,7.60784554684637,12.6225086614759,1.56441275367561,0.14236815464867
10.02,7.62306123794007,12.8191232536901,1.57513336942783,0.192715010730134
10.04,7.63827692903376,13.0471012026919,1.5877276951985,0.242223549194493
10.06,7.65349262012745,13.3045117070142,1.60202143093464,0.290700593024735
10.08,7.66870831122115,13.5886998776969,1.61779842463603,0.33798402510306
10.1,7.68392400231484,13.8963316644986,1.6348080041258,0.383945051405333
10.12,7.69913969340853,14.2234488904069,1.65277254445138,0.428488701636914
10.14,7.71435538450222,14.565533244413,1.67139487212988,0.471552829607621
10.16,7.72957107559592,14.9175780305541,1.6903651933741,0.51310595806269
10.18,7.74478676668961,15.2741664511741,1.70936733013703,0.553144337975725
10.2,7.7600024577833,15.629555209196,1.72808414141465,0.591688572037256
10.22,7.77521814887699,15.9777622429956,1.74620208826081,0.628780101911551
10.24,7.79043383997069,16.3126574525322,1.76341496450329,0.664477794207371
10.26,7.80564953106438,16.6280553309825,1.77942686015136,0.698854793462289
10.28,7.82086522215807,16.9178084771556,1.79395445253195,0.73199575018529
10.3,7.83608091325177,17.1759010253645,1.80672873430054,0.763994482674617
10.32,7.85129660434546,17.3965410873188,1.81749629113214,0.794952094418912
10.34,7.86651229543915,17.5742513514597,1.82602023843887,0.824975543865628
10.36,7.88172798653284,17.7039570268262,1.83208091871283,0.854176648571959
10.38,7.89694367762654,17.781070349527,1.83547645127119,0.882671499208337
10.4,7.91215936872023,17.8015708897619,1.83602321590728,0.910580258582713
10.42,7.92737505981392,17.7620809066011,1.83355634235999,0.938027325108055
10.44,7.94259075090762,17.6599349979242,1.82793026936729,0.965141847649561
10.46,7.95780644200131,17.4932432860078,1.81901943089387,0.992058588558023
10.48,7.973022133095,17.260947368437,1.80671912331005,1.01891914336088
10.5,7.98823782418869,16.9628682526527,1.79094660621153,1.04587353874412
10.52,8.00345351528238,16.5997454846292,1.77164249161011,1.07308224498302
10.54,8.01866920637608,16.1732666821936,1.74877248191314,1.1007186547666
10.56,8.03388489746977,15.6860866958796,1.72232952712643,1.12897209715942
10.58,8.04910058856346,15.1418356493268,1.69233648695173,1.1580514725642
10.6,8.06431627965716,14.5451151613979,1.65884940501074,1.18818961037199
10.62,8.07953197075085,13.9014821269848,1.62196153157862,1.21964846214012
10.64,8.09474766184454,13.2174195361567,1.58180826918648,1.25272524306057
10.66,8.10996335293824,12.5002939437363,1.53857326298958,1.28775961100138
10.68,8.12517904403193,11.7582993647375,1.4924959140996,1.32514190369842
10.7,8.14039473512562,11.0003875648963,1.44388065472942,1.365322302775
10.72,8.15561042621931,10.2361849376866,1.3931083769031,1.40882049421395
10.74,8.17082611731301,9.47589640647675,1.3406504243831,1.45623484534086
10.76,8.1860418084067,8.73019705726438,1.28708548488183,1.50824916147456
10.78,8.20125749950039,8.01011248710347,1.23311945200929,1.56563350809506
10.8,8.21647319059409,7.32688913742822,1.17960768186299,1.62923316016008
10.82,8.23168888168778,6.69185616042887,1.12757776371484,1.6999363966226
10.84,8.24690457278147,6.11628063015633,1.07824859154065,1.77860811362331
10.86,8.26212026387516,5.61121814700346,1.03303788107696,1.86597406087216
10.88,8.27733595496885,5.18736108435769,0.99354562218013,1.96244451402386
10.9,8.29255164606255,4.85488687918587,0.961497121809285,2.06788380228922
10.92,8.30776733715624,4.62330886573909,0.938630654204323,2.181369363973
10.94,8.32298302824993,4.50133218648625,0.92652742883355,2.30103335373781
10.96,8.33819871934363,4.49671728253452,0.926408102069823,2.42410611649739
10.98,8.35341441043732,4.61615336550312,0.938950269771615,2.5472327409236
11,8.36863010153101,4.86514410534619,0.964191571927424,2.6670023875457
11.02,8.3838457926247,5.24790753855996,1.00155541477843,2.78049919506604
11.04,8.3990614837184,5.76729191575214,1.04998386021221,2.88566924157559
11.06,8.41427717481209,6.42470887666605,1.10812202774209,2.98141408516327
11.08,8.42949286590578,7.2200849765577,1.17449442484219,3.06746204822833
11.1,8.44470855699948,8.15183220393556,1.24763736900632,-3.1390508697186
11.12,8.45992424809317,9.21683774030316,1.32617951818266,-3.07107715736305
11.14,8.47513993918686,10.4104728323618,1.40887962880251,-3.01095777788422
11.16,8.49035563028055,11.7266202895116,1.49463582185865,-2.95780783818649
11.18,8.50557132137425,13.1577197969109,1.58247891650535,-2.91077666351287
11.2,8.52078701246794,14.694829956783,1.67155852657265,-2.86908553637252
11.22,8.53600270356163,16.3277057459527,1.76112706983669,-2.83204207174313
11.24,8.55121839465532,18.0448899103649,1.85052434406547,-2.79904123326043
11.26,8.56643408574902,19.8338167097318,1.93916380896725,-2.76955950404664
11.28,8.58164977684271,21.6809263761425,2.02652089102975,-2.74314612028858
11.3,8.5968654679364,23.571788655905,2.112123230991,-2.71941355143663
11.32,8.6120811590301,25.4912338577487,2.19554263337813,-2.69802835215996
11.34,8.62729685012379,27.4234899246567,2.27638843872076,-2.67870289659113
11.36,8.64251254121748,29.3523241713301,2.35430205643,-2.6611881667482
11.38,8.65772823231117,31.2611884741673,2.42895243537822,-2.64526759167286
11.4,8.67294392340487,33.1333668544157,2.50003229281854,-2.63075185133172
11.42,8.68815961449856,34.9521245473297,2.56725496272984,-2.6174745275749
11.44,8.70337530559225,36.7008577903125,2.63035175905893,-2.60528847905365
11.46,8.71859099668595,38.36324368229,2.68906977707018,-2.59406282426757
11.48,8.73380668777964,39.9233895570724,2.74317007755395,-2.58368042937681
11.5,8.74902237887333,41.3659813696522,2.79242621481236,-2.57403581117548
11.52,8.76423806996702,42.6764306120785,2.83662308103953,-2.56503337876418
11.54,8.77945376106072,43.8410192529882,2.87555604778836,-2.55658594914768
11.56,8.79466945215441,44.8470421324018,2.90903039041026,-2.54861348194604
11.58,8.8098851432481,45.6829461432299,2.93686098430004,-2.54104198664538
11.6,8.82510083434179,46.3384653974626,2.95887226300558,-2.53380256244601
11.62,8.84031652543549,46.804751414491,2.97489842821265,-2.52683053593515
11.64,8.85553221652918,47.0744971891345,2.98478390066016,-2.52006466564979
11.66,8.87074790762287,47.1420538068942,2.98838399949238,-2.51344638518785
11.68,8.88596359871656,47.0035380841418,2.98556583568039,-2.50691905790285
11.7,8.90117928981026,46.6569295322879,2.97620940318414,-2.50042721633594
11.72,8.91639498090395,46.1021547890159,2.96020884970109,-2.49391575827041
11.74,8.93161067199764,45.341157538016,2.93747390737821,-2.48732906839624
11.76,8.94682636309134,44.3779518623905,2.90793146299296,-2.48061002965794
11.78,8.96204205418503,43.2186569566475,2.87152724711848,-2.47369888083451
11.8,8.97725774527872,41.8715111670172,2.82822762303684,-2.46653186588119
11.82,8.99247343637241,40.3468634472902,2.7780214591332,-2.45903960473521
11.84,9.00768912746611,38.6571405130489,2.72092207386168,-2.45114509269558
11.86,9.0229048185598,36.8167882534726,2.65696925108636,-2.44276120319644
11.88,9.03812050965349,34.842186317037,2.58623133709511,-2.43378752235191
11.9,9.05333620074719,32.7515352214759,2.50880745102487,-2.42410627621851
11.92,9.06855189184088,30.5647158422908,2.42482987118528,-2.4135770126402
11.94,9.08376758293457,28.3031216969739,2.3344667061672,-2.40202955194577
11.96,9.09898327402826,25.9894650494098,2.23792503037109,-2.38925449754716
11.98,9.11419896512196,23.6475584927866,2.1354547731817,-2.37499025433194
12,9.12941465621565,21.3020743091183,2.02735382419568,-2.35890496605289
