"k","n_eff","delta_chi2","amp","phase"
6,4.56470732810782,99.9232469345989,1.17470725081299,-1.93821979073189
6.02,4.57992301920152,98.1494615229312,1.15942975254695,-1.98138410091204
6.04,4.59513871029521,96.5409125730912,1.14509272738593,-2.0265295873484
6.06,4.6103544013889,95.127957654644,1.13198539023126,-2.07355947382136
6.08,4.6255700924826,93.9384153557221,1.12038668395074,-2.12232542120677
6.1,4.64078578357629,92.9971548075118,1.11055697199391,-2.17262604076643
6.12,4.65600147466998,92.325751388038,1.10272968785622,-2.22420840062681
6.14,4.67121716576367,91.9422194950093,1.09710355216209,-2.27677299999486
6.16,4.68643285685737,91.8608300868254,1.09383601385695,-2.32998231086941
6.18,4.70164854795106,92.0920170594909,1.09303853080451,-2.38347250903742
6.2,4.71686423904475,92.6423727156653,1.09477416706783,-2.43686752589069
6.22,4.73207993013845,93.5147288617518,1.09905776153526,-2.48979416382741
6.24,4.74729562123214,94.7083166914599,1.10585865025047,-2.54189683142751
6.26,4.76251131232583,96.2189957898408,1.11510565262659,-2.59285052128146
6.28,4.77772700341952,98.0395404697738,1.12669381041175,-2.64237095497547
6.3,4.79294269451322,100.15997031354,1.1404922348774,-2.69022127572448
6.32,4.80815838560691,102.567911245707,1.15635238622918,-2.73621516710151
6.34,4.8233740767006,105.248973657875,1.17411616982273,-2.78021671047213
6.36,4.83858976779429,108.187134938536,1.19362335940084,-2.82213759442904
6.38,4.85380545888799,111.365115097484,1.21471801452398,-2.86193243395502
6.4,4.86902114998168,114.764735862405,1.23725371679274,-2.8995929623905
6.42,4.88423684107537,118.367255513323,1.26109758533554,-2.93514176590532
6.44,4.89945253216907,122.153673669312,1.2861331348884,-2.96862608411284
6.46,4.91466822326276,126.105002133103,1.31226210724899,-3.00011204102388
6.48,4.92988391435645,130.202499641207,1.33940544271559,-3.02967952459591
6.5,4.94509960545014,134.427869896335,1.36750356917352,-3.0574178148511
6.52,4.96031529654384,138.763423538341,1.3965161803157,-3.08342197408572
6.54,4.97553098763753,143.192205725951,1.42642165786639,-3.10778995586971
6.56,4.99074667873122,147.698091759146,1.45721627096867,-3.13062035697844
6.58,5.00596236982491,152.265853690569,1.48891326290054,3.13117458530699
6.6,5.02117806091861,156.881201181419,1.52154191343724,3.11112900010302
6.62,5.0363937520123,161.530799986609,1.55514664585302,3.09233608907917
6.64,5.05160944310599,166.202271439401,1.58978623137802,3.07470746626859
6.66,5.06682513419968,170.884176181469,1.62553313103311,3.05815880619789
6.68,5.08204082529338,175.565985180561,1.6624730050154,3.0426100130702
6.7,5.09725651638707,180.238040821616,1.70070441291893,3.02798526358078
6.72,5.11247220748076,184.891510570775,1.7403387237251,3.01421295954088
6.74,5.12768789857446,189.518335412889,1.78150025238061,3.00122561860166
6.76,5.14290358966815,194.111174966078,1.82432663964134,2.9889597248088
6.78,5.15811928076184,198.663350891056,1.86896949351903,2.97735555537109
6.8,5.17333497185553,203.168789945823,1.91559531402487,2.96635699573992
6.82,5.18855066294923,207.621967791558,1.9643867279608,2.95591135171197
6.84,5.20376635404292,212.017854435577,2.01554406736375,2.94596916462815
6.86,5.21898204513661,216.351862002539,2.06928733408405,2.9364840337115
6.88,5.23419773623031,220.61979535508,2.12585860423293,2.92741244804518
6.9,5.249413427324,224.817805938394,2.18552494039642,2.91871362953876
6.92,5.26462911841769,228.942349098281,2.2485818973273,2.91034938738607
6.94,5.27984480951138,232.990145016433,2.31535772931738,2.90228398391248
6.96,5.29506050060508,236.958143318698,2.38621843601808,2.89448401129182
6.98,5.31027619169877,240.843491339056,2.46157382002468,2.88691827833997
7,5.32549188279246,244.643505962424,2.5418847766775,2.87955770642952
7.02,5.34070757388615,248.355648921628,2.62767209785376,2.87237523349163
7.04,5.35592326497985,251.977505385745,2.71952715200807,2.86534572505544
7.06,5.37113895607354,255.506765647831,2.81812490934827,2.85844589130575
7.08,5.38635464716723,258.941209698361,2.92423992367632,2.85165420920247
7.1,5.40157033826092,262.278694455268,3.03876607521391,2.84495084879027
7.12,5.41678602935462,265.517143412024,3.16274114212851,2.83831760292543
7.14,5.43200172044831,268.654538460527,3.29737763251165,2.83173781975186
7.16,5.447217411542,271.688913645179,3.44410181792491,2.82519633736585
7.18,5.4624331026357,274.618350608212,3.60460363184751,2.81867942021359
7.2,5.47764879372939,277.440975493013,3.7809011351385,2.81217469686493
7.22,5.49286448482308,280.154957081988,3.97542476809292,2.80567109889909
7.24,5.50808017591677,282.758505957685,4.1911288632057,2.7991588007206
7.26,5.52329586701047,285.24987449012,4.43164130489908,2.79262916019673
7.28,5.53851155810416,287.627357469195,4.70146749266277,2.78607466007027
7.3,5.55372724919785,289.889293218246,5.00627308895714,2.77948885015333
7.32,5.56894294029155,292.034065042888,5.35328351563079,2.77286629034961
7.34,5.58415863138524,294.060102887935,5.75186061524524,2.76620249458485
7.36,5.59937432247893,295.965885093923,6.21435547731568,2.75949387574786
7.38,5.61459001357262,297.749940163467,6.7574051381485,2.75273769175985
7.4,5.62980570466632,299.410848465803,7.40396831363091,2.74593199289704
7.42,5.64502139576001,300.94724382526,8.18664317545968,2.7390755704931
7.44,5.6602370868537,302.357814955849,9.15331963197551,2.73216790714391
7.46,5.6754527779474,303.641306719332,10.3773371732236,2.72520912852832
7.48,5.69066846904109,304.79652119799,11.9769803598585,2.71819995694722
7.5,5.70588416013478,305.8223185856,14.156138180048,2.71114166666752
7.52,5.72109985122847,306.717617910876,17.298852502862,2.70403604114156
7.54,5.73631554232217,307.481397616768,22.2247087633009,2.69688533215365
7.56,5.75153123341586,308.112696026383,31.0506152391933,2.68969222092637
7.58,5.76674692450955,308.610611732176,51.4387483739288,2.68245978120004
7.6,5.78196261560324,308.974303949177,149.208201807252,2.67519144427819
7.62,5.79717830669694,309.202992876068,166.431576280346,-0.47370168757606
7.64,5.81239399779063,309.295960108182,53.5065610520441,-0.481030257899572
7.66,5.82760968888432,309.252549148441,31.9093201972786,-0.4883826068544
7.68,5.84282537997802,309.072166058213,22.7503054609098,-0.495754184404878
7.7,5.85804107107171,308.754280290203,17.68729101953,-0.503140229790751
7.72,5.8732567621654,308.298425740362,14.4750511742587,-0.510535795873152
7.74,5.88847245325909,307.704202052395,12.2557971804741,-0.517935772073665
7.76,5.90368814435279,306.971276202752,10.6308771691198,-0.525334906052574
7.78,5.91890383544648,306.099384388654,9.38983480093164,-0.532727824287556
7.8,5.93411952654017,305.088334234897,8.41107650880196,-0.540109051729074
7.82,5.94933521763387,303.938007328543,7.61944665901892,-0.547473030723217
7.84,5.96455090872756,302.648362083128,6.96598951002678,-0.554814139408112
7.86,5.97976659982125,301.219436926425,6.41744646732571,-0.562126709805163
7.88,5.99498229091494,299.651353797824,5.95043058746533,-0.569405045842035
7.9,6.01019798200864,297.944321933399,5.54801613674669,-0.576643441560947
7.92,6.02541367310233,296.098641908491,5.197650631801,-0.583836199782925
7.94,6.04062936419602,294.114709899608,4.88982738969647,-0.590977651516898
7.96,6.05584505528971,291.993022119401,4.61721391378942,-0.598062176421882
7.98,6.07106074638341,289.73417937084,4.37406338486282,-0.605084224650946
8,6.0862764374771,287.338891659441,4.15580748905612,-0.612038340427459
8.02,6.10149212857079,284.807982795668,3.95876858091774,-0.618919187727337
8.04,6.11670781966448,282.142394913866,3.77995227921287,-0.625721578465427
8.06,6.13192351075818,279.343192829187,3.61689544157988,-0.632440503610127
8.08,6.14713920185187,276.411568150386,3.46755300280333,-0.639071167677478
8.1,6.16235489294556,273.348843064494,3.33021256000822,-0.64560902708424
8.12,6.17757058403926,270.156473709118,3.20342907921021,-0.652049832869005
8.14,6.19278627513295,266.836053050414,3.0859744018874,-0.658389678320464
8.16,6.20800196622664,263.389313189382,2.9767977795971,-0.664625052082921
8.18,6.22321765732033,259.818127026898,2.87499472426318,-0.670752897340324
8.2,6.23843334841403,256.124509228968,2.7797821977799,-0.676770677711499
8.22,6.25364903950772,252.310616448474,2.69047868320535,-0.682676450520509
8.24,6.26886473060141,248.378746778704,2.60648805012894,-0.688468948137196
8.26,6.2840804216951,244.331338437238,2.52728639447148,-0.694147668113809
8.28,6.2992961127888,240.170967706992,2.45241122868429,-0.699712972874516
8.3,6.31451180388249,235.900346194263,2.38145254293932,-0.705166199746094
8.32,6.32972749497618,231.522317501629,2.31404536585819,-0.710509782151244
8.34,6.34494318606988,227.039853456765,2.24986353468076,-0.715747382822486
8.36,6.36015887716357,222.456050085988,2.18861444663827,-0.720884039937145
8.38,6.37537456825726,217.774123573738,2.13003461075578,-0.725926327126275
8.4,6.39059025935095,212.997406505132,2.07388585603275,-0.730882528377928
8.42,6.40580595044465,208.12934474782,2.01995208061408,-0.735762828945277
8.44,6.42102164153834,203.173495389947,1.96803644913537,-0.740579523492334
8.46,6.43623733263203,198.133526212016,1.91795896336603,-0.745347242877553
8.48,6.45145302372573,193.013217229698,1.86955434567689,-0.750083201204594
8.5,6.46666871481942,187.816464900327,1.82267018654971,-0.754807465081399
8.52,6.48188440591311,182.547289634742,1.77716531695299,-0.759543247449738
8.54,6.4971000970068,177.209847296363,1.73290837441255,-0.764317228910876
8.56,6.5123157881005,171.808445396506,1.68977653837721,-0.769159910219626
8.58,6.52753147919419,166.347564706288,1.64765441630932,-0.774106000599193
8.6,6.54274717028788,160.83188699665,1.60643306704169,-0.779194847803973
8.62,6.55796286138158,155.26632958512,1.56600915251909,-0.784470917501636
8.64,6.57317855247527,149.656087306856,1.52628421322832,-0.789984331649531
8.66,6.58839424356896,144.006682433919,1.48716406653993,-0.795791478213565
8.68,6.60360993466265,138.324022936857,1.44855833094627,-0.801955707952636
8.7,6.61882562575635,132.614469312786,1.41038008288877,-0.808548138228372
8.72,6.63404131685004,126.884909991302,1.37254565663302,-0.815648589091316
8.74,6.64925700794373,121.14284507167,1.33497460159924,-0.823346683469649
8.76,6.66447269903742,115.396477840826,1.29758981584732,-0.831743151415285
8.78,6.67968839013112,109.654813172569,1.26031787925209,-0.840951388350385
8.8,6.69490408122481,103.927761516337,1.22308961556114,-0.851099329435066
8.82,6.7101197723185,98.2262467543442,1.18584091936971,-0.862331716855966
8.84,6.7253354634122,92.5623157459631,1.14851389256999,-0.874812854224654
8.86,6.74055115450589,86.9492468995122,1.11105834568895,-0.888729962300557
8.88,6.75576684559958,81.4016546276071,1.07343373357405,-0.904297272212341
8.9,6.77098253669327,75.9355860716423,1.03561161319112,-0.921761014258992
8.92,6.78619822778697,70.5686060451517,0.997578735141528,-0.941405477754204
8.94,6.80141391888066,65.3198657697794,0.959340911238423,-0.963560321098511
8.96,6.81662960997435,60.2101506897307,0.920927839181178,-0.988609283665511
8.98,6.83184530106804,55.2619024810665,0.882399111968775,-1.01700035933061
9,6.84706099216174,50.4992103517216,0.843851691133882,-1.04925727641885
9.02,6.86227668325543,45.9477668869695,0.805429169295445,-1.08599168763789
9.04,6.87749237434912,41.6347840601484,0.767333164909986,-1.12791463512113
9.06,6.89270806544282,37.5888656207171,0.729837129005583,-1.17584435459163
9.08,6.90792375653651,33.8398329045522,0.693302599382906,-1.23070495575457
9.1,6.9231394476302,30.418502185963,0.658197332431141,-1.29350659568691
9.12,6.93835513872389,27.3564129961414,0.62511349405214,-1.36529243955397
9.14,6.95357082981759,24.6855083400987,0.594781851649491,-1.44703227270899
9.16,6.96878652091128,22.4377694102077,0.568074497231571,-1.53944148081916
9.18,6.98400221200497,20.6448091577331,0.545984669690694,-1.64271668805459
9.2,6.99921790309866,19.3374308680795,0.529570241909789,-1.7562184264278
9.22,7.01443359419236,18.5451596030834,0.519852384937005,-1.87819967582846
9.24,7.02964928528605,18.2957559289716,0.517677686874219,-2.00574320397765
9.26,7.04486497637974,18.6147226453613,0.523577538421071,-2.1350511838509
9.28,7.06008066747344,19.5248161785312,0.537675591342462,-2.26207178025833
9.3,7.07529635856713,21.0455748247768,0.559681772601731,-2.38323263005932
9.32,7.09051204966082,23.192876070967,0.588971474608873,-2.49597435366494
9.34,7.10572774075451,25.9785347508077,0.624711034921633,-2.59891781073745
9.36,7.12094343184821,29.4099528187435,0.665982049537028,-2.69171480206444
9.38,7.1361591229419,33.489830073886,0.711874554633351,-2.77474637524984
9.4,7.15137481403559,38.2159433100969,0.7615420820215,-2.84881568229154
9.42,7.16659050512928,43.5809991987226,0.814225765635415,-2.91490992396258
9.44,7.18180619622298,49.5725638424301,0.869258639025877,-2.97404560188759
9.46,7.19702188731667,56.173069498127,0.926059566159501,-3.02718201849262
9.48,7.21223757841036,63.35989658373,0.984123022313455,-3.07518117963045
9.5,7.22745326950406,71.1055268794153,1.04300817258725,-3.11879554690141
9.52,7.24266896059775,79.3777619158063,1.1023288609561,3.12451454002059
9.54,7.25788465169144,88.1399989922538,1.16174507961163,3.08782988057858
9.56,7.27310034278513,97.3515561451313,1.22095596576585,3.05387199084953
9.58,7.28831603387883,106.968036714759,1.27969414937793,3.02224945954275
9.6,7.30353172497252,116.941723938922,1.33772120676548,2.99263180074014
9.62,7.31874741606621,127.221996202235,1.39482397933554,2.9647393850587
9.64,7.3339631071599,137.755754144713,1.45081155010807,2.9383348280575
9.66,7.3491787982536,148.487851714173,1.50551271186524,2.91321574105702
9.68,7.36439448934729,159.361524360826,1.55877380001849,2.88920868330745
9.7,7.37961018044098,170.318808839769,1.61045679696978,2.86616413937246
9.72,7.39482587153468,181.300950431145,1.66043764201278,2.84395235472029
9.74,7.41004156262837,192.248794737265,1.70860470206863,2.82245988150739
9.76,7.42525725372206,203.10316250868,1.75485737462649,2.80158670811829
9.78,7.44047294481576,213.805207135643,1.79910480610251,2.78124386672698
9.8,7.45568863590945,224.296755477695,1.84126471732029,2.76135143153084
9.82,7.47090432700314,234.520633563716,1.8812623337068,2.74183683596392
9.84,7.48612001809683,244.420979359678,1.9190294217201,2.72263345020173
9.86,7.50133570919052,253.943545262999,1.95450343548124,2.70367937091004
9.88,7.51655140028422,263.035993239326,1.98762677897111,2.68491638381644
9.9,7.53176709137791,271.648185575519,2.0183461897789,2.6662890666414
9.92,7.5469827824716,279.732474090699,2.04661225048249,2.64774400552556
9.94,7.5621984735653,287.243990339401,2.07237903347329,2.62922910259956
9.96,7.57741416465899,294.140938872726,2.09560388452765,2.61069295598412
9.98,7.59262985575268,300.384895012998,2.11624734975956,2.59208429646529
10,7.60784554684637,305.941107864241,2.13427324981749,2.57335146751497
10.02,7.62306123794007,310.778808446146,2.1496489043477,2.55444193734437
10.04,7.63827692903376,314.871521925295,2.16234550885557,2.53530183339571
10.06,7.65349262012745,318.19738194918,2.17233866516668,2.51587549118787
10.08,7.66870831122115,320.739444091821,2.1796090657233,2.49610501082174
10.1,7.68392400231484,322.485994423503,2.18414333095106,2.47592981580598
10.12,7.69913969340853,323.430848251057,2.1859349978908,2.45528621027348
10.14,7.71435538450222,323.573633172418,2.18498565720458,2.43410693222379
10.16,7.72957107559592,322.920049783057,2.18130623451796,2.41232070226463
10.18,7.74478676668961,321.482102697173,2.17491841082409,2.38985176957986
