"k1","k2","k3","n1","n2","n3","delta1","delta2","delta3","Q_low","Q_high","Q_mean","koide_error","integer_error_10_15_20","score"
7.74,11.62,15.56,5.88847245325909,8.84031652543549,11.837807670893,1044.78379036054,150.057560867757,196.662549298828,0.666092943201377,0.669535283993115,0.667814113597246,0.00292542714491836,11.0212405332506,121.154812238163
9.5,14.26,18.12,7.22745326950406,10.8487877498029,13.7854161308856,105.643409011194,260.079381454208,138.35288068408,0.666199158485274,0.635343618513324,0.650771388499299,0.0313265368260886,7.97123774486914,44.4985253034359
7.74,11.62,14.26,5.88847245325909,8.84031652543549,10.8487877498029,1044.78379036054,150.057560867757,260.079381454208,0.666092943201377,0.613597246127367,0.639845094664372,0.0530725216566135,11.7724697885613,92.0265606185921
11.62,18.12,26,8.84031652543549,13.7854161308856,19.7803984218006,150.057560867757,138.35288068408,149.639090673289,0.641280353200883,0.717439293598234,0.679359823399558,0.0567655226076106,1.69360697608345,51.36832570244
7.74,11.62,16.86,5.88847245325909,8.84031652543549,12.826827591983,1044.78379036054,150.057560867757,203.269238779765,0.666092943201377,0.725473321858864,0.69578313253012,0.0588094537766558,10.3102260726702,92.3248786198128
9.5,12.94,16.86,7.22745326950406,9.84455213761921,12.826827591983,105.643409011194,330.362923812463,203.269238779765,0.734157650695518,0.651468315301391,0.692812982998454,0.0691810870788037,9.25851286274675,42.2452998794124
12.94,18.12,26,9.84455213761921,13.7854161308856,19.7803984218006,330.362923812463,138.35288068408,149.639090673289,0.714128035320088,0.717439293598234,0.715783664459161,0.0695013752381067,1.24402687518368,67.6121107263217
7.74,12.94,16.86,5.88847245325909,9.84455213761921,12.826827591983,1044.78379036054,330.362923812463,203.269238779765,0.598145285935085,0.651468315301391,0.624806800618238,0.0701866760972818,9.74359809436291,101.364399913365
9.5,12.94,18.12,7.22745326950406,9.84455213761921,13.7854161308856,105.643409011194,330.362923812463,138.35288068408,0.734157650695518,0.70015455950541,0.717156105100464,0.0753423645232997,8.53737141635333,38.154007874568
9.5,14.26,16.86,7.22745326950406,10.8487877498029,12.826827591983,105.643409011194,260.079381454208,203.269238779765,0.666199158485274,0.591164095371669,0.628681626928471,0.0755040186748751,8.73922084136261,37.3913329922414
