"well_rank","peak_index","k","n_eff","delta_chi2","prominence","nearest_integer_n","distance_to_integer","distance_to_n10","distance_to_n15","distance_to_n20"
1,103,8.06,6.13192351075818,956.240470357166,924.735099060101,6,0.131923510758178,3.86807648924182,8.86807648924182,13.8680764892418
2,7,6.14,4.67121716576367,366.636006605102,36.8756010289835,5,0.328782834236327,5.32878283423633,10.3287828342363,15.3287828342363
3,485,15.7,11.9443175085488,241.564223344365,240.960623540523,12,0.0556824914511918,1.94431750854881,3.05568249145119,8.05568249145119
4,550,17,12.9333374296388,197.563138952646,197.420958534734,13,0.0666625703611636,2.93333742963884,2.06666257036116,7.06666257036116
5,676,19.52,14.8505145074441,196.070372237838,195.684027620406,15,0.149485492555879,4.85051450744412,0.149485492555879,5.14948549255588
6,613,18.26,13.8919259685415,177.261770053854,173.214156781807,14,0.108074031458523,3.89192596854148,1.10807403145852,6.10807403145852
7,191,9.82,7.47090432700314,176.628993284328,168.587413700996,7,0.470904327003139,2.52909567299686,7.52909567299686,12.5290956729969
8,741,20.82,15.8395344285342,161.941929531138,160.949457883431,16,0.160465571465849,5.83953442853415,0.839534428534151,4.16046557146585
9,421,14.42,10.9705132785525,160.143265929411,158.130071672618,11,0.0294867214475296,0.97051327855247,4.02948672144753,9.02948672144753
10,925,24.5,18.6392215897736,107.264920214777,103.827723632359,19,0.360778410226384,8.63922158977362,3.63922158977362,1.36077841022638
11,804,22.08,16.7981229674368,96.7500968324421,92.8055938711732,17,0.201877032563207,6.79812296743679,1.79812296743679,3.20187703256321
12,862,23.24,17.680633050871,83.5872801214136,71.4034914045515,18,0.319366949129027,7.68063305087097,2.68063305087097,2.31936694912903
13,359,13.18,10.0271404307435,80.0948400553207,73.219894830323,10,0.0271404307435201,0.0271404307435201,4.97285956925648,9.97285956925648
14,254,11.08,8.42949286590578,73.9059505354526,57.4397111180406,8,0.429492865905782,1.57050713409422,6.57050713409422,11.5705071340942
15,991,25.82,19.6434572019573,59.7733739871801,59.1933752541045,20,0.356542798042661,9.64345720195734,4.64345720195734,0.356542798042661
16,305,12.1,9.20549311168411,42.2518205921333,22.342217746831,9,0.205493111684113,0.794506888315887,5.79450688831589,10.7945068883159
17,1244,30.88,23.4930270486616,26.8885108682407,14.8032401995697,23,0.493027048661602,13.4930270486616,8.4930270486616,3.4930270486616
18,1051,27.02,20.5563986675789,22.861175471804,21.5032909580223,21,0.443601332421096,10.5563986675789,5.5563986675789,0.556398667578904
19,1107,28.14,21.4084773688257,19.973932968227,16.8561405344481,21,0.408477368825697,11.4084773688257,6.4084773688257,1.4084773688257
20,1174,29.48,22.4279286721031,19.0578213911213,7.19803509979101,22,0.427928672103111,12.4279286721031,7.42792867210311,2.42792867210311
