"well_rank","peak_index","k","n_eff","delta_chi2","prominence","nearest_integer_n","distance_to_integer","distance_to_n10","distance_to_n15","distance_to_n20"
1,88,7.76,5.90368814435279,352.89104269028,324.7437749335,6,0.0963118556472136,4.09631185564721,9.09631185564721,14.0963118556472
2,416,14.32,10.894434823084,90.5509916249448,90.3875865122518,11,0.105565176915993,0.894434823084007,4.10556517691599,9.10556517691599
3,349,12.98,9.87498351980659,82.2560373513843,80.6986942149251,10,0.125016480193407,0.125016480193407,5.12501648019341,10.1250164801934
4,482,15.64,11.8986704352677,79.3210146466172,79.2934683405256,12,0.10132956473227,1.89867043526773,3.10132956473227,8.10132956473227
5,549,16.98,12.9181217385451,58.1171593650888,58.0522785989215,13,0.0818782614548574,2.91812173854514,2.08187826145486,7.08187826145486
6,283,11.66,8.87074790762287,47.1420538068942,45.2974027504515,9,0.129252092377127,1.12925209237713,6.12925209237713,11.1292520923771
7,1133,28.66,21.8040853372617,32.5337236833493,32.3248158865481,22,0.195914662738293,11.8040853372617,6.80408533726171,1.80408533726171
8,1062,27.24,20.7237712696095,30.8945205106556,30.078615385275,21,0.276228730390475,10.7237712696095,5.72377126960953,0.723771269609525
9,614,18.28,13.9071416596352,23.5962864056,23.5257644685353,14,0.0928583403648275,3.90714165963517,1.09285834036483,6.09285834036483
10,1201,30.02,22.8387523316328,20.9014761696708,19.7330840648265,23,0.161247668367185,12.8387523316328,7.83875233163281,2.83875233163281
11,737,20.74,15.7786716641594,20.0348262717471,19.9134744486946,16,0.221328335840621,5.77867166415938,0.778671664159379,4.22132833584062
12,220,10.4,7.91215936872023,17.8015708897619,13.3048536072274,8,0.0878406312797715,2.08784063127977,7.08784063127977,12.0878406312798
13,1269,31.38,23.8734193260039,15.8864419129277,10.0308494564888,24,0.126580673996077,13.8734193260039,8.87341932600392,3.87341932600392
14,934,24.68,18.7761628096168,12.3847751591438,12.294666273332,19,0.223837190383151,8.77616280961685,3.77616280961685,1.22383719038315
15,862,23.24,17.680633050871,11.4386847967507,11.247687762534,18,0.319366949129027,7.68063305087097,2.68063305087097,2.31936694912903
16,673,19.46,14.804867434163,11.0256443465314,10.2778176635893,15,0.195132565836955,4.80486743416304,0.195132565836955,5.19513256583696
17,993,25.86,19.6738885841447,7.76987228167127,3.91138781325026,20,0.326111415855276,9.67388858414472,4.67388858414472,0.326111415855276
18,803,22.06,16.7829072763431,5.13104522542926,2.55883646360962,17,0.217092723656901,6.7829072763431,1.7829072763431,3.2170927236569
