k2,deltaD_add_exact,D_base_exact,D_two_exact,C,a1,b1,A1,phi1,a2,b2,A2,phi2,success,message,n_iter,amplitude1_bound_active,amplitude2_bound_active
18.0,26.60301030715391,348.49696315276833,321.8939528456144,-0.014854957355792876,-0.01858721935154362,0.024701977437419125,0.03091395174579208,-2.2158691867246487,0.060266298789419075,-0.011035097248793254,0.06126826373470901,0.18109944484747081,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,21,False,False
18.01,27.392591400122058,348.49696315276833,321.1043717526463,-0.014924795605645098,-0.01854435515231275,0.024531575868406336,0.030752094605123806,-2.2180870597176368,0.061176821471495224,-0.010962729304999261,0.06215130665697937,0.1773154487249815,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,23,False,False
18.02,28.17923527800224,348.49696315276833,320.3177278747661,-0.014987193936956276,-0.018499016646310512,0.024360523356904057,0.030588375489763127,-2.2202768441006775,0.06206864603934901,-0.010874910705722999,0.0630141293998056,0.1734472811896647,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,26,False,False
18.03,28.962022623457642,348.49696315276833,319.5349405293107,-0.01504051015678949,-0.01844549250637134,0.02418570653398225,0.030416847212531954,-2.2223512858549945,0.062944619493019,-0.010776415063432184,0.06386044350566565,0.1695607913458514,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,26,False,False
18.04,29.740039425620523,348.49696315276833,318.7569237271478,-0.015084752168718551,-0.018391165327206003,0.02400610327607943,0.03024116328110438,-2.224524412786762,0.06380231125789534,-0.010661865214231746,0.06468701795334056,0.16557787800582946,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,16,False,False
18.05,30.512378146465437,348.49696315276833,317.9845850063029,-0.0151210677215247,-0.018329281284247344,0.023826020671754107,0.030060635612839493,-2.226533431106329,0.06464115790475077,-0.010535688933107025,0.06549412215277121,0.16156664829863596,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,20,False,False
18.06,31.278139595540438,348.49696315276833,317.2188235572279,-0.015147414546433962,-0.018266046144679107,0.023640056701749304,0.029874750586765888,-2.228651283276024,0.06546152138092916,-0.01039506000967033,0.06628173243142105,0.1574815759168334,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,22,False,False
18.07,32.036434572119845,348.49696315276833,316.4605285806485,-0.015166915073477167,-0.018194138579289653,0.023457844056947102,0.029686648959463994,-2.2304873877155074,0.06626543676552608,-0.010241329518608872,0.06705216581166239,0.1533369201778445,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,19,False,False
18.08,32.78638497355928,348.49696315276833,315.71057817920905,-0.015175528508631077,-0.018118090609060056,0.02327164648954792,0.029492960815296218,-2.2323191380328753,0.06704864730859397,-0.010079955703092358,0.06780211363142398,0.14922043760724008,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,27,False,False
18.09,33.527125360680486,348.49696315276833,314.96983779208784,-0.015176706229720728,-0.018039455045636005,0.023085260877552766,0.02929763144228882,-2.2341094631499967,0.06781326680733292,-0.009904605976508113,0.06853276861934297,0.1450315531028148,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,19,False,False
18.1,34.257804518567355,348.49696315276833,314.239158634201,-0.015167482523597496,-0.01795422840197529,0.022897637763671017,0.029097356111279067,-2.235771829502904,0.06855682314829108,-0.009717215775269064,0.06924205573644675,0.14080167858175371,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,19,False,False
18.11,34.97758648766114,348.49696315276833,313.5193766651072,-0.015150100397817166,-0.017865637309891,0.02270961200190824,0.028894765508060177,-2.2373743430135056,0.06928010728318151,-0.00951783163397265,0.06993084000769467,0.13652723593659954,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,21,False,False
18.12,35.68565184847563,348.49696315276833,312.8113113042927,-0.015124089356291903,-0.01777052879586803,0.02252436264489045,0.028690392228816097,-2.238761216055236,0.06998286807007,-0.009308814677654424,0.07059926241835489,0.13223935684883936,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,21,False,False
18.13,36.38119890592253,348.49696315276833,312.1157642468458,-0.015089936249941068,-0.01767325269438913,0.022338347817642983,0.028484129686927907,-2.2401249844894684,0.07066585707871446,-0.009088258468181338,0.07124787574836017,0.1279067849399325,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,22,False,False
18.14,37.063444710965086,348.49696315276833,311.43351844180324,-0.01504480488858064,-0.017573846823775958,0.022149915681289743,0.02827470347985608,-2.2415027760384882,0.0713295144561044,-0.008859923126021935,0.07187765904884928,0.12357823452204908,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,22,False,False
18.15,37.731626041633035,348.49696315276833,310.7653371111353,-0.014991743667104348,-0.017466031179710954,0.021964833943521854,0.02806271860203721,-2.2425922895062933,0.07196889567248853,-0.008622145094907314,0.07248353834047544,0.11923547809671578,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,17,False,False
18.16,38.385000264747134,348.49696315276833,310.1119628880212,-0.01492982436336541,-0.01735514700044329,0.021782533865623958,0.027851030663407238,-2.243549978487013,0.07258855480725625,-0.008373315846176827,0.07306990288255405,0.11484551792179024,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,21,False,False
18.17,39.022846249726626,348.49696315276833,309.4741169030417,-0.014859295171779608,-0.017240936452386526,0.021600361788160705,0.027637393493863772,-2.244425387048525,0.0731873543603989,-0.008117084192027706,0.07363610455513699,0.11045686728289927,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,20,False,False
18.18,39.64446514472212,348.49696315276833,308.8524980080462,-0.01477969257353013,-0.01712006527068227,0.021423327623894005,0.027423632169228076,-2.2450077372676263,0.07376341480617339,-0.007853142615947965,0.07418027509260139,0.10606439712697818,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,20,False,False
