null_best_deltaD_add,null_best_k2,null_reference_deltaD_add
4.248346458437155,18.0,1.285947009234711
3.8894359086472505,22.34,0.717568642488537
4.884859897340064,21.96,0.8881008194040376
5.368229421069536,18.51,2.2148264302879532
1.7968751693517646,20.36,1.2430353025304157
3.532748199655572,22.740000000000002,0.9376733267818409
5.741629043040682,20.37,2.714880402923818
4.274586397893994,18.29,1.4334498870985541
4.203259693415745,18.07,1.3235371511637908
6.448447878203794,20.22,5.1910274151014875
3.238254357833437,20.21,2.3282147986290127
2.7991132811148347,19.1,2.401623084623303
12.128473087012011,20.15,7.798100728127061
6.348228237070362,22.78,0.010163446090231787
4.956857112985553,23.13,0.9681033774524934
7.0565896605700615,24.0,4.691184069809545
1.8558486026463399,18.0,0.4309067550177019
9.620403522526615,20.990000000000002,5.489388828048284
2.5557107124401774,20.97,1.3711066271542833
13.955492576801884,19.1,10.925030983981848
3.162626521699295,18.35,0.7055948079947143
2.785057698631892,22.05,0.8964890232552278
2.073947859739363,18.0,0.2044181106051397
9.386541170520402,21.7,4.193581783713434
2.629485814093968,21.1,1.3105596324740318
4.024816854544994,19.33,3.941115249112471
5.955303564713379,23.82,2.2510945886903357
6.478630603829032,23.02,1.970493979887877
3.6627930157923316,22.96,0.6768372706190533
10.966362033284312,24.0,2.0220336942867974
4.124001903525972,18.73,2.4638639831937468
5.045140261681411,18.0,1.4986864677481933
4.1654086675420245,21.58,1.7802838813809316
4.670857954748357,22.71,2.1519299518898904
2.901938809571874,18.83,1.5184534849149784
3.3654364599717397,20.65,0.7026625561558788
9.026381255376975,20.03,7.434219836480068
7.259707087600447,19.08,4.888983257315942
5.843403773828953,24.0,1.071595947730529
5.311528659041741,21.9,0.9131256551197069
4.676908020990837,19.28,4.45064451760615
1.288101257977381,19.84,1.1086556291290819
4.111710693807179,21.240000000000002,0.9914542006933829
6.274541511119061,19.53,6.274541511119061
2.211337600194131,18.35,1.169451575360771
2.88452460065632,21.94,0.2639193705600036
4.690089577213946,18.0,0.7526750448538948
5.518872391239,22.62,2.159988160790732
5.070194228122595,18.0,0.7881097293006505
5.516426158659826,21.67,0.7662532305524294
4.058123902179272,21.38,0.1798199271913461
2.595540372695126,18.0,0.289893534037148
1.3934413703377757,18.0,0.6530316254042212
6.9355232645784,18.59,4.3747875892948045
7.89386169923916,18.64,4.919690721781187
4.606054760491652,23.11,1.2974802528947578
2.1949860586098637,18.0,0.8367778571599516
1.2578422106089207,18.21,1.0893356508901277
3.3642674551130938,21.39,0.5219915090263783
3.508021972841835,23.13,3.12182312439667
3.5284533246941834,23.03,2.0994370300498595
9.176639947699176,23.34,0.604222965184249
2.451563803085314,18.0,1.1663105684272281
5.453893461002281,23.55,4.850307813207394
5.2153712025010535,23.54,0.8873013706077373
3.0279205388378223,21.93,0.5782322368253894
1.1282918118708984,19.48,1.1274269092651892
5.299030388249413,23.7,2.275569289126736
9.372269686944257,18.39,5.664437663584124
4.161551643948602,18.24,1.3550874030916091
4.84894759227117,20.27,3.04295736490306
8.918161845390678,21.93,0.0009105882477982163
4.061750386554017,21.5,0.14159834798113735
4.886942868916012,18.0,1.0326438452746594
9.726639607820147,24.0,5.929623728477331
11.588757211707872,22.490000000000002,1.632958330623545
4.717517655964876,22.73,1.9025351577230936
2.8483214577667013,22.07,2.185278871941975
3.4566059105357922,18.0,0.7491540787728823
4.940166578880131,20.32,3.27861572574907
1.3297888001277087,21.97,1.1513174833920559
3.1687992075690765,24.0,2.9626741282245916
4.593853851580235,18.0,1.09446139225863
2.625166382969617,19.73,2.494473369243728
2.935987216270618,18.92,2.5431043868588006
5.96506640448375,18.1,1.3140288704522618
2.7121483169557195,18.0,0.21196329126119906
0.7689321133466507,18.19,0.01715895087448871
4.014768518674924,20.3,2.7320081336971107
3.6600981344987673,24.0,0.7338808322488717
4.649970144897793,21.490000000000002,0.1778811171517134
7.65579607528413,18.63,3.9906893678941238
6.365175186393763,21.4,0.5752377099902439
7.0988393790907836,22.740000000000002,2.1258281394810794
3.5890052254581946,21.97,1.5844315226946648
6.944176177295283,18.51,4.703621801773224
2.854546629259275,22.27,0.021356396759742324
2.7544797666476555,24.0,0.007771786472076769
2.5121157088610957,18.0,0.14670768535666667
3.095022500489776,22.66,1.7618205196565597
5.79639607792479,21.27,4.272936322616012
4.221444009375297,19.71,4.139428283040658
1.9414094412811735,20.12,1.0754638095620948
8.656058949919021,20.56,1.4385445769649152
5.946448824937285,19.76,5.5382054307215185
4.596013348281474,23.35,2.2659278581175926
13.51533433415284,18.0,3.4958884025370622
4.652900262938793,18.01,2.3792123417307423
4.362023121191072,22.78,2.693455359564801
3.781482891423366,18.74,1.3429699659376695
2.6190532211022486,22.97,2.0440727404936183
3.5601983207332495,18.0,1.0057493872105638
1.320950406413047,23.8,0.4255782216199364
5.205749622301667,22.03,0.9148490734912329
3.172205474603171,24.0,1.5432685187017618
3.4276034325582145,20.14,1.594232993063244
8.046502974561626,18.06,1.6841169180226316
3.1258093444232884,24.0,1.5066235192899171
1.2259638859745934,21.7,0.6792268169676561
2.6676818622352343,20.11,1.488449662632405
8.54562529968976,23.91,3.6648867063429833
7.181274741834834,18.46,3.779363651011913
8.238573593126432,20.29,4.581550898955296
3.593155009015426,20.75,2.767063291953896
5.531762774062727,24.0,0.8900808327254452
8.612268857175174,20.68,2.000037677356815
9.885409622430654,21.85,2.019568518577479
6.4356242685975715,22.23,0.2871200210722904
14.085140890858362,19.08,10.972888272625845
7.647636896779765,19.07,5.158604558361837
10.041039833923463,18.14,3.881390392491781
3.9508211802451783,22.19,0.33281046550611393
4.369814224314247,24.0,0.6996201805464537
2.8940318158034657,19.09,2.4173150091636373
5.677228116915799,18.0,3.4805460298280693
7.370274289675674,19.5,7.360811917281939
3.087047974918349,22.83,0.29440272688169955
4.456632798725341,20.98,1.679075231321569
4.513143093663167,22.37,0.046958114432193554
4.969103002076054,21.06,0.8350004869760497
5.195289354573738,23.75,1.0128796743614217
9.934494089346199,22.63,2.9760861048602507
0.8581717264339446,22.69,0.037025744497057644
2.1515135347138,18.0,0.5456413993955316
2.723656967681997,22.39,0.8284379825781443
3.1789793313614396,21.02,0.4833007163395351
3.3252844595182935,24.0,0.33026381398507
6.069788069274253,24.0,3.7014012711622826
3.342920616843223,19.65,3.2933699503452942
9.379399930044457,18.0,2.363168348497446
5.17758051994889,19.22,4.6961942243120625
5.814547850665139,18.0,0.2620025121605778
7.395260896072642,24.0,0.9994901289127185
2.5941701058667697,22.12,0.11413719385722132
4.403618570411943,24.0,1.611389348695937
0.8152562936676162,21.51,0.2368964109789431
10.593950589686123,21.93,0.7075580010940641
4.911856123796792,24.0,0.09492054924671933
4.42340904203564,21.94,0.41264848358629536
1.7797046288183864,22.93,0.3675229970743139
1.3007749253215728,22.03,1.0979396889421693
3.3565201783977088,24.0,0.47279855235392176
7.963760936941817,20.01,5.890154532321176
6.388764101683762,23.71,1.5873393465506425
7.625591951876203,18.98,4.964261632959314
8.632678209480513,24.0,2.8073521914552018
1.5947446900480173,24.0,0.12049443280295691
6.774644341253371,20.33,1.7718923551264396
6.9100598383972525,22.37,0.5666026175923307
16.538763251870023,19.93,13.978179651690013
4.478596219172211,22.21,0.10669411875910129
4.24751004124807,23.009999999999998,0.7973794262850262
5.458881644792022,18.79,4.6463964516442715
1.1249566632941992,20.51,0.6690994737987026
2.079395160205621,21.69,0.3286333089167641
6.968330299347777,21.8,0.4493402765752066
1.5369007228590768,20.57,0.5734688081677888
5.932384932559639,18.78,3.6153781542146355
5.87768425987214,21.71,4.849987603679583
4.868213307797873,21.81,1.8197492144367047
8.78388211143853,18.0,1.5953637002012329
4.709090486213505,24.0,0.306493921711283
6.134650263422635,18.25,0.13627781325483568
2.2889080548873793,22.04,1.1165824523151429
3.467843711752735,22.23,0.9592994728456787
2.3572421290364076,22.45,1.9769754240287085
7.4917194463549315,24.0,0.1467606816401954
2.342386661214576,20.94,0.634833684186475
3.737027874404461,18.72,2.1146830799970715
1.3466393058051622,20.25,0.5974736441436406
1.8752078927345082,23.64,0.8921571733183526
2.1257612022033356,22.62,0.31426402853334423
4.113238125264019,20.98,3.4851912406662677
4.629868096844696,19.0,4.011525315650289
1.1289042376284328,22.21,0.032684944483094114
6.056280143925768,18.0,1.8954604072938537
1.944013095411762,22.560000000000002,1.8233223879425893
3.1421878461927406,22.7,1.8135521163517367
3.0407742941263365,21.95,1.317268801333853
5.39018604327855,19.3,5.049073878987645
7.718947806372448,19.59,7.68275306216082
6.8673089418111,22.12,2.018233682573367
2.872226419869861,21.98,0.3802301319418291
3.98522310338592,21.78,0.10085832045342613
3.1110707712398167,21.11,1.5051451376069949
3.8337055368433433,22.68,0.8737325543627108
4.6979741939574,19.07,3.8893605630280987
2.862415325569586,22.89,0.09519840701410942
10.804247790573733,19.43,10.65264762704373
13.231379712328163,18.85,8.921462748001296
5.415330420642814,21.92,1.2830280726512484
2.097697945137803,20.46,0.6325373016568392
3.4527848771438343,24.0,1.0708392116919754
5.588101851885362,21.67,0.19486774053365252
5.989811331446113,18.0,0.49540634593645194
6.4448127691416985,23.67,1.3183550966571644
1.3194798517885786,19.46,1.3095665831330052
4.216348180631677,18.42,0.7033018285537693
5.023774846329509,19.61,4.991133185144726
1.9056875343651782,24.0,0.4394545655171953
4.452958479952404,21.34,1.7812620858934096
4.952627992188198,23.46,0.6195665691689456
6.173567994095251,19.28,5.885526256366006
6.302732685304136,22.8,2.08971329122042
8.724002808486794,23.64,1.045795147425146
5.788499196854332,21.86,0.280209124488664
8.209397776218523,23.990000000000002,0.6642367896017021
2.6309454781425217,23.740000000000002,1.4605473178788202
12.486006378549572,18.42,5.897254733054851
4.045551493742522,24.0,0.39931756701160026
5.473905393231529,23.009999999999998,0.09746004151127607
4.81483235330559,20.53,2.6318543452576506
10.050823734908548,19.73,9.480238147415584
7.006164760512533,22.32,1.9255310789509252
1.2754545459286604,23.490000000000002,0.1612651227844033
9.590404872711126,22.59,1.3529732328721522
4.18551779759494,24.0,0.29781564041942943
3.041129459238064,18.61,1.3474874016958296
7.684642143006528,19.24,7.3305341972384355
6.6880648492090415,22.02,0.484088277138099
