k,n_eff,delta_chi2,amp,phase
6.0,4.564707328107824,1.3583036419594237,0.6135727753983612,-0.03599187281495565
6.02,4.579923019201517,1.3972342353912381,0.6233206390397988,0.03515447398959695
6.04,4.59513871029521,1.4480844264288635,0.6356947882650508,0.1032745393482428
6.06,4.610354401388903,1.5102711652215817,0.6504787785316279,0.16797037677324422
6.08,4.6255700924825955,1.58315564869838,0.6674413824641335,0.22898431118733628
6.1,4.640785783576288,1.6660503877052975,0.6863473067631398,0.28618496444648106
6.12,4.656001474669981,1.7582261330627489,0.7069658155630704,0.33954683522994705
6.14,4.671217165763673,1.8589186022387025,0.7290770789867259,0.3891275769597596
6.16,4.686432856857366,1.9673349593451803,0.7524763936883121,0.4350460351947586
6.18,4.701648547951058,2.082660010657719,0.7769766071378136,0.4774628972469289
6.2,4.716864239044752,2.20406208592874,0.8024091435059894,0.5165647826272831
6.22,4.732079930138445,2.3306985826125697,0.8286240158282367,0.5525518824880656
6.24,4.747295621232137,2.4617211559998395,0.8554891539368018,0.5856288310483089
6.26,4.76251131232583,2.5962805434631377,0.8828893077937198,0.6159982951405656
6.28,4.777727003419523,2.73353101581921,0.9107247178820895,0.6438567215597846
6.3,4.792942694513216,2.8726344534478585,0.9389096862758894,0.6693917203593225
6.32,4.808158385606908,3.0127640494459342,0.9673711364390697,0.692780639476234
6.34,4.823374076700601,3.153107646826811,0.9960472161931987,0.7141899736219206
6.36,4.838589767794295,3.292870721610427,1.0248859747837198,0.7337753329313951
6.38,4.853805458887987,3.431279028512222,1.053844129356283,0.7516817676536892
6.4,4.86902114998168,3.567580930712097,1.0828859263600303,0.7680443023825709
6.42,4.884236841075372,3.7010494396585045,1.1119820976999701,0.7829885777145077
6.44,4.899452532169065,3.8309839948575473,1.1411089085243973,0.7966315306055888
6.46,4.914668223262757,3.9567120168849783,1.1702472923601126,0.8090820691743609
6.48,4.92988391435645,4.077590269247025,1.199382069188984,0.8204417152289614
6.5,4.945099605450143,4.193006066050884,1.2285012425068333,0.8308052000603142
6.52,4.960315296543835,4.302378362609886,1.2575953720994872,0.8402610073915933
6.54,4.975530987637528,4.405158765046281,1.2866570200120078,0.8488918628615661
6.5600000000000005,4.990746678731222,4.500832492665836,1.3156802678629114,0.8567751728488964
6.58,5.005962369824914,4.588919323423227,1.3446603042120977,0.8639834174172051
6.6,5.021178060918606,4.668974548279948,1.3735930811149692,0.8705845031227564
6.62,5.0363937520123,4.740589954825168,1.402475039296648,0.8766420817055414
6.64,5.051609443105992,4.803394854374403,1.4313029015835763,0.882215840519822
6.66,5.066825134199685,4.857057160076749,1.4600735343670612,0.8873617701251286
6.68,5.082040825293378,4.901284516577562,1.4887838769774493,0.8921324138779817
6.7,5.09725651638707,4.935825474717433,1.5174309389522482,0.8965771037265745
6.72,5.112472207480764,4.960470697827759,1.546011865317229,0.9007421857764737
6.74,5.1276878985744565,4.975054179621793,1.5745240701962289,0.9046712386066322
6.76,5.1429035896681485,4.979454447677199,1.602965439351832,0.9084052867977627
6.78,5.158119280761842,4.973595721256743,1.6313346026657403,0.9119830117053502
6.8,5.173334971855534,4.957448987872738,1.6596312781279363,0.9154409611749516
6.82,5.188550662949227,4.931032959725712,1.6878566896588392,0.9188137596606918
6.84,5.20376635404292,4.894414869045079,1.7160140620888245,0.9221343200682339
6.86,5.218982045136613,4.847711060526876,1.7441091979306578,0.9254340585987874
6.88,5.234197736230305,4.791087339559624,1.7721511422876115,0.928743113918114
6.9,5.249413427323999,4.724759036771275,1.8001529444562219,0.9320905721121983
6.92,5.264629118417691,4.648990752613713,1.828132527655468,0.9355046991192905
6.94,5.279844809511384,4.564095750166359,1.8561136820411777,0.9390131826491444
6.96,5.295060500605076,4.470434969999246,1.8841272010074317,0.9426433860207724
6.98,5.31027619169877,4.3684156476497265,1.9122121870888646,0.9464226168813527
7.0,5.325491882792462,4.258489521871184,1.9404175620356703,0.9503784144278574
7.02,5.340707573886154,4.141150630091886,1.968803826490489,0.9545388595640584
7.04,5.355923264979847,4.016932696243657,1.9974451290547783,0.9589329134223583
7.0600000000000005,5.3711389560735405,3.8864061250297937,2.0264317236535536,0.9635907909075816
7.08,5.386354647167233,3.7501746255159674,2.055872919774959,0.9685443774388228
7.1,5.401570338260925,3.6088714953809813,2.085900664928845,0.9738276989549504
7.12,5.416786029354618,3.463155604980841,2.1166739462408306,0.9794774576145617
7.140000000000001,5.432001720448311,3.31370712731632,2.148384263919123,0.9855336486001717
7.16,5.447217411542003,3.1612230658214457,2.1812625215188177,0.9920402772119715
7.18,5.462433102635697,3.0064126364358117,2.2155878087701306,0.99904620025056
7.2,5.477648793729389,2.849992563546266,2.2516987411390423,1.0066061218620048
7.22,5.492864484823082,2.6926823510006557,2.2900082958556363,1.0147817819807807
7.24,5.508080175916774,2.5351995894841934,2.3310234941271135,1.023643385828268
