well_rank,peak_index,k,n_eff,delta_chi2,prominence,nearest_integer_n,distance_to_integer,distance_to_n10,distance_to_n15,distance_to_n20
1,139,8.780000000000001,6.679688390131117,5.303549331940928,5.119616069181859,7.0,0.32031160986888274,3.3203116098688827,8.320311609868883,13.320311609868883
2,38,6.76,5.1429035896681485,4.979454447677199,3.6211508057177753,5.0,0.14290358966814853,4.8570964103318515,9.857096410331852,14.857096410331852
3,1004,26.080000000000002,19.841261186175345,3.5264178316311927,3.480835548028381,20.0,0.15873881382465527,9.841261186175345,4.841261186175345,0.15873881382465527
4,938,24.76,18.837025573991625,2.735348159986188,1.5060519296006305,19.0,0.16297442600837542,8.837025573991625,3.8370255739916246,1.1629744260083754
5,816,22.32,16.980711260561108,2.319015134689039,2.2633767705723926,17.0,0.019288739438891866,6.980711260561108,1.9807112605611081,3.019288739438892
6,213,10.26,7.805649531064379,2.176163504978888,1.6085229562533527,8.0,0.19435046893562102,2.194350468935621,7.194350468935621,12.194350468935621
7,703,20.060000000000002,15.261338166973829,2.0366562972687916,1.2124619360931774,15.0,0.26133816697382883,5.261338166973829,0.26133816697382883,4.738661833026171
8,630,18.6,14.150592717134256,1.930543746314811,1.8922182506440777,14.0,0.1505927171342556,4.150592717134256,0.8494072828657444,5.849407282865744
9,441,14.82,11.274827100426325,1.8994793132656014,1.8733796178239572,11.0,0.2748271004263252,1.2748271004263252,3.725172899573675,8.725172899573675
10,1073,27.46,20.891143871640146,1.8705123189334927,1.2248387394064935,21.0,0.1088561283598537,10.891143871640146,5.891143871640146,0.8911438716401463
11,319,12.379999999999999,9.41851278699581,1.7597404412268816,1.600162694484311,9.0,0.4185127869958105,0.5814872130041895,5.5814872130041895,10.58148721300419
12,510,16.200000000000003,12.324709785891129,1.1390190930461586,1.0556149616183461,12.0,0.32470978589112853,2.3247097858911285,2.6752902141088715,7.6752902141088715
13,1156,29.12,22.154046232416643,0.8204048055270619,0.6238029640132368,22.0,0.1540462324166434,12.154046232416643,7.154046232416643,2.1540462324166434
