"ell","q2_center","N_signal","N_Blow","N_Bhigh","N_side_combined","alpha","R_subtracted","variance","z_residual"
-2.29165379284371,0.101099126511097,9,9,10,19,0.284958979033728,3.58577939835916,10.542830774907,1.10434545943423
-2.26979119254304,0.103333754689087,9,14,6,20,0.284958979033728,3.30082041932543,10.6240323946389,1.0126915917615
-2.24792859224237,0.105617775609292,10,16,4,20,0.284958979033728,4.30082041932543,11.6240323946389,1.26145831318969
-2.2260659919417,0.107952281016193,6,8,2,10,0.284958979033728,3.15041020966272,6.81201619731945,1.20706114485328
-2.20420339164104,0.110338386785472,7,6,13,19,0.284958979033728,1.58577939835916,8.54283077490695,0.542552625780487
-2.18234079134037,0.112777233457384,10,10,6,16,0.284958979033728,5.44065633546035,11.2992259157111,1.61855308595198
-2.1604781910397,0.115269986781934,7,10,20,30,0.284958979033728,-1.54876937101185,9.43604859195834,-0.504187027121722
-2.13861559073903,0.117817838276093,9,16,9,25,0.284958979033728,1.87602552415679,11.0300404932986,0.564872184185252
-2.11675299043836,0.120422005793335,13,5,11,16,0.284958979033728,8.44065633546035,14.2992259157111,2.23213241490397
-2.09489039013769,0.123083734105758,8,13,10,23,0.284958979033728,1.44594348222425,9.86763725383473,0.460303979982954
-2.07302778983702,0.125804295499084,8,11,5,16,0.284958979033728,3.44065633546035,9.29922591571112,1.12828261562975
-2.05116518953636,0.128584990380791,9,12,15,27,0.284958979033728,1.30610756608933,11.1924437327625,0.390406001652747
-2.02930258923569,0.131427147901707,8,13,7,20,0.284958979033728,2.30082041932543,9.6240323946389,0.741658852573973
-2.00743998893502,0.134332126591328,7,8,12,20,0.284958979033728,1.30082041932543,8.6240323946389,0.442957598464053
-1.98557738863435,0.137301315007189,14,11,12,23,0.284958979033728,7.44594348222425,15.8676372538347,1.86923370598808
-1.96371478833368,0.140336132398578,11,12,10,22,0.284958979033728,4.73090246125798,12.7864356341028,1.32302864047114
-1.94185218803301,0.143438029384935,12,12,14,26,0.284958979033728,4.59106654512306,14.1112421130306,1.22216816214588
-1.91998958773234,0.146608488649227,8,3,8,11,0.284958979033728,4.86545123062899,8.89321781705139,1.63152472241778
