"n","k","delta_chi2","amp","phase"
10,13.1443257337752,0.127695640690149,0.176877451372546,2.75084010834763
11,14.4587583071527,1.25489367849116,0.540376325700932,-2.34144930227962
12,15.7731908805303,0.294885906495324,0.268439888536863,-1.03364865117111
13,17.0876234539078,0.334481017854159,0.284227768391439,2.51503901673546
14,18.4020560272853,1.63393463104069,0.618773577916189,-2.24469209695627
15,19.7164886006628,1.2124631626657,0.534951024983231,0.543414747942891
16,21.0309211740404,1.07753451646624,0.5056018847322,-1.19484471262591
17,22.3453537474179,2.31470546056255,0.740834716451837,-0.0800455306797433
18,23.6597863207954,0.195619956290329,0.213923765360053,-2.26152930199313
19,24.9742188941729,2.35324674708858,0.748273545965605,-0.336885864159749
20,26.2886514675504,3.04404267931284,0.856684855041575,1.67630379328283
21,27.603084040928,1.74243631655645,0.640204140043276,-2.76021648156413
22,28.9175166143055,0.771671535494249,0.430783350842481,0.0713630149061592
