"k","n_eff","delta_chi2","amp","phase"
6,4.56470732810782,1.35830364195942,0.613572775398361,-0.0359918728149545
6.02,4.57992301920152,1.39723423539124,0.6233206390398,0.0351544739895984
6.04,4.59513871029521,1.44808442642886,0.63569478826505,0.103274539348244
6.06,4.6103544013889,1.51027116522152,0.650478778531628,0.167970376773245
6.08,4.6255700924826,1.58315564869832,0.667441382464131,0.228984311187337
6.1,4.64078578357629,1.6660503877053,0.68634730676314,0.286184964446482
6.12,4.65600147466998,1.75822613306275,0.70696581556307,0.339546835229947
6.14,4.67121716576367,1.8589186022387,0.729077078986728,0.38912757695976
6.16,4.68643285685737,1.96733495934518,0.752476393688314,0.435046035194758
6.18,4.70164854795106,2.08266001065772,0.776976607137811,0.47746289724693
6.2,4.71686423904475,2.20406208592874,0.802409143505989,0.516564782627285
6.22,4.73207993013845,2.33069858261257,0.828624015828237,0.552551882488067
6.24,4.74729562123214,2.46172115599984,0.855489153936803,0.58562883104831
6.26,4.76251131232583,2.59628054346314,0.88288930779372,0.615998295140567
6.28,4.77772700341952,2.73353101581921,0.910724717882088,0.643856721559787
6.3,4.79294269451322,2.87263445344786,0.938909686275889,0.669391720359324
6.32,4.80815838560691,3.01276404944588,0.967371136439071,0.692780639476237
6.34,4.8233740767006,3.15310764682687,0.996047216193201,0.714189973621925
6.36,4.83858976779429,3.29287072161043,1.02488597478372,0.733775332931393
6.38,4.85380545888799,3.43127902851222,1.05384412935629,0.751681767653689
6.4,4.86902114998168,3.56758093071215,1.08288592636003,0.76804430238257
6.42,4.88423684107537,3.7010494396585,1.11198209769997,0.782988577714508
6.44,4.89945253216907,3.83098399485749,1.1411089085244,0.796631530605588
6.46,4.91466822326276,3.95671201688498,1.17024729236011,0.809082069174362
6.48,4.92988391435645,4.07759026924708,1.19938206918898,0.820441715228961
6.5,4.94509960545014,4.19300606605088,1.22850124250683,0.830805200060314
6.52,4.96031529654384,4.30237836260989,1.25759537209949,0.840261007391594
6.54,4.97553098763753,4.40515876504634,1.28665702001201,0.848891862861567
6.56,4.99074667873122,4.50083249266584,1.31568026786291,0.856775172848896
6.58,5.00596236982491,4.58891932342323,1.3446603042121,0.863983417417206
6.6,5.02117806091861,4.66897454827995,1.37359308111497,0.870584503122758
6.62,5.0363937520123,4.74058995482511,1.40247503929665,0.876642081705542
6.64,5.05160944310599,4.80339485437435,1.43130290158358,0.882215840519823
6.66,5.06682513419968,4.85705716007675,1.46007353436706,0.887361770125129
6.68,5.08204082529338,4.90128451657762,1.48878387697745,0.892132413877984
6.7,5.09725651638707,4.93582547471749,1.51743093895225,0.896577103726575
6.72,5.11247220748076,4.96047069782782,1.54601186531723,0.900742185776474
6.74,5.12768789857446,4.97505417962179,1.57452407019623,0.904671238606633
6.76,5.14290358966815,4.97945444767726,1.60296543935183,0.908405286797764
6.78,5.15811928076184,4.97359572125674,1.63133460266574,0.911983011705351
6.8,5.17333497185553,4.95744898787274,1.65963127812794,0.915440961174952
6.82,5.18855066294923,4.93103295972571,1.68785668965884,0.918813759660693
6.84,5.20376635404292,4.89441486904508,1.71601406208883,0.922134320068234
6.86,5.21898204513661,4.84771106052688,1.74410919793066,0.925434058598788
6.88,5.23419773623031,4.79108733955962,1.77215114228761,0.928743113918115
6.9,5.249413427324,4.72475903677127,1.80015294445622,0.932090572112199
6.92,5.26462911841769,4.64899075261366,1.82813252765547,0.935504699119291
6.94,5.27984480951138,4.56409575016636,1.85611368204118,0.939013182649145
6.96,5.29506050060508,4.47043496999925,1.88412720100743,0.942643386020773
6.98,5.31027619169877,4.36841564764967,1.91221218708886,0.946422616881355
7,5.32549188279246,4.25848952187118,1.94041756203567,0.950378414427857
7.02,5.34070757388615,4.14115063009189,1.96880382649049,0.95453885956406
7.04,5.35592326497985,4.01693269624366,1.99744512905477,0.958932913422361
7.06,5.37113895607354,3.88640612502979,2.02643172365355,0.963590790907583
7.08,5.38635464716723,3.75017462551602,2.05587291977496,0.968544377438824
7.1,5.40157033826092,3.60887149538098,2.08590066492884,0.973827698954952
7.12,5.41678602935462,3.46315560498078,2.11667394624083,0.979477457614564
7.14,5.43200172044831,3.31370712731626,2.14838426391912,0.985533648600173
7.16,5.447217411542,3.16122306582139,2.18126252151882,0.992040277211974
7.18,5.4624331026357,3.00641263643581,2.21558780877013,0.999046200250562
7.2,5.47764879372939,2.84999256354621,2.25169874113905,1.00660612186201
7.22,5.49286448482308,2.69268235100066,2.29000829585563,1.01478178198078
7.24,5.50808017591677,2.53519958948419,2.33102349412711,1.02364338582827
7.26,5.52329586701047,2.37825536012815,2.37537190065633,1.03327133637102
7.28,5.53851155810416,2.22254979138114,2.42383787281951,1.04375834923518
7.3,5.55372724919785,2.06876782203454,2.47741301251749,1.05521205267107
7.32,5.56894294029155,1.91757521803237,2.53736774001024,1.0677582055617
7.34,5.58415863138524,1.76961488451212,2.6053550217465,1.08154470651109
7.36,5.59937432247893,1.62550350763615,2.68356436019827,1.09674661969834
7.38,5.61459001357262,1.48582855342897,2.77495676777064,1.11357251202057
7.4,5.62980570466632,1.35114564325511,2.88363486604546,1.13227248496603
7.42,5.64502139576001,1.22197631800282,3.01544782723627,1.15314839689302
7.44,5.6602370868537,1.09880619566979,3.17902460567255,1.17656690697205
7.46,5.6754527779474,0.982083520086462,3.38763479294152,1.20297612181575
7.48,5.69066846904109,0.872218092101377,3.66276633579764,1.23292675803312
