"k1","k2","k3","n1","n2","n3","delta1","delta2","delta3","Q_low","Q_high","Q_mean","koide_error","integer_error_10_15_20","score"
12.38,18.6,24.76,9.41851278699581,14.1505927171343,18.8370255739916,1.75974044122682,1.93054374631475,2.73534815998619,0.665591397849462,0.665591397849462,0.665591397849462,0.00152065974448715,1.55310322471568,1.501710027804
10.26,14.82,20.06,7.80564953106438,11.2748271004263,15.2613381669738,2.17616350497894,1.8994793132656,2.03665629726879,0.692307692307692,0.676788124156545,0.684547908232119,0.0275663943533274,6.41459297851509,0.618752436973886
12.38,18.6,26.08,9.41851278699581,14.1505927171343,19.8412611861753,1.75974044122682,1.93054374631475,3.52641783163119,0.665591397849462,0.701075268817204,0.683333333333333,0.0344253991259832,1.04154602494907,1.13415510282757
10.26,16.2,22.32,7.80564953106438,12.3247097858911,16.9807112605611,2.17616350497894,1.13901909304616,2.31901513468904,0.633333333333333,0.688888888888889,0.661111111111111,0.0400616808384889,4.59221691586179,0.596287829256795
8.78,12.38,16.2,6.67968839013112,9.41851278699581,12.3247097858911,5.30354933194093,1.75974044122682,1.13901909304616,0.709208400646204,0.654281098546042,0.681744749596123,0.0443080289299392,10.0542303816033,0.591636036525168
10.26,14.82,18.6,7.80564953106438,11.2748271004263,14.1505927171343,2.17616350497894,1.8994793132656,1.93054374631475,0.692307692307692,0.62753036437247,0.659919028340081,0.0467879509402421,7.27376468364759,0.502003995869966
14.82,22.32,27.46,11.2748271004263,16.9807112605611,20.8911438716401,1.8994793132656,2.31901513468904,1.87051231893349,0.663978494623656,0.615143369175627,0.639560931899642,0.0515933760601394,2.51843972206141,0.695224395970071
12.38,20.06,26.08,9.41851278699581,15.2613381669738,19.8412611861753,1.75974044122682,2.03665629726879,3.52641783163119,0.617148554336989,0.650049850448654,0.633599202392821,0.0522318105173255,0.656980233659339,0.98821795294021
12.38,20.06,27.46,9.41851278699581,15.2613381669738,20.8911438716401,1.75974044122682,2.03665629726879,1.87051231893349,0.617148554336989,0.68444666001994,0.650797607178464,0.0526134166571325,1.09570179171452,0.729540121589424
6.76,10.26,14.82,5.14290358966815,7.80564953106438,11.2748271004263,4.97945444767726,2.17616350497894,1.8994793132656,0.658869395711501,0.722222222222222,0.690545808966862,0.0561000640590961,12.3076685987472,0.550855098392683
10.26,16.2,20.06,7.80564953106438,12.3247097858911,15.2613381669738,2.17616350497894,1.13901909304616,2.03665629726879,0.633333333333333,0.619135802469136,0.626234567901234,0.0580542346644519,5.86747540923723,0.455294534235581
6.76,10.26,12.38,5.14290358966815,7.80564953106438,9.41851278699581,4.97945444767726,2.17616350497894,1.75974044122682,0.658869395711501,0.603313840155945,0.631091617933723,0.0638308550878476,13.6864142801577,0.49386753482257
12.38,18.6,22.32,9.41851278699581,14.1505927171343,16.9807112605611,1.75974044122682,1.93054374631475,2.31901513468904,0.665591397849462,0.6,0.632795698924731,0.0666753376254945,3.18994115982964,0.578200512083763
12.38,20.06,24.76,9.41851278699581,15.2613381669738,18.8370255739916,1.75974044122682,2.03665629726879,2.73534815998619,0.617148554336989,0.617148554336989,0.617148554336989,0.0700291860397445,1.3262482919703,0.706373210086097
12.38,18.6,27.46,9.41851278699581,14.1505927171343,20.8911438716401,1.75974044122682,1.93054374631475,1.87051231893349,0.665591397849462,0.738172043010753,0.701881720430108,0.0715134606150384,1.36152763873325,0.592541371357906
14.82,20.06,26.08,11.2748271004263,15.2613381669738,19.8412611861753,1.8994793132656,2.03665629726879,3.52641783163119,0.738783649052841,0.650049850448654,0.694416749750748,0.0740066059869728,1.3109842808032,0.782752456550043
14.82,20.06,27.46,11.2748271004263,15.2613381669738,20.8911438716401,1.8994793132656,2.03665629726879,1.87051231893349,0.738783649052841,0.68444666001994,0.711615154536391,0.0742764250090854,1.57721880963309,0.595331011566787
8.78,14.82,20.06,6.67968839013112,11.2748271004263,15.2613381669738,5.30354933194093,1.8994793132656,2.03665629726879,0.592442645074224,0.676788124156545,0.634615384615385,0.074910942345393,6.88159126119295,0.670537789707559
16.2,22.32,27.46,12.3247097858911,16.9807112605611,20.8911438716401,1.13901909304616,2.31901513468904,1.87051231893349,0.725806451612903,0.615143369175627,0.670474910394265,0.0784357338707127,3.18145094041906,0.472859715500927
8.78,12.38,14.82,6.67968839013112,9.41851278699581,11.2748271004263,5.30354933194093,1.75974044122682,1.8994793132656,0.709208400646204,0.598546042003231,0.653877221324717,0.0803132531685921,10.8768612578728,0.521663237852817
14.82,22.32,26.08,11.2748271004263,16.9807112605611,19.8412611861753,1.8994793132656,2.31901513468904,3.52641783163119,0.663978494623656,0.584229390681004,0.62410394265233,0.0824810932327476,2.36084714556225,0.706864294389708
8.78,14.82,18.6,6.67968839013112,11.2748271004263,14.1505927171343,5.30354933194093,1.8994793132656,1.93054374631475,0.592442645074224,0.62753036437247,0.609986504723347,0.0839098059741418,7.68875463772847,0.606486907293221
14.82,20.06,24.76,11.2748271004263,15.2613381669738,18.8370255739916,1.8994793132656,2.03665629726879,2.73534815998619,0.738783649052841,0.617148554336989,0.677966101694915,0.0874808698926937,1.74527685169091,0.613750664900031
10.26,14.82,22.32,7.80564953106438,11.2748271004263,16.9807112605611,2.17616350497894,1.8994793132656,2.31901513468904,0.692307692307692,0.753036437246964,0.722672064777328,0.0900955019188909,5.27334728652861,0.466348980733296
8.78,12.38,18.6,6.67968839013112,9.41851278699581,14.1505927171343,5.30354933194093,1.75974044122682,1.93054374631475,0.709208400646204,0.751211631663974,0.730210016155089,0.0946448637612293,8.74031087870461,0.54005347981142
10.26,16.2,18.6,7.80564953106438,12.3247097858911,14.1505927171343,2.17616350497894,1.13901909304616,1.93054374631475,0.633333333333333,0.574074074074074,0.603703703703704,0.0984098537450847,6.79616930859344,0.338917932237054
12.38,16.2,22.32,9.41851278699581,12.3247097858911,16.9807112605611,1.75974044122682,1.13901909304616,2.31901513468904,0.764197530864197,0.688888888888889,0.726543209876543,0.100030478513356,4.07570970515523,0.384818086652839
16.2,22.32,26.08,12.3247097858911,16.9807112605611,19.8412611861753,1.13901909304616,2.31901513468904,3.52641783163119,0.725806451612903,0.584229390681004,0.655017921146953,0.10145648641375,3.05821691469817,0.541308737589755
10.26,16.2,24.76,7.80564953106438,12.3247097858911,18.8370255739916,2.17616350497894,1.13901909304616,2.73534815998619,0.633333333333333,0.764197530864198,0.698765432098765,0.103069785011071,3.65032344125479,0.449253143368039
