"well_rank","peak_index","k","n_eff","delta_chi2","prominence","nearest_integer_n","distance_to_integer","distance_to_n10","distance_to_n15","distance_to_n20"
1,139,8.78,6.67968839013112,5.30354933194093,5.11961606918192,7,0.320311609868883,3.32031160986888,8.32031160986888,13.3203116098689
2,38,6.76,5.14290358966815,4.97945444767726,3.62115080571783,5,0.142903589668149,4.85709641033185,9.85709641033185,14.8570964103319
3,1004,26.08,19.8412611861753,3.52641783163119,3.48083554802838,20,0.158738813824655,9.84126118617534,4.84126118617534,0.158738813824655
4,938,24.76,18.8370255739916,2.73534815998619,1.50605192960063,19,0.162974426008375,8.83702557399162,3.83702557399162,1.16297442600838
5,816,22.32,16.9807112605611,2.31901513468904,2.26337677057239,17,0.0192887394388919,6.98071126056111,1.98071126056111,3.01928873943889
6,213,10.26,7.80564953106438,2.17616350497894,1.60852295625341,8,0.194350468935621,2.19435046893562,7.19435046893562,12.1943504689356
7,703,20.06,15.2613381669738,2.03665629726879,1.21246193609318,15,0.261338166973829,5.26133816697383,0.261338166973829,4.73866183302617
8,630,18.6,14.1505927171343,1.93054374631475,1.89221825064402,14,0.150592717134256,4.15059271713426,0.849407282865744,5.84940728286574
9,441,14.82,11.2748271004263,1.8994793132656,1.87337961782396,11,0.274827100426325,1.27482710042633,3.72517289957367,8.72517289957367
10,1073,27.46,20.8911438716401,1.87051231893349,1.22483873940649,21,0.108856128359854,10.8911438716401,5.89114387164015,0.891143871640146
11,319,12.38,9.41851278699581,1.75974044122682,1.60016269448425,9,0.418512786995811,0.581487213004189,5.58148721300419,10.5814872130042
12,510,16.2,12.3247097858911,1.13901909304616,1.05561496161835,12,0.324709785891129,2.32470978589113,2.67529021410887,7.67529021410887
13,1156,29.12,22.1540462324166,0.820404805527062,0.62380296401318,22,0.154046232416643,12.1540462324166,7.15404623241664,2.15404623241664
