top_wells,pair,region_A,region_B,n_triplets_A,n_triplets_B,n_pairs,bestA_Q_mean,bestA_koide_error,bestB_Q_mean,bestB_koide_error,scale_a,scale_rmse,p_scale,affine_a,affine_b,affine_rmse,p_affine,phase_C,mean_phase_offset,p_phase,p_affine_and_phase,bestA_n1,bestA_n2,bestA_n3,bestB_n1,bestB_n2,bestB_n3
6,B_low_sideband_Kst_signal->signal_B_signal_Kst,B_low_sideband_Kst_signal,signal_B_signal_Kst,20,20,400,0.6745867768595041,0.024610975737197806,0.6397959183673467,0.15901642472672622,1.2246662487027178,1.7611949390124577,0.5275,0.6692249985573318,6.554983645045896,0.6814855432375184,0.8825,0.34751288818529075,1.596860276968533,0.54,0.4775,7.623061237940067,11.046591734020936,14.56141637666396,11.168317262770476,14.911377271818894,15.824318737440455
6,B_high_sideband_Kst_signal->signal_B_signal_Kst,B_high_sideband_Kst_signal,signal_B_signal_Kst,20,20,400,0.61687306501548,0.11843763303754215,0.6397959183673467,0.15901642472672622,0.7592847293110548,0.6456610521158361,0.1225,0.5786822760686079,3.4136835868160627,0.08978622235048643,0.1025,0.34586146989363326,1.5792677073794101,0.55,0.0575,13.45067092682439,19.65867289305103,21.606281353043705,11.168317262770476,14.911377271818894,15.824318737440455
6,B_low_sideband_Kst_signal->B_high_sideband_Kst_signal,B_low_sideband_Kst_signal,B_high_sideband_Kst_signal,20,20,400,0.6745867768595041,0.024610975737197806,0.61687306501548,0.11843763303754215,1.6174354723878142,1.658543221402129,0.365,1.1726777848308225,5.2487627938713874,1.0294480412179499,0.51,0.758327573791208,1.9136394129256864,0.23,0.0825,7.623061237940067,11.046591734020936,14.56141637666396,13.45067092682439,19.65867289305103,21.606281353043705
8,B_low_sideband_Kst_signal->signal_B_signal_Kst,B_low_sideband_Kst_signal,signal_B_signal_Kst,56,56,3136,0.6745867768595041,0.024610975737197806,0.6450953678474116,0.04406022541589507,1.0034092398369232,0.44005641455380085,0.030612244897959183,1.1465654875257267,-1.6894439547668139,0.13585354375992126,0.16071428571428573,0.3389287864523556,0.0005639096720776277,0.5723852040816326,0.09853316326530612,7.623061237940067,11.046591734020936,14.56141637666396,6.953570829817586,11.168317262770476,14.911377271818894
8,B_high_sideband_Kst_signal->signal_B_signal_Kst,B_high_sideband_Kst_signal,signal_B_signal_Kst,56,56,3136,0.6443172526573998,0.04954935667129427,0.6450953678474116,0.04406022541589507,0.6185976219530009,0.6337426122589199,0.09725765306122448,0.7545673123749466,-2.5903812718629258,0.2009574185363555,0.19706632653061223,0.28598126286322245,1.5819729274451184,0.9483418367346939,0.19323979591836735,12.492082387921748,18.60879020758623,22.97569355147605,6.953570829817586,11.168317262770476,14.911377271818894
8,B_low_sideband_Kst_signal->B_high_sideband_Kst_signal,B_low_sideband_Kst_signal,B_high_sideband_Kst_signal,56,56,3136,0.6745867768595041,0.024610975737197806,0.6443172526573998,0.04954935667129427,1.620076083606958,0.5495248598031497,0.03380102040816327,1.5097716736876512,1.301746319360037,0.444933332446097,0.27168367346938777,0.3076877309501638,-1.577314230583346,0.892219387755102,0.24872448979591838,7.623061237940067,11.046591734020936,14.56141637666396,12.492082387921748,18.60879020758623,22.97569355147605
10,B_low_sideband_Kst_signal->signal_B_signal_Kst,B_low_sideband_Kst_signal,signal_B_signal_Kst,120,120,14400,0.6745867768595041,0.024610975737197806,0.6450953678474116,0.04406022541589507,1.0034092398369232,0.44005641455380085,0.03256944444444444,1.1465654875257267,-1.6894439547668139,0.13585354375992126,0.1329861111111111,0.3389287864523556,0.0005639096720776277,0.6321527777777778,0.08618055555555555,7.623061237940067,11.046591734020936,14.56141637666396,6.953570829817586,11.168317262770476,14.911377271818894
10,B_high_sideband_Kst_signal->signal_B_signal_Kst,B_high_sideband_Kst_signal,signal_B_signal_Kst,84,120,10080,0.6443172526573998,0.04954935667129427,0.6450953678474116,0.04406022541589507,0.6185976219530009,0.6337426122589199,0.05773809523809524,0.7545673123749466,-2.5903812718629258,0.2009574185363555,0.18799603174603174,0.28598126286322245,1.5819729274451184,0.9261904761904762,0.17688492063492064,12.492082387921748,18.60879020758623,22.97569355147605,6.953570829817586,11.168317262770476,14.911377271818894
10,B_low_sideband_Kst_signal->B_high_sideband_Kst_signal,B_low_sideband_Kst_signal,B_high_sideband_Kst_signal,120,84,10080,0.6745867768595041,0.024610975737197806,0.6443172526573998,0.04954935667129427,1.620076083606958,0.5495248598031497,0.033134920634920635,1.5097716736876512,1.301746319360037,0.444933332446097,0.2443452380952381,0.3076877309501638,-1.577314230583346,0.8940476190476191,0.22341269841269842,7.623061237940067,11.046591734020936,14.56141637666396,12.492082387921748,18.60879020758623,22.97569355147605
12,B_low_sideband_Kst_signal->signal_B_signal_Kst,B_low_sideband_Kst_signal,signal_B_signal_Kst,220,165,36300,0.6635318704284221,0.015428237262522073,0.6775237273511647,0.021858396525466055,1.2282873602374818,0.17511381200126633,0.005537190082644628,1.2338725242071469,-0.08624476387852935,0.17376528581646725,0.14231404958677685,0.4504750393846801,0.025100783456635845,0.4528650137741047,0.0684573002754821,9.814120755431825,14.56141637666396,19.01961386711593,12.142121492766814,17.634985977589896,23.508242739755296
12,B_high_sideband_Kst_signal->signal_B_signal_Kst,B_high_sideband_Kst_signal,signal_B_signal_Kst,84,165,13860,0.6443172526573998,0.04954935667129427,0.6775237273511647,0.021858396525466055,0.990043529361532,0.6460775808050212,0.05512265512265512,1.0722045822004913,-1.5652639341173988,0.534335548230139,0.3673881673881674,0.2603973689141029,2.8513781906468565,0.9477633477633478,0.3531024531024531,12.492082387921748,18.60879020758623,22.97569355147605,12.142121492766814,17.634985977589896,23.508242739755296
12,B_low_sideband_Kst_signal->B_high_sideband_Kst_signal,B_low_sideband_Kst_signal,B_high_sideband_Kst_signal,220,84,18480,0.6635318704284221,0.015428237262522073,0.6443172526573998,0.04954935667129427,1.239458342287486,0.5098000752122923,0.03279220779220779,1.1404578873962623,1.5287413050604273,0.334775851151415,0.19545454545454546,0.7499534062109766,-1.051987223915026,0.2347943722943723,0.04594155844155844,9.814120755431825,14.56141637666396,19.01961386711593,12.492082387921748,18.60879020758623,22.97569355147605
15,B_low_sideband_Kst_signal->signal_B_signal_Kst,B_low_sideband_Kst_signal,signal_B_signal_Kst,455,165,75075,0.6635318704284221,0.015428237262522073,0.6775237273511647,0.021858396525466055,1.2282873602374818,0.17511381200126633,0.005168165168165168,1.2338725242071469,-0.08624476387852935,0.17376528581646725,0.14296370296370298,0.4504750393846801,0.025100783456635845,0.4466067266067266,0.06628038628038628,9.814120755431825,14.56141637666396,19.01961386711593,12.142121492766814,17.634985977589896,23.508242739755296
15,B_high_sideband_Kst_signal->signal_B_signal_Kst,B_high_sideband_Kst_signal,signal_B_signal_Kst,84,165,13860,0.6443172526573998,0.04954935667129427,0.6775237273511647,0.021858396525466055,0.990043529361532,0.6460775808050212,0.05512265512265512,1.0722045822004913,-1.5652639341173988,0.534335548230139,0.3673881673881674,0.2603973689141029,2.8513781906468565,0.9477633477633478,0.3531024531024531,12.492082387921748,18.60879020758623,22.97569355147605,12.142121492766814,17.634985977589896,23.508242739755296
15,B_low_sideband_Kst_signal->B_high_sideband_Kst_signal,B_low_sideband_Kst_signal,B_high_sideband_Kst_signal,455,84,38220,0.6635318704284221,0.015428237262522073,0.6443172526573998,0.04954935667129427,1.239458342287486,0.5098000752122923,0.03325484039769754,1.1404578873962623,1.5287413050604273,0.334775851151415,0.19829931972789117,0.7499534062109766,-1.051987223915026,0.2326268969126112,0.047200418628990055,9.814120755431825,14.56141637666396,19.01961386711593,12.492082387921748,18.60879020758623,22.97569355147605
18,B_low_sideband_Kst_signal->signal_B_signal_Kst,B_low_sideband_Kst_signal,signal_B_signal_Kst,560,165,92400,0.6635318704284221,0.015428237262522073,0.6775237273511647,0.021858396525466055,1.2282873602374818,0.17511381200126633,0.004902597402597402,1.2338725242071469,-0.08624476387852935,0.17376528581646725,0.14195887445887445,0.4504750393846801,0.025100783456635845,0.46454545454545454,0.06752164502164502,9.814120755431825,14.56141637666396,19.01961386711593,12.142121492766814,17.634985977589896,23.508242739755296
18,B_high_sideband_Kst_signal->signal_B_signal_Kst,B_high_sideband_Kst_signal,signal_B_signal_Kst,84,165,13860,0.6443172526573998,0.04954935667129427,0.6775237273511647,0.021858396525466055,0.990043529361532,0.6460775808050212,0.05512265512265512,1.0722045822004913,-1.5652639341173988,0.534335548230139,0.3673881673881674,0.2603973689141029,2.8513781906468565,0.9477633477633478,0.3531024531024531,12.492082387921748,18.60879020758623,22.97569355147605,12.142121492766814,17.634985977589896,23.508242739755296
18,B_low_sideband_Kst_signal->B_high_sideband_Kst_signal,B_low_sideband_Kst_signal,B_high_sideband_Kst_signal,560,84,47040,0.6635318704284221,0.015428237262522073,0.6443172526573998,0.04954935667129427,1.239458342287486,0.5098000752122923,0.03326955782312925,1.1404578873962623,1.5287413050604273,0.334775851151415,0.1990221088435374,0.7499534062109766,-1.051987223915026,0.23239795918367348,0.04819302721088435,9.814120755431825,14.56141637666396,19.01961386711593,12.492082387921748,18.60879020758623,22.97569355147605
