KDE_BANDWIDTH_SCALE,label,Q,obs_deltaD,p_vs_fixed_model_null,p_vs_model_scanmax_null,null_fixed_mean,null_fixed_std,null_scanmax_mean,null_scanmax_std
0.5,threshold_Q1,1.0,95.13223497005265,0.0001999600079984003,0.0001999600079984003,3.996192422362926,2.880541959480221,10.96927694617047,3.8988539611223203
0.5,near_075,0.75,207.75953685810111,0.0001999600079984003,0.0001999600079984003,5.981432675464083,3.497002332838232,10.96927694617047,3.8988539611223203
0.5,dense_Q_0.745000,0.745,203.2022562736595,0.0001999600079984003,0.0001999600079984003,5.986791768907727,3.517818955638558,10.96927694617047,3.8988539611223203
0.5,dense_Q_0.740000,0.74,198.82482922875488,0.0001999600079984003,0.0001999600079984003,5.988422286568758,3.5296778411480703,10.96927694617047,3.8988539611223203
0.5,dense_Q_0.735000,0.735,196.0563821466127,0.0001999600079984003,0.0001999600079984003,5.9871581172383275,3.530519401596589,10.96927694617047,3.8988539611223203
0.5,dense_Q_0.730000,0.73,194.6261828935833,0.0001999600079984003,0.0001999600079984003,5.9855747372834145,3.5220426449222737,10.96927694617047,3.8988539611223203
0.5,dense_Q_0.725000,0.725,193.5961203839273,0.0001999600079984003,0.0001999600079984003,5.986913121241047,3.509289272594938,10.96927694617047,3.8988539611223203
0.5,dense_Q_0.720000,0.72,192.44080623126752,0.0001999600079984003,0.0001999600079984003,5.993567345980236,3.4993521506229124,10.96927694617047,3.8988539611223203
0.5,dense_Q_0.715000,0.715,191.05982015117513,0.0001999600079984003,0.0001999600079984003,6.005559485900253,3.4966325704642296,10.96927694617047,3.8988539611223203
0.5,dense_Q_0.710000,0.71,189.35210353069078,0.0001999600079984003,0.0001999600079984003,6.0198177546891545,3.5006081819937043,10.96927694617047,3.8988539611223203
0.5,dense_Q_0.705000,0.705,187.73289978524406,0.0001999600079984003,0.0001999600079984003,6.030968139968652,3.507424004985562,10.96927694617047,3.8988539611223203
0.5,dense_Q_0.700000,0.7,186.6129996738838,0.0001999600079984003,0.0001999600079984003,6.0337950463241405,3.5117716796254625,10.96927694617047,3.8988539611223203
0.5,dense_Q_0.695000,0.695,186.0785769437183,0.0001999600079984003,0.0001999600079984003,6.026468215342357,3.5097951669135496,10.96927694617047,3.8988539611223203
0.5,dense_Q_0.690000,0.69,185.78784805626526,0.0001999600079984003,0.0001999600079984003,6.012269226137704,3.5036462703677422,10.96927694617047,3.8988539611223203
0.5,dense_Q_0.685000,0.685,185.19087191141773,0.0001999600079984003,0.0001999600079984003,5.99804245729674,3.500467042594136,10.96927694617047,3.8988539611223203
0.5,dense_Q_0.680000,0.68,183.86887176254083,0.0001999600079984003,0.0001999600079984003,5.990390644062621,3.5035350697661696,10.96927694617047,3.8988539611223203
0.5,dense_Q_0.675000,0.675,181.95209788752902,0.0001999600079984003,0.0001999600079984003,5.992340045930087,3.5086812658943525,10.96927694617047,3.8988539611223203
0.5,dense_Q_0.670000,0.67,180.15860511234575,0.0001999600079984003,0.0001999600079984003,6.002211697507906,3.5114821647386494,10.96927694617047,3.8988539611223203
0.5,koide_lepton,0.6666666666666666,179.40159364674878,0.0001999600079984003,0.0001999600079984003,6.010714995263194,3.5121313924894895,10.96927694617047,3.8988539611223203
0.5,dense_Q_0.665000,0.665,179.1977250592638,0.0001999600079984003,0.0001999600079984003,6.014863851000589,3.5123084595274157,10.96927694617047,3.8988539611223203
0.5,dense_Q_0.660000,0.66,179.26287038126543,0.0001999600079984003,0.0001999600079984003,6.024588013920869,3.5121819489684194,10.96927694617047,3.8988539611223203
0.5,dense_Q_0.655000,0.655,179.99932607001654,0.0001999600079984003,0.0001999600079984003,6.028032968567514,3.509427875126463,10.96927694617047,3.8988539611223203
0.5,low_bw_empirical,0.65,180.51308965064493,0.0001999600079984003,0.0001999600079984003,6.0253495368830245,3.5039054549867985,10.96927694617047,3.8988539611223203
0.5,dense_Q_0.645000,0.645,179.62792081974817,0.0001999600079984003,0.0001999600079984003,6.019228774562285,3.500087199252449,10.96927694617047,3.8988539611223203
0.5,dense_Q_0.640000,0.64,176.61349161486544,0.0001999600079984003,0.0001999600079984003,6.012906540821158,3.5016638895487637,10.96927694617047,3.8988539611223203
0.5,dense_Q_0.635000,0.635,171.73413253456204,0.0001999600079984003,0.0001999600079984003,6.008376410788234,3.5059246348885704,10.96927694617047,3.8988539611223203
0.5,quark_like,0.63026,166.4406362942026,0.0001999600079984003,0.0001999600079984003,6.0059904455962805,3.5076651598258795,10.96927694617047,3.8988539611223203
0.5,dense_Q_0.630000,0.63,166.15847705449357,0.0001999600079984003,0.0001999600079984003,6.005905579077371,3.5076493965824387,10.96927694617047,3.8988539611223203
