A_MAX,region,branch_label,branch_class,n_values,k_values,N_events,D_base,D_branch,deltaD,deltaD_per_event,p_fixed_branch,null_mean,null_std,null_95,null_99,A1,amps,max_amp,phases,coef_bound_active,amp_bound_active,bound_active,success_base,success_branch,branch_rank_by_deltaD
0.1,B_low_sideband_Kst_signal,folded_trig_Q_4over9,folded_subcentral_Q_4over9,"[6.6666666667, 15.0, 13.3333333333]","[8.762883822560628, 19.716488600662828, 17.525767644989813]",29000,4049.998314317293,2961.5293864875703,1088.4689278297228,0.0375334113044732,0.000999000999000999,5.86794383839598,3.5220871122613353,12.61394272046177,16.54917498237742,0.08754272051019318,"[0.12537862058515106, 0.14142135623730953, 0.11920763229942594]",0.14142135623730953,"[2.218313119596375, 2.356194490192345, 2.146384180701973]",True,True,True,True,True,1
0.1,B_low_sideband_Kst_signal,well_first_Blow,raw_well_triplet,"[9.81412076, 14.56141638, 19.01961387]","[12.90000000600456, 19.140000004385, 25.00000000379091]",29000,4049.998314317293,2970.259986659049,1079.738327658244,0.037232356126146345,0.000999000999000999,6.127324480626175,3.558160616057338,12.874634471566239,17.023616939967432,0.08754272051019318,"[0.14142135623730953, 0.14142135623730953, 0.13556234783862414]",0.14142135623730953,"[-0.7853981633974483, -2.356194490192345, 0.8296097663520297]",True,True,True,True,True,2
0.1,B_low_sideband_Kst_signal,koide_exact_10_15_20,true_sideband_Q_2over3,"[10.0, 15.0, 20.0]","[13.14432573377522, 19.716488600662828, 26.28865146755044]",29000,4049.998314317293,3138.691810125244,911.306504192049,0.03142436221351893,0.000999000999000999,5.915918948144346,3.517059455395083,12.2867076842078,17.112166503316722,0.08754272051019318,"[0.11400091845441504, 0.1330112602097391, 0.1297339849558696]",0.1330112602097391,"[-1.0699696150198736, 2.4216083030640485, -2.408467932171602]",True,False,True,True,True,3
0.1,B_low_sideband_Kst_signal,scaled_Blow_to_signal,scaled_raw_well_triplet,"[12.054560481352269, 17.88560368670903, 23.361551313118497]","[15.84490695443884, 23.509420080331445, 30.707184010593373]",29000,4049.998314317293,3299.3815835872742,750.6167307300188,0.025883335542414444,0.000999000999000999,6.150497263191726,3.387333266680656,12.707429587222277,17.26049659217985,0.08754272051019318,"[0.12774634641463145, 0.10445093113589542, 0.09243000015784707]",0.12774634641463145,"[-0.6716415146852964, -1.8637767974683372, -0.2986562249359524]",True,False,True,True,True,4
0.1,B_low_sideband_Kst_signal,well_first_signal,raw_well_triplet,"[12.14212149, 17.63498598, 23.50824274]","[15.95999999636321, 23.180000003167923, 30.900000000321644]",29000,4049.998314317293,3312.213695009535,737.784619307758,0.02544084894164683,0.000999000999000999,6.191777968704899,3.655713011718467,12.817935617997053,18.884622218543782,0.08754272051019318,"[0.14142135623730953, 0.12145748987635718, 0.08496550276772648]",0.14142135623730953,"[-0.7853981633974483, -0.889275854823939, -0.7092505608924198]",True,True,True,True,True,5
0.075,B_low_sideband_Kst_signal,well_first_Blow,raw_well_triplet,"[9.81412076, 14.56141638, 19.01961387]","[12.90000000600456, 19.140000004385, 25.00000000379091]",29000,4049.9983143185987,3074.5507922503,975.4475220682984,0.03363612145063098,0.000999000999000999,6.09033273564726,3.5051627806506613,12.790494576662462,16.190281166423613,0.08754245774010627,"[0.10606601717798213, 0.10606601717798213, 0.10606601717798213]",0.10606601717798213,"[-0.7853981633974483, -2.356194490192345, 0.7853981633974483]",True,True,True,True,True,1
0.075,B_low_sideband_Kst_signal,folded_trig_Q_4over9,folded_subcentral_Q_4over9,"[6.6666666667, 15.0, 13.3333333333]","[8.762883822560628, 19.716488600662828, 17.525767644989813]",29000,4049.9983143185987,3135.4785168755893,914.5197974430093,0.03153516542906929,0.000999000999000999,5.745451006783775,3.374089700655833,12.219551868127382,16.119864291956162,0.08754245774010627,"[0.10606601717798213, 0.10606601717798213, 0.09236733346784191]",0.10606601717798213,"[2.356194490192345, 2.356194490192345, 2.194064187330175]",True,True,True,True,True,2
0.075,B_low_sideband_Kst_signal,koide_exact_10_15_20,true_sideband_Q_2over3,"[10.0, 15.0, 20.0]","[13.14432573377522, 19.716488600662828, 26.28865146755044]",29000,4049.9983143185987,3218.1558287870466,831.842485531552,0.028684223639019034,0.000999000999000999,5.851937172729786,3.549593666753919,12.432615862839071,18.502506350176965,0.08754245774010627,"[0.09185585569991098, 0.10606601717798213, 0.10606601717798213]",0.10606601717798213,"[-0.9553167667646483, 2.356194490192345, -2.356194490192345]",True,True,True,True,True,3
0.075,B_low_sideband_Kst_signal,well_first_signal,raw_well_triplet,"[12.14212149, 17.63498598, 23.50824274]","[15.95999999636321, 23.180000003167923, 30.900000000321644]",29000,4049.9983143185987,3358.5867671222354,691.4115471963632,0.023841777489529765,0.000999000999000999,5.902259018454566,3.4895698919594995,12.283151054812176,16.353813699031623,0.08754245774010627,"[0.10606601717798213, 0.10606601717798213, 0.08334352828231277]",0.10606601717798213,"[-0.7853981633974483, -0.7853981633974483, -0.688515965393623]",True,True,True,True,True,4
0.075,B_low_sideband_Kst_signal,scaled_Blow_to_signal,scaled_raw_well_triplet,"[12.054560481352269, 17.88560368670903, 23.361551313118497]","[15.84490695443884, 23.509420080331445, 30.707184010593373]",29000,4049.9983143185987,3371.6668532426197,678.331461075979,0.023390740037102724,0.000999000999000999,6.114576560507041,3.6147756237298285,12.777987398711943,18.08394328380103,0.08754245774010627,"[0.10606601717798213, 0.08003381191943557, 0.08014808802891261]",0.10606601717798213,"[-0.7853981633974483, -1.9273539580201346, -0.3603660815035028]",True,True,True,True,True,5
0.05,B_low_sideband_Kst_signal,well_first_Blow,raw_well_triplet,"[9.81412076, 14.56141638, 19.01961387]","[12.90000000600456, 19.140000004385, 25.00000000379091]",29000,4054.1798966393258,3292.9682419987234,761.2116546406023,0.026248677746227665,0.000999000999000999,5.948313618745807,3.425290940535647,12.460754327513316,16.952178747395017,0.07071067811865477,"[0.07071067811865477, 0.07071067811865477, 0.07071067811865477]",0.07071067811865477,"[-0.7853981633974483, -2.356194490192345, 0.7853981633974483]",True,True,True,True,True,1
0.05,B_low_sideband_Kst_signal,folded_trig_Q_4over9,folded_subcentral_Q_4over9,"[6.6666666667, 15.0, 13.3333333333]","[8.762883822560628, 19.716488600662828, 17.525767644989813]",29000,4054.1798966393258,3382.091976241478,672.0879203978479,0.023175445530960275,0.000999000999000999,5.970236279398283,3.370245265240411,12.275753637314889,16.046424563534636,0.07071067811865477,"[0.07071067811865477, 0.07071067811865477, 0.06316777029199502]",0.07071067811865477,"[2.356194490192345, 2.356194490192345, 2.228263035220767]",True,True,True,True,True,2
0.05,B_low_sideband_Kst_signal,koide_exact_10_15_20,true_sideband_Q_2over3,"[10.0, 15.0, 20.0]","[13.14432573377522, 19.716488600662828, 26.28865146755044]",29000,4054.1798966393258,3392.3639624322836,661.8159342070421,0.02282123911058766,0.000999000999000999,6.064417345676267,3.481017194139919,12.487422466876803,16.26583050504608,0.07071067811865477,"[0.07071067811865477, 0.07071067811865477, 0.07071067811865477]",0.07071067811865477,"[-0.7853981633974483, 2.356194490192345, -2.356194490192345]",True,True,True,True,True,3
0.05,B_low_sideband_Kst_signal,well_first_signal,raw_well_triplet,"[12.14212149, 17.63498598, 23.50824274]","[15.95999999636321, 23.180000003167923, 30.900000000321644]",29000,4054.1798966393258,3481.3589446239293,572.8209520153964,0.019752446621220564,0.000999000999000999,6.003655617600654,3.5237447891286355,12.78123948180821,17.33057676724297,0.07071067811865477,"[0.07071067811865477, 0.07071067811865477, 0.07071067811865477]",0.07071067811865477,"[-0.7853981633974483, -0.7853981633974483, -0.7853981633974483]",True,True,True,True,True,4
0.05,B_low_sideband_Kst_signal,scaled_Blow_to_signal,scaled_raw_well_triplet,"[12.054560481352269, 17.88560368670903, 23.361551313118497]","[15.84490695443884, 23.509420080331445, 30.707184010593373]",29000,4054.1798966393258,3516.3256927598477,537.8542038794781,0.018546696685499242,0.000999000999000999,5.990968645209272,3.4528891914870314,12.854355840451941,17.292999665036394,0.07071067811865477,"[0.07071067811865477, 0.05704701025625585, 0.058459360617033]",0.07071067811865477,"[-0.7853981633974483, -2.073111783459557, -0.5446763734389811]",True,True,True,True,True,5
0.025,B_low_sideband_Kst_signal,well_first_Blow,raw_well_triplet,"[9.81412076, 14.56141638, 19.01961387]","[12.90000000600456, 19.140000004385, 25.00000000379091]",29000,4085.063416693653,3645.9738251441663,439.0895915494866,0.015141020398258159,0.000999000999000999,5.868126808107027,3.505946597675711,12.413343193668771,17.814162665986036,0.03535533905932738,"[0.03535533905932738, 0.03535533905932738, 0.03535533905932738]",0.03535533905932738,"[-0.7853981633974483, -2.356194490192345, 0.7853981633974483]",True,True,True,True,True,1
0.025,B_low_sideband_Kst_signal,koide_exact_10_15_20,true_sideband_Q_2over3,"[10.0, 15.0, 20.0]","[13.14432573377522, 19.716488600662828, 26.28865146755044]",29000,4085.063416693653,3696.6233931725374,388.44002352111556,0.01339448356969364,0.000999000999000999,5.980757881759442,3.418443860137072,12.255328799180159,15.69583283011775,0.03535533905932738,"[0.03535533905932738, 0.03535533905932738, 0.03535533905932738]",0.03535533905932738,"[-0.7853981633974483, 2.356194490192345, -2.356194490192345]",True,True,True,True,True,2
0.025,B_low_sideband_Kst_signal,folded_trig_Q_4over9,folded_subcentral_Q_4over9,"[6.6666666667, 15.0, 13.3333333333]","[8.762883822560628, 19.716488600662828, 17.525767644989813]",29000,4085.063416693653,3710.153835481992,374.90958121166113,0.012927916593505557,0.000999000999000999,5.909355455494241,3.403405064720526,12.35609451540444,16.26802503897691,0.03535533905932738,"[0.03535533905932738, 0.03535533905932738, 0.034544263994229996]",0.03535533905932738,"[2.356194490192345, 2.356194490192345, 2.332430607926954]",True,True,True,True,True,3
0.025,B_low_sideband_Kst_signal,well_first_signal,raw_well_triplet,"[12.14212149, 17.63498598, 23.50824274]","[15.95999999636321, 23.180000003167923, 30.900000000321644]",29000,4085.063416693653,3738.3949774433318,346.66843925032117,0.01195408411208004,0.000999000999000999,6.062572990012161,3.6594863078958433,13.116501897466435,18.019230906556412,0.03535533905932738,"[0.03535533905932738, 0.03535533905932738, 0.03535533905932738]",0.03535533905932738,"[-0.7853981633974483, -0.7853981633974483, -0.7853981633974483]",True,True,True,True,True,4
