A_MAX,region,N_events,D_base,best_branch,best_deltaD,best_deltaD_per_event,best_p,n_bound_active_branches,n_total_branches,all_bound_active
0.1,B_low_sideband_Kst_signal,29000,4049.998314317293,folded_trig_Q_4over9,1088.4689278297228,0.0375334113044732,0.000999000999000999,5,5,True
0.075,B_low_sideband_Kst_signal,29000,4049.9983143185987,well_first_Blow,975.4475220682984,0.03363612145063098,0.000999000999000999,5,5,True
0.05,B_low_sideband_Kst_signal,29000,4054.1798966393258,well_first_Blow,761.2116546406023,0.026248677746227665,0.000999000999000999,5,5,True
0.025,B_low_sideband_Kst_signal,29000,4085.063416693653,well_first_Blow,439.0895915494866,0.015141020398258159,0.000999000999000999,5,5,True
0.1,signal_B_signal_Kst,15630,1936.8238633170417,folded_trig_Q_4over9,457.44165295999755,0.029266900381317823,0.000999000999000999,5,5,True
0.075,signal_B_signal_Kst,15630,1942.5096571670801,folded_trig_Q_4over9,393.084633164101,0.02514936872451062,0.000999000999000999,5,5,True
0.05,signal_B_signal_Kst,15630,1956.6514605059988,well_first_signal,311.98375195303834,0.019960572741717104,0.000999000999000999,5,5,True
0.025,signal_B_signal_Kst,15630,1979.3038377027306,well_first_signal,184.8754334648886,0.011828242704087562,0.000999000999000999,5,5,True
0.1,B_high_sideband_Kst_signal,25850,2612.339799783642,scaled_Blow_to_signal,535.0492670543617,0.020698230833824438,0.000999000999000999,5,5,True
0.075,B_high_sideband_Kst_signal,25850,2612.339799784408,scaled_Blow_to_signal,494.08821729995634,0.019113664112183997,0.000999000999000999,5,5,True
0.05,B_high_sideband_Kst_signal,25850,2616.8646091082096,scaled_Blow_to_signal,393.3931789887447,0.015218304796469814,0.000999000999000999,5,5,True
0.025,B_high_sideband_Kst_signal,25850,2634.7184591627624,koide_exact_10_15_20,238.61353958093468,0.009230697856129,0.000999000999000999,5,5,True
