region,branch_label,branch_class,n_values,k_values,N_events,D_base,D_branch,deltaD,p_fixed_branch,null_mean,null_std,null_95,null_99,A1,amps,phases,bound_active,success_base,success_branch
B_low_sideband_Kst_signal,koide_exact_10_15_20,true_sideband_Q_2over3,"[10.0, 15.0, 20.0]","[13.14432573377522, 19.716488600662828, 26.28865146755044]",29000,4049.998314317293,3138.691810125244,911.306504192049,0.0003332222592469177,6.073192221069703,3.615258790335514,13.043239640998326,17.721151260822772,0.08754272051019318,"[0.11400091845441504, 0.1330112602097391, 0.1297339849558696]","[-1.0699696150198736, 2.4216083030640485, -2.408467932171602]",True,True,True
B_low_sideband_Kst_signal,folded_trig_Q_4over9,folded_subcentral_Q_4over9,"[6.6666666667, 15.0, 13.3333333333]","[8.762883822560628, 19.716488600662828, 17.525767644989813]",29000,4049.998314317293,2961.5293864875703,1088.4689278297228,0.0003332222592469177,5.945679588859472,3.3150910776695683,12.178497895039975,16.087088237846096,0.08754272051019318,"[0.12537862058515106, 0.14142135623730953, 0.11920763229942594]","[2.218313119596375, 2.356194490192345, 2.146384180701973]",True,True,True
B_low_sideband_Kst_signal,well_first_Blow,raw_well_triplet,"[9.81412076, 14.56141638, 19.01961387]","[12.90000000600456, 19.140000004385, 25.00000000379091]",29000,4049.998314317293,2970.259986659049,1079.738327658244,0.0003332222592469177,5.984547884514123,3.4955833012722746,12.714391302309423,16.702279147827607,0.08754272051019318,"[0.14142135623730953, 0.14142135623730953, 0.13556234783862414]","[-0.7853981633974483, -2.356194490192345, 0.8296097663520297]",True,True,True
B_low_sideband_Kst_signal,well_first_signal,raw_well_triplet,"[12.14212149, 17.63498598, 23.50824274]","[15.95999999636321, 23.180000003167923, 30.900000000321644]",29000,4049.998314317293,3312.213695009535,737.784619307758,0.0003332222592469177,5.912901162877475,3.40441928202393,12.277255130121898,16.36486877733346,0.08754272051019318,"[0.14142135623730953, 0.12145748987635718, 0.08496550276772648]","[-0.7853981633974483, -0.889275854823939, -0.7092505608924198]",True,True,True
B_low_sideband_Kst_signal,scaled_Blow_to_signal,scaled_raw_well_triplet,"[12.054560481352269, 17.88560368670903, 23.361551313118497]","[15.84490695443884, 23.509420080331445, 30.707184010593373]",29000,4049.998314317293,3299.3815835872742,750.6167307300188,0.0003332222592469177,5.991829297120666,3.483892506942839,12.651955610567848,16.345300947709795,0.08754272051019318,"[0.12774634641463145, 0.10445093113589542, 0.09243000015784707]","[-0.6716415146852964, -1.8637767974683372, -0.2986562249359524]",True,True,True
signal_B_signal_Kst,koide_exact_10_15_20,true_sideband_Q_2over3,"[10.0, 15.0, 20.0]","[13.14432573377522, 19.716488600662828, 26.28865146755044]",15630,1936.8238633170417,1563.7466922705707,373.077171046471,0.0003332222592469177,5.937749300504186,3.4462743024414992,12.427795954113625,15.947117387951817,0.1016435310434362,"[0.13595411505586577, 0.1326216068906595, 0.09094541951333819]","[-0.7443295523564081, 2.2874242502023825, -2.161249634520654]",True,True,True
signal_B_signal_Kst,folded_trig_Q_4over9,folded_subcentral_Q_4over9,"[6.6666666667, 15.0, 13.3333333333]","[8.762883822560628, 19.716488600662828, 17.525767644989813]",15630,1936.8238633170417,1479.3822103570442,457.44165295999755,0.0003332222592469177,5.897712982099115,3.3172202527894434,11.95761275629631,16.672596415925714,0.1016435310434362,"[0.10054184665320501, 0.11492080683914735, 0.10030151718894618]","[1.6746627087008155, 2.086056711791953, 1.648354244249401]",True,True,True
signal_B_signal_Kst,well_first_Blow,raw_well_triplet,"[9.81412076, 14.56141638, 19.01961387]","[12.90000000600456, 19.140000004385, 25.00000000379091]",15630,1936.8238633170417,1535.4337281940923,401.39013512294946,0.0003332222592469177,6.050763830686221,3.5417663707647495,12.583010871961402,17.332281451602285,0.1016435310434362,"[0.10531760944776868, 0.1264632556177654, 0.1123069810863365]","[-0.3191296905270709, -2.482818983489343, 0.941491247568159]",True,True,True
signal_B_signal_Kst,well_first_signal,raw_well_triplet,"[12.14212149, 17.63498598, 23.50824274]","[15.95999999636321, 23.180000003167923, 30.900000000321644]",15630,1936.8238633170417,1516.4022744165954,420.4215889004463,0.0003332222592469177,6.003298522240203,3.4590412247250475,12.614779191907262,16.959511038906065,0.1016435310434362,"[0.14142135623730953, 0.1265311322042693, 0.09652218121965292]","[-0.7853981633974483, -0.8218200206377387, -0.5102339017319893]",True,True,True
signal_B_signal_Kst,scaled_Blow_to_signal,scaled_raw_well_triplet,"[12.054560481352269, 17.88560368670903, 23.361551313118497]","[15.84490695443884, 23.509420080331445, 30.707184010593373]",15630,1936.8238633170417,1529.9752535202795,406.8486097967623,0.0003332222592469177,6.024363266568619,3.485138439469767,12.616151039132047,17.010176978581015,0.1016435310434362,"[0.13366455300269653, 0.10032235789864347, 0.09163197792409324]","[-0.7255395683459676, -1.6509828991013384, -0.10271834778585369]",True,True,True
