veto_label,region,active_intervals,delta_ell_A,N_active,hist_counts,D_base,A1,n_wells,n_triplets
tight,B_low_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,35517,34934,3884.1137710128205,0.05287313942568589,18,220
tight,signal_B_signal_Kst,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,18129,17902,1306.0678415611055,0.04330610803388519,10,120
tight,B_high_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,29644,29298,1681.935080727862,0.013649811083563397,11,165
baseline_wide,B_low_sideband_Kst_signal,"[[0.1, 8.0], [11.0, 12.5], [14.5, 19.0]]",4.780150335923678,29533,29000,4054.1798966393258,0.07071067811865477,21,220
baseline_wide,signal_B_signal_Kst,"[[0.1, 8.0], [11.0, 12.5], [14.5, 19.0]]",4.780150335923678,15863,15630,1956.6514605059988,0.051783930024509435,16,220
baseline_wide,B_high_sideband_Kst_signal,"[[0.1, 8.0], [11.0, 12.5], [14.5, 19.0]]",4.780150335923678,26244,25850,2616.8646091082096,0.05080223523770625,17,220
wider,B_low_sideband_Kst_signal,"[[0.1, 7.5], [11.5, 12.25], [14.75, 19.0]]",4.633862911538453,25139,24870,4678.579240330611,0.07071067811865477,22,220
wider,signal_B_signal_Kst,"[[0.1, 7.5], [11.5, 12.25], [14.75, 19.0]]",4.633862911538453,13830,13717,2160.184255846347,0.058845599954758715,18,220
wider,B_high_sideband_Kst_signal,"[[0.1, 7.5], [11.5, 12.25], [14.75, 19.0]]",4.633862911538453,23025,22848,3045.8089583225596,0.07071067811865477,20,220
very_wide,B_low_sideband_Kst_signal,"[[0.1, 7.0], [15.0, 19.0]]",4.48488402011359,21028,20887,2072.2963684619604,0.07071067811865477,16,220
very_wide,signal_B_signal_Kst,"[[0.1, 7.0], [15.0, 19.0]]",4.48488402011359,11874,11812,1356.3708000654544,0.07071067811865477,19,220
very_wide,B_high_sideband_Kst_signal,"[[0.1, 7.0], [15.0, 19.0]]",4.48488402011359,19891,19792,1710.7116957692501,0.07071067811865477,15,220
shift_low,B_low_sideband_Kst_signal,"[[0.1, 7.8], [10.8, 12.3], [14.3, 19.0]]",4.770941396838369,29053,28816,3944.469915833125,0.07071067811865477,20,220
shift_low,signal_B_signal_Kst,"[[0.1, 7.8], [10.8, 12.3], [14.3, 19.0]]",4.770941396838369,15867,15759,1871.673925635544,0.057219076126044946,16,220
shift_low,B_high_sideband_Kst_signal,"[[0.1, 7.8], [10.8, 12.3], [14.3, 19.0]]",4.770941396838369,26207,26045,2461.375697344505,0.05005699876245879,15,220
shift_high,B_low_sideband_Kst_signal,"[[0.1, 8.2], [11.2, 12.7], [14.7, 19.0]]",4.7889989478095005,30213,30106,3972.419051969645,0.05678011995222823,22,220
shift_high,signal_B_signal_Kst,"[[0.1, 8.2], [11.2, 12.7], [14.7, 19.0]]",4.7889989478095005,15908,15852,1811.2061777807346,0.050225419512195245,18,220
shift_high,B_high_sideband_Kst_signal,"[[0.1, 8.2], [11.2, 12.7], [14.7, 19.0]]",4.7889989478095005,26218,26120,2484.3982708836024,0.0525731304394095,18,220
