veto_label,region,active_intervals,delta_ell_A,n1,n2,n3,k1,k2,k3,deltaD1,deltaD2,deltaD3,Q_low,Q_high,Q_mean,koide_error,integer_error_10_15_20,mean_deltaD,score
tight,B_low_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,8.665728304734879,12.8102070591733,17.03317972941548,11.04,16.32,21.700000000000003,172.60162245692163,171.16918822806656,279.6729506656375,0.6764705882352942,0.6648284313725491,0.6706495098039216,0.009974767522119971,3.9214151270212794,207.81458711687523,93.20197617856547
tight,B_low_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,10.8321603809186,17.03317972941548,23.17140394526935,13.8,21.700000000000003,29.52,180.459760791382,279.6729506656375,219.23688665845475,0.6359447004608295,0.6801843317972349,0.6580645161290322,0.03356436321658404,3.8579934805215252,226.45653270515808,80.77326683560429
tight,B_low_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,9.701847993344483,13.924820663586665,18.05360063486433,12.36,17.740000000000002,23.0,238.74676663009495,307.2428258783066,164.88386125612487,0.6967305524239006,0.6482525366403606,0.6724915445321307,0.03525503384553358,2.243518601020162,236.9578179215088,97.02417223400177
tight,B_low_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,8.665728304734879,12.8102070591733,18.05360063486433,11.04,16.32,23.0,172.60162245692163,171.16918822806656,164.88386125612487,0.6764705882352942,0.7046568627450981,0.6905637254901962,0.039234829886230796,3.2193080885619887,169.55155731370436,60.8650224667183
tight,B_low_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,8.665728304734879,12.8102070591733,16.012758823966625,11.04,16.32,20.4,172.60162245692163,171.16918822806656,328.9053818046218,0.6764705882352942,0.625,0.6507352941176471,0.0428045323445416,4.740629312268164,224.22539749653666,68.88072376224319
tight,B_low_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,12.8102070591733,18.05360063486433,24.254619983361213,16.32,23.0,30.900000000000002,171.16918822806656,164.88386125612487,193.89722413297432,0.7095652173913043,0.6717391304347827,0.6906521739130436,0.04319740203939539,5.943360308401961,176.6500912057219,49.54044628736117
tight,B_low_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,8.665728304734879,13.924820663586665,18.05360063486433,11.04,17.740000000000002,23.0,172.60162245692163,307.2428258783066,164.88386125612487,0.6223224351747462,0.6482525366403606,0.6352874859075535,0.048015529271629755,2.593214617195502,214.90943653045102,75.44144650387437
tight,B_low_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,12.8102070591733,18.05360063486433,23.17140394526935,16.32,23.0,29.52,171.16918822806656,164.88386125612487,219.23688665845475,0.7095652173913043,0.6417391304347826,0.6756521739130434,0.049615196430793276,5.222982245493593,185.09664538088205,52.19686862039096
tight,B_low_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,10.8321603809186,17.03317972941548,24.254619983361213,13.8,21.700000000000003,30.900000000000002,180.459760791382,279.6729506656375,193.89722413297432,0.6359447004608295,0.7119815668202765,0.6739631336405529,0.054747414399989945,4.788329762505206,218.00997852999794,61.139701382608656
tight,B_low_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,10.8321603809186,16.012758823966625,23.17140394526935,13.8,20.4,29.52,180.459760791382,328.9053818046218,219.23688665845475,0.6764705882352942,0.7235294117647059,0.7,0.05770172144926341,3.4316139525247955,242.8673430848195,73.58620759101976
tight,B_low_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,9.701847993344483,13.924820663586665,17.03317972941548,12.36,17.740000000000002,21.700000000000003,238.74676663009495,307.2428258783066,279.6729506656375,0.6967305524239006,0.6116121758737316,0.654171364148816,0.06272825665753337,3.1696889031061293,275.2208477246797,81.89564424568248
tight,B_low_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,10.8321603809186,18.05360063486433,24.254619983361213,13.8,23.0,30.900000000000002,180.459760791382,164.88386125612487,193.89722413297432,0.6000000000000001,0.6717391304347827,0.6358695652173914,0.06685936234457579,5.302712413438146,179.74694872682707,44.9686406112836
tight,B_low_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,9.701847993344483,14.992337918517771,18.05360063486433,12.36,19.1,23.0,238.74676663009495,366.74036122747475,164.88386125612487,0.6471204188481674,0.6020942408376964,0.6246073298429319,0.06746594682667732,1.9691175219285126,256.79032970456484,80.7789058364328
tight,B_low_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,8.665728304734879,13.924820663586665,17.03317972941548,11.04,17.740000000000002,21.700000000000003,172.60162245692163,307.2428258783066,279.6729506656375,0.6223224351747462,0.6116121758737316,0.6169673055242388,0.07069234628358573,3.4261223095778535,253.17246633362188,69.86305129776648
tight,B_low_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,10.8321603809186,18.05360063486433,23.17140394526935,13.8,23.0,29.52,180.459760791382,164.88386125612487,219.23688665845475,0.6000000000000001,0.6417391304347826,0.6208695652173913,0.07117461982361634,4.480487777115839,188.19350290198722,48.26108707976545
tight,B_low_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,8.665728304734879,12.8102070591733,14.992337918517771,11.04,16.32,19.1,172.60162245692163,171.16918822806656,366.74036122747475,0.6764705882352942,0.585171568627451,0.6308210784313726,0.08208268929893298,5.626024671363878,236.8370573041543,53.11947029681269
tight,B_low_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,9.701847993344483,16.012758823966625,23.17140394526935,12.36,20.4,29.52,238.74676663009495,328.9053818046218,219.23688665845475,0.6058823529411764,0.7235294117647059,0.6647058823529411,0.08323523637957306,3.342510738750883,262.2963450310572,66.971982500187
tight,B_low_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,10.8321603809186,14.992337918517771,18.05360063486433,13.8,19.1,23.0,180.459760791382,366.74036122747475,164.88386125612487,0.7225130890052357,0.6020942408376964,0.662303664921466,0.08537224997301929,2.116842010085723,237.3613277583272,64.79056705245436
tight,B_low_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,12.8102070591733,17.03317972941548,23.17140394526935,16.32,21.700000000000003,29.52,171.16918822806656,279.6729506656375,219.23688665845475,0.7520737327188939,0.6801843317972349,0.7161290322580645,0.0864701925650203,4.69988154229481,223.35967518405292,51.504226091970246
tight,B_low_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,9.701847993344483,12.8102070591733,17.03317972941548,12.36,16.32,21.700000000000003,238.74676663009495,171.16918822806656,279.6729506656375,0.7573529411764706,0.6648284313725491,0.7110906862745099,0.0907049033595431,3.69947432221368,229.862968507933,54.8272994471639
tight,B_low_sideband_Kst_signal,"[[0.1, 8.5], [10.5, 12.8], [14.2, 19.0]]",4.931918184811636,10.8321603809186,16.012758823966625,24.254619983361213,13.8,20.4,30.900000000000002,180.459760791382,328.9053818046218,193.89722413297432,0.6764705882352942,0.7573529411764707,0.7169117647058825,0.09121467679376677,4.451961650543434,234.42078890965936,53.35800645592605
