KDE_BANDWIDTH_SCALE,model_label,real_deltaD,null_deltaD_mean,null_deltaD_std,null_deltaD_95,null_deltaD_99,null_deltaD_999,p_bootstrap_H0,NULL_N
0.5,WCT_Koide_sideband_Q_2over3,179.40159364674878,5.963948877781574,3.474960114938315,12.442562852139096,17.021838774356354,23.719075462279662,0.0001999600079984003,5000
0.5,WCT_folded_Q_4over9,234.65891567757228,5.986420420223259,3.431363769112126,12.500682515874617,16.863267488514744,23.024805460832823,0.0001999600079984003,5000
0.5,WCT_combined_Q_2over3_plus_4over9,358.7717908334489,9.996352039780543,4.50657059380914,18.39572583098406,23.25537869316763,29.874341836722465,0.0001999600079984003,5000
0.75,WCT_Koide_sideband_Q_2over3,310.32009880660485,5.944683118243682,3.4726037004933326,12.490084425044776,16.942566094472976,21.433851035255714,0.0001999600079984003,5000
0.75,WCT_folded_Q_4over9,389.7253883236699,6.002951478576939,3.4935386485922764,12.47051977524934,16.8279793268022,24.683821708750276,0.0001999600079984003,5000
0.75,WCT_combined_Q_2over3_plus_4over9,606.1530555897621,10.083815316176903,4.616036632074335,18.77191239285944,23.861117579565423,28.998100688684914,0.0001999600079984003,5000
1.0,WCT_Koide_sideband_Q_2over3,373.077171046471,5.93344502881565,3.4526874121063935,12.715730806058106,16.72670687443625,22.17022997849255,0.0001999600079984003,5000
1.0,WCT_folded_Q_4over9,457.4416529560142,6.001888218610535,3.445686235974488,12.679487169876033,16.66629161393208,21.34445441622865,0.0001999600079984003,5000
1.0,WCT_combined_Q_2over3_plus_4over9,720.4124367497625,9.909543997475826,4.43874612993506,18.139183821991036,23.403032003684956,31.990725713159204,0.0001999600079984003,5000
1.25,WCT_Koide_sideband_Q_2over3,388.39939635219594,5.993729414807841,3.4537454956086706,12.601880435273838,16.994160980615675,21.967156485493106,0.0001999600079984003,5000
1.25,WCT_folded_Q_4over9,501.61246231762993,5.9565679391265265,3.4145327303605923,12.674615699267632,16.770969687080754,21.934545463707998,0.0001999600079984003,5000
1.25,WCT_combined_Q_2over3_plus_4over9,758.665591490279,9.888652732494148,4.347057609583347,17.899642392902305,22.61942717981538,28.503279776372366,0.0001999600079984003,5000
1.5,WCT_Koide_sideband_Q_2over3,390.99368012641344,5.986946716565218,3.4235676744140036,12.523988934596861,16.755171129186575,20.49800430241697,0.0001999600079984003,5000
1.5,WCT_folded_Q_4over9,536.8493841814293,6.088252700099251,3.4819973086144,12.552978555420674,17.12982230990757,22.23571222067902,0.0001999600079984003,5000
1.5,WCT_combined_Q_2over3_plus_4over9,771.2925242825868,9.999282996425562,4.452224652705829,18.372195743123132,23.3153975870697,29.21231340288287,0.0001999600079984003,5000
