KDE_BANDWIDTH_SCALE,model_label,model_description,n_modes_added,n_values,k_values,N_events,N_bins_used,D_H0,D_H1,deltaD,dof_added,p_chi2_approx,p_bootstrap_H0,AIC_H0,AIC_H1,delta_AIC_H1_minus_H0,BIC_H0,BIC_H1,delta_BIC_H1_minus_H0,H0_A1,H1_amps,H1_any_bound_active,H0_success,H1_success
0.5,WCT_Koide_sideband_Q_2over3,spin-1/2 true sideband Koide comb,3,"[10.0, 15.0, 20.0]","[13.14432573377522, 19.716488600662828, 26.28865146755044]",15630,218,972.0589850626169,792.6573914158681,179.40159364674878,6,4.546570341091021e-36,0.0001999600079984003,-119933.75344285945,-120101.15503650618,-167.4015936467331,-119923.59995767109,-120070.69458094108,-147.09462326999346,0.06641544678604236,"[0.0860745493363466, 0.11085543381777861, 0.06969763379159477]",False,True,True
0.5,WCT_folded_Q_4over9,spin-3/2 folded/subcentral trig comb,3,"[6.666666666666666, 15.0, 13.333333333333332]","[8.762883822516812, 19.716488600662828, 17.525767645033625]",15630,218,972.0589850626169,737.4000693850446,234.65891567757228,6,7.756229757398008e-48,0.0001999600079984003,-119933.75344285945,-120156.41235853703,-222.65891567757353,-119923.59995767109,-120125.95190297192,-202.3519453008339,0.06641544678604236,"[0.09846345893594681, 0.09257678035044546, 0.10220283219986133]",True,True,True
0.5,WCT_combined_Q_2over3_plus_4over9,combined Koide sideband + folded trig branches,5,"[10.0, 15.0, 20.0, 6.666666666666666, 13.333333333333332]","[13.14432573377522, 19.716488600662828, 26.28865146755044, 8.762883822516812, 17.525767645033625]",15630,218,972.0589850626169,613.287194229168,358.7717908334489,10,5.47488779539089e-71,0.0001999600079984003,-119933.75344285945,-120272.5252336929,-338.77179083344527,-119923.59995767109,-120228.52679787664,-304.9268402055459,0.06641544678604236,"[0.1073439351698763, 0.11381830746802302, 0.051455332485990754, 0.10015637429473853, 0.10269669417909416]",True,True,True
0.75,WCT_Koide_sideband_Q_2over3,spin-1/2 true sideband Koide comb,3,"[10.0, 15.0, 20.0]","[13.14432573377522, 19.716488600662828, 26.28865146755044]",15630,218,1562.3884668249516,1252.0683680183467,310.32009880660485,6,5.023130034117639e-64,0.0001999600079984003,-119343.42396109713,-119641.74405990372,-298.3200988065946,-119333.27047590876,-119611.28360433862,-278.013128429855,0.0833348223866083,"[0.12494001114294037, 0.13571502377634637, 0.08569970285048649]",True,True,True
0.75,WCT_folded_Q_4over9,spin-3/2 folded/subcentral trig comb,3,"[6.666666666666666, 15.0, 13.333333333333332]","[8.762883822516812, 19.716488600662828, 17.525767645033625]",15630,218,1562.3884668249516,1172.6630785012817,389.7253883236699,6,4.519516434518209e-81,0.0001999600079984003,-119343.42396109713,-119721.1493494208,-377.7253883236699,-119333.27047590876,-119690.6888938557,-357.4184179469303,0.0833348223866083,"[0.10236703614328622, 0.11819143343875137, 0.10151406404141658]",True,True,True
0.75,WCT_combined_Q_2over3_plus_4over9,combined Koide sideband + folded trig branches,5,"[10.0, 15.0, 20.0, 6.666666666666666, 13.333333333333332]","[13.14432573377522, 19.716488600662828, 26.28865146755044, 8.762883822516812, 17.525767645033625]",15630,218,1562.3884668249516,956.2354112351895,606.1530555897621,10,8.458338032171104e-124,0.0001999600079984003,-119343.42396109713,-119929.57701668689,-586.1530555897625,-119333.27047590876,-119885.57858087063,-552.3081049618631,0.0833348223866083,"[0.13490821977397405, 0.12872235534814247, 0.06893559225536289, 0.10014262965304441, 0.10426529597387667]",True,True,True
1.0,WCT_Koide_sideband_Q_2over3,spin-1/2 true sideband Koide comb,3,"[10.0, 15.0, 20.0]","[13.14432573377522, 19.716488600662828, 26.28865146755044]",15630,218,1936.8238633170417,1563.7466922705707,373.077171046471,6,1.7079897880836311e-77,0.0001999600079984003,-118968.98856460502,-119330.0657356515,-361.077171046476,-118958.83507941666,-119299.6052800864,-340.77020066973637,0.1016435310434362,"[0.13595411505586577, 0.1326216068906595, 0.09094541951333819]",True,True,True
1.0,WCT_folded_Q_4over9,spin-3/2 folded/subcentral trig comb,3,"[6.666666666666666, 15.0, 13.333333333333332]","[8.762883822516812, 19.716488600662828, 17.525767645033625]",15630,218,1936.8238633170417,1479.3822103610275,457.4416529560142,6,1.2279654237309877e-95,0.0001999600079984003,-118968.98856460502,-119414.43021756104,-445.44165295601124,-118958.83507941666,-119383.96976199593,-425.1346825792716,0.1016435310434362,"[0.10054184725686931, 0.11492081220940316, 0.10030153106026328]",True,True,True
1.0,WCT_combined_Q_2over3_plus_4over9,combined Koide sideband + folded trig branches,5,"[10.0, 15.0, 20.0, 6.666666666666666, 13.333333333333332]","[13.14432573377522, 19.716488600662828, 26.28865146755044, 8.762883822516812, 17.525767645033625]",15630,218,1936.8238633170417,1216.4114265672792,720.4124367497625,10,2.6016968422840198e-148,0.0001999600079984003,-118968.98856460502,-119669.40100135478,-700.412436749757,-118958.83507941666,-119625.40256553852,-666.5674861218577,0.1016435310434362,"[0.14142135623730953, 0.12541785109788064, 0.07417887724333987, 0.1001504729776855, 0.10278364238185847]",True,True,True
1.25,WCT_Koide_sideband_Q_2over3,spin-1/2 true sideband Koide comb,3,"[10.0, 15.0, 20.0]","[13.14432573377522, 19.716488600662828, 26.28865146755044]",15630,218,2150.4585535866313,1762.0591572344354,388.39939635219594,6,8.71128817233389e-81,0.0001999600079984003,-118755.35387433541,-119131.75327068764,-376.39939635222254,-118745.20038914705,-119101.29281512254,-356.0924259754829,0.10005142082894378,"[0.12637033074991655, 0.12777101661403492, 0.09455582760591559]",True,True,True
