"stage","metric","python","r","abs_diff","rel_diff","tolerance","kind","status","explanation"
"domain","Delta_ell_A",4.78015033592368,4.78015033592368,0,0,1e-12,"abs","PASS","active-domain log length"
"domain","k(n=10)",13.1443257337752,13.1443257337752,0,0,1e-10,"abs","PASS",""
"domain","k(n=15)",19.7164886006628,19.7164886006628,0,0,1e-10,"abs","PASS",""
"domain","k(n=20)",26.2886514675504,26.2886514675504,0,0,1e-10,"abs","PASS",""
"28","scan_best_index",140,140,0,0,0,"abs","PASS","exact best grid index"
"28","scan_max_deltaChi2_relerr",1.16795462190566e-13,0,1.16795462190566e-13,1,1e-05,"abs","PASS","max abs over 1301-point scan"
"28","scan_best_k",8.78,8.78,1.77635683940025e-15,2.0231854662873e-16,1e-09,"abs","PASS","same grid index (exact); k matches to float precision"
"28","best_scan_delta_chi2",5.30354933194093,5.30354933194093,0,0,1e-05,"rel","PASS","WLS chi-square diagnostic"
"28","kref_delta_chi2",0.446805235743682,0.446805235743625,5.6843418860808e-14,1.27221917545786e-13,1e-05,"rel","PASS","WLS chi-square diagnostic"
"28","n15_delta_chi2",1.2124631626657,1.2124631626657,0,0,1e-05,"rel","PASS","WLS chi-square diagnostic"
"28","comb_101520_delta_chi2",4.14164117906893,4.14164117906893,0,0,1e-05,"rel","PASS","WLS chi-square diagnostic"
"28","alpha",0.284958979033728,0.284958979033728,3.33066907387547e-16,1.16882404799789e-15,1e-08,"rel","PASS","sideband scale"
"29","signal_B_signal_Kst.best_delta_chi2",352.891042690278,352.89104269028,1.81898940354586e-12,5.15453548970447e-15,1e-05,"rel","PASS",""
"29","signal_B_signal_Kst.comb_101520",75.7978759836915,75.7978759836951,3.63797880709171e-12,4.79957882708277e-14,1e-05,"rel","PASS",""
"29","B_low_sideband_Kst_signal.best_delta_chi2",956.240470357163,956.240470357166,3.63797880709171e-12,3.80446019580504e-15,1e-05,"rel","PASS",""
"29","B_low_sideband_Kst_signal.comb_101520",226.235421708887,226.235421708887,0,0,1e-05,"rel","PASS",""
"29","B_high_sideband_Kst_signal.best_delta_chi2",1044.78379036054,1044.78379036054,0,0,1e-05,"rel","PASS",""
"29","B_high_sideband_Kst_signal.comb_101520",378.889156516041,378.889156516041,0,0,1e-05,"rel","PASS",""
"29","sideband_subtracted.best_delta_chi2",1100.84732840534,1100.84732840534,0,0,1e-05,"rel","PASS","reproduces the stage-29 var=max(residual,1) quirk"
