"analysis_id","stage","script","implementation","mode","data_source","root_group","tree","q2_source","B_mass_branch","Kst_mass_branch","q2_range","B_mass_window","Kst_mass_window","sideband_windows","active_intervals","veto_scheme","delta_ell_A","hist_coord","n_bins","kde_training","kde_bandwidth","nuisance_terms","k1_fixed","k2_tested","k_scan_range","n_scan_points","integer_n_range","Q_values","amplitude_bound","null_model","null_count","bootstrap_count","seed","confirmatory","output_path","timestamp","git_commit"
"S09D_LOCAL_SCAN","09d","09d_two_mode_kde_baseline_polar_cupy.py / two_mode_kde_polar.R","python+R","parity","event","00382466+00382467","B0_KstMuMu/DecayTree","muon_four_vectors","B0_M","Kst_892_0_M","[0.1,19.0]","[5230,5330]","[795.9,995.9]",NA,"[[0.1,8.0],[11.0,12.5],[14.5,19.0]]","JPSI[8,11];PSI2S[12.5,14.5]",4.78015033592368,"linear_q2",60,"event_level_outside_widened_vetoes","1.5","k1_fixed",7.61054,"scan[18,24]","[18,24]",601,NA,NA,"radial_A1A2<=0.10","local_scan_max_poisson",5000,NA,12345,"exploratory","outputs_logcos_poisson_twomode_kde_polar","2026-06-22T23:16:11Z","f194e7a"
"S09D_REF_K2","09d","09d / two_mode_kde_polar.R","python+R","parity","event","00382466+00382467","B0_KstMuMu/DecayTree","muon_four_vectors","B0_M","Kst_892_0_M","[0.1,19.0]","[5230,5330]","[795.9,995.9]",NA,"[[0.1,8.0],[11.0,12.5],[14.5,19.0]]","JPSI[8,11];PSI2S[12.5,14.5]",4.78015033592368,"linear_q2",60,"event_level_outside_widened_vetoes","1.5","k1_fixed",7.61054,"19.5296","fixed",1,NA,NA,"radial_A1A2<=0.10","fixed_reference_poisson",5000,NA,12345,"confirmatory","outputs_logcos_poisson_twomode_kde_polar","2026-06-22T23:16:11Z","f194e7a"
"S12_INTWIND_BW0.50","12","12_wct_integer_winding_scan.py / integer_winding_scan.R","python+R","parity","event","00382466+00382467","B0_KstMuMu/DecayTree","muon_four_vectors","B0_M","Kst_892_0_M","[0.1,19.0]","[5230,5330]","[795.9,995.9]",NA,"[[0.1,8.0],[11.0,12.5],[14.5,19.0]]","JPSI[8,11];PSI2S[12.5,14.5]",4.78015033592368,"linear_q2",60,"event_level","0.5","k1_fixed",7.61054,"integer_n","n[10,22]",13,"[10,22]",NA,"radial_A2<=0.10","integer_scan_max_poisson",5000,NA,12345,"exploratory","outputs_wct_integer_winding","2026-06-22T23:16:11Z","f194e7a"
"S12_INTWIND_BW0.75","12","12_wct_integer_winding_scan.py / integer_winding_scan.R","python+R","parity","event","00382466+00382467","B0_KstMuMu/DecayTree","muon_four_vectors","B0_M","Kst_892_0_M","[0.1,19.0]","[5230,5330]","[795.9,995.9]",NA,"[[0.1,8.0],[11.0,12.5],[14.5,19.0]]","JPSI[8,11];PSI2S[12.5,14.5]",4.78015033592368,"linear_q2",60,"event_level","0.75","k1_fixed",7.61054,"integer_n","n[10,22]",13,"[10,22]",NA,"radial_A2<=0.10","integer_scan_max_poisson",5000,NA,12345,"exploratory","outputs_wct_integer_winding","2026-06-22T23:16:11Z","f194e7a"
"S12_INTWIND_BW1.00","12","12_wct_integer_winding_scan.py / integer_winding_scan.R","python+R","parity","event","00382466+00382467","B0_KstMuMu/DecayTree","muon_four_vectors","B0_M","Kst_892_0_M","[0.1,19.0]","[5230,5330]","[795.9,995.9]",NA,"[[0.1,8.0],[11.0,12.5],[14.5,19.0]]","JPSI[8,11];PSI2S[12.5,14.5]",4.78015033592368,"linear_q2",60,"event_level","1","k1_fixed",7.61054,"integer_n","n[10,22]",13,"[10,22]",NA,"radial_A2<=0.10","integer_scan_max_poisson",5000,NA,12345,"exploratory","outputs_wct_integer_winding","2026-06-22T23:16:11Z","f194e7a"
"S12_INTWIND_BW1.25","12","12_wct_integer_winding_scan.py / integer_winding_scan.R","python+R","parity","event","00382466+00382467","B0_KstMuMu/DecayTree","muon_four_vectors","B0_M","Kst_892_0_M","[0.1,19.0]","[5230,5330]","[795.9,995.9]",NA,"[[0.1,8.0],[11.0,12.5],[14.5,19.0]]","JPSI[8,11];PSI2S[12.5,14.5]",4.78015033592368,"linear_q2",60,"event_level","1.25","k1_fixed",7.61054,"integer_n","n[10,22]",13,"[10,22]",NA,"radial_A2<=0.10","integer_scan_max_poisson",5000,NA,12345,"exploratory","outputs_wct_integer_winding","2026-06-22T23:16:11Z","f194e7a"
"S12_INTWIND_BW1.50","12","12_wct_integer_winding_scan.py / integer_winding_scan.R","python+R","parity","event","00382466+00382467","B0_KstMuMu/DecayTree","muon_four_vectors","B0_M","Kst_892_0_M","[0.1,19.0]","[5230,5330]","[795.9,995.9]",NA,"[[0.1,8.0],[11.0,12.5],[14.5,19.0]]","JPSI[8,11];PSI2S[12.5,14.5]",4.78015033592368,"linear_q2",60,"event_level","1.5","k1_fixed",7.61054,"integer_n","n[10,22]",13,"[10,22]",NA,"radial_A2<=0.10","integer_scan_max_poisson",5000,NA,12345,"exploratory","outputs_wct_integer_winding","2026-06-22T23:16:11Z","f194e7a"
"S13_COMB_PAR_BW0.50","13","13_wct_koide_trig_comb_scan_cupy.py / koide_comb_scan.R","python+R","parity","event","00382466+00382467","B0_KstMuMu/DecayTree","muon_four_vectors","B0_M","Kst_892_0_M","[0.1,19.0]","[5230,5330]","[795.9,995.9]",NA,"[[0.1,8.0],[11.0,12.5],[14.5,19.0]]","JPSI[8,11];PSI2S[12.5,14.5]",4.78015033592368,"log_q2",240,"hist_centers_repeated_by_counts","0.5","k1_fixed",7.61054,"comb_models","model_family",NA,NA,"{2/3,4/9,...}","coef_ab_in[-0.1,0.1]","model_scan_max_poisson",5000,NA,12345,"exploratory","outputs_wct_koide_comb","2026-06-22T23:16:11Z","f194e7a"
"S13_COMB_PAR_BW0.75","13","13_wct_koide_trig_comb_scan_cupy.py / koide_comb_scan.R","python+R","parity","event","00382466+00382467","B0_KstMuMu/DecayTree","muon_four_vectors","B0_M","Kst_892_0_M","[0.1,19.0]","[5230,5330]","[795.9,995.9]",NA,"[[0.1,8.0],[11.0,12.5],[14.5,19.0]]","JPSI[8,11];PSI2S[12.5,14.5]",4.78015033592368,"log_q2",240,"hist_centers_repeated_by_counts","0.75","k1_fixed",7.61054,"comb_models","model_family",NA,NA,"{2/3,4/9,...}","coef_ab_in[-0.1,0.1]","model_scan_max_poisson",5000,NA,12345,"exploratory","outputs_wct_koide_comb","2026-06-22T23:16:11Z","f194e7a"
"S13_COMB_PAR_BW1.00","13","13_wct_koide_trig_comb_scan_cupy.py / koide_comb_scan.R","python+R","parity","event","00382466+00382467","B0_KstMuMu/DecayTree","muon_four_vectors","B0_M","Kst_892_0_M","[0.1,19.0]","[5230,5330]","[795.9,995.9]",NA,"[[0.1,8.0],[11.0,12.5],[14.5,19.0]]","JPSI[8,11];PSI2S[12.5,14.5]",4.78015033592368,"log_q2",240,"hist_centers_repeated_by_counts","1","k1_fixed",7.61054,"comb_models","model_family",NA,NA,"{2/3,4/9,...}","coef_ab_in[-0.1,0.1]","model_scan_max_poisson",5000,NA,12345,"exploratory","outputs_wct_koide_comb","2026-06-22T23:16:11Z","f194e7a"
"S13_COMB_PAR_BW1.25","13","13_wct_koide_trig_comb_scan_cupy.py / koide_comb_scan.R","python+R","parity","event","00382466+00382467","B0_KstMuMu/DecayTree","muon_four_vectors","B0_M","Kst_892_0_M","[0.1,19.0]","[5230,5330]","[795.9,995.9]",NA,"[[0.1,8.0],[11.0,12.5],[14.5,19.0]]","JPSI[8,11];PSI2S[12.5,14.5]",4.78015033592368,"log_q2",240,"hist_centers_repeated_by_counts","1.25","k1_fixed",7.61054,"comb_models","model_family",NA,NA,"{2/3,4/9,...}","coef_ab_in[-0.1,0.1]","model_scan_max_poisson",5000,NA,12345,"exploratory","outputs_wct_koide_comb","2026-06-22T23:16:11Z","f194e7a"
"S13_COMB_PAR_BW1.50","13","13_wct_koide_trig_comb_scan_cupy.py / koide_comb_scan.R","python+R","parity","event","00382466+00382467","B0_KstMuMu/DecayTree","muon_four_vectors","B0_M","Kst_892_0_M","[0.1,19.0]","[5230,5330]","[795.9,995.9]",NA,"[[0.1,8.0],[11.0,12.5],[14.5,19.0]]","JPSI[8,11];PSI2S[12.5,14.5]",4.78015033592368,"log_q2",240,"hist_centers_repeated_by_counts","1.5","k1_fixed",7.61054,"comb_models","model_family",NA,NA,"{2/3,4/9,...}","coef_ab_in[-0.1,0.1]","model_scan_max_poisson",5000,NA,12345,"exploratory","outputs_wct_koide_comb","2026-06-22T23:16:11Z","f194e7a"
"S13_COMB_RAD_BW0.50","13","13_wct_koide_trig_comb_scan_cupy.py / koide_comb_scan.R","python+R","corrected_audit","event","00382466+00382467","B0_KstMuMu/DecayTree","muon_four_vectors","B0_M","Kst_892_0_M","[0.1,19.0]","[5230,5330]","[795.9,995.9]",NA,"[[0.1,8.0],[11.0,12.5],[14.5,19.0]]","JPSI[8,11];PSI2S[12.5,14.5]",4.78015033592368,"log_q2",240,"hist_centers_repeated_by_counts","0.5","k1_fixed",7.61054,"comb_models","model_family",NA,NA,"{2/3,4/9,...}","radial<=0.1","model_scan_max_poisson",5000,NA,12345,"exploratory","outputs_statistical_audit_r/comb_radial_corrected","2026-06-22T23:16:11Z","f194e7a"
"S13_COMB_RAD_BW0.75","13","13_wct_koide_trig_comb_scan_cupy.py / koide_comb_scan.R","python+R","corrected_audit","event","00382466+00382467","B0_KstMuMu/DecayTree","muon_four_vectors","B0_M","Kst_892_0_M","[0.1,19.0]","[5230,5330]","[795.9,995.9]",NA,"[[0.1,8.0],[11.0,12.5],[14.5,19.0]]","JPSI[8,11];PSI2S[12.5,14.5]",4.78015033592368,"log_q2",240,"hist_centers_repeated_by_counts","0.75","k1_fixed",7.61054,"comb_models","model_family",NA,NA,"{2/3,4/9,...}","radial<=0.1","model_scan_max_poisson",5000,NA,12345,"exploratory","outputs_statistical_audit_r/comb_radial_corrected","2026-06-22T23:16:11Z","f194e7a"
