"label","Q","bandwidth","deltaD_parity","radial_max","radial_above_0p1","coef_bound_parity","radial_bound_corrected","corrected_note","corrected_available"
"threshold_Q1",1,0.5,95.1322349700527,0.0529955651956914,FALSE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","within 0.1; parity==corrected at amplitude level",FALSE
"near_075",0.75,0.5,207.759536858101,0.112322093930162,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.745000",0.745,0.5,203.202256273659,0.11284730169546,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.740000",0.74,0.5,198.824829228755,0.115161692933799,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.735000",0.735,0.5,196.056382146613,0.112327007247986,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.730000",0.73,0.5,194.626182893583,0.111121766953247,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.725000",0.725,0.5,193.596120383927,0.109992922562326,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.720000",0.72,0.5,192.440806231268,0.108700916166348,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.715000",0.715,0.5,191.059820151175,0.107879555121336,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.710000",0.71,0.5,189.352103530691,0.106749716185683,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.705000",0.705,0.5,187.732899785244,0.106008900018445,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.700000",0.7,0.5,186.612999673884,0.105859662559425,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.695000",0.695,0.5,186.078576943718,0.106295193947911,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.690000",0.69,0.5,185.787848056265,0.107091550805974,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.685000",0.685,0.5,185.190871911418,0.107962555425358,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.680000",0.68,0.5,183.868871762541,0.108752677840966,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.675000",0.675,0.5,181.952097887529,0.109535528792872,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.670000",0.67,0.5,180.158605112346,0.110359217524885,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"koide_lepton",0.666666666666667,0.5,179.401593646749,0.110855433817779,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
"dense_Q_0.665000",0.665,0.5,179.197725059264,0.111057697199696,TRUE,"|a|,|b|<=0.1","sqrt(a^2+b^2)<=0.1","PARITY radial exceeds 0.1; corrected refit (event-level) would reduce deltaD",FALSE
