"KDE_BANDWIDTH_SCALE","label","Q","n_minus","n0","n_plus","k_minus","k0","k_plus","deltaD","p_vs_model_scanmax_null","p_vs_fixed_model_null","A_minus","A0","A_plus","any_A_bound_active","success","radial_max","radial_above_0p1","mode"
0.5,"threshold_Q1",1,15,15,30,19.7164886006628,19.7164886006628,39.4329772013257,95.1322349700527,0.0001999600079984,0.0001999600079984,0.0529955651956914,0.0529955651956914,0.0484222451043782,"False","True",0.0529955651956914,FALSE,"parity"
0.5,"near_075",0.75,11.25,15,22.5,14.7873664504971,19.7164886006628,29.5747329009942,207.759536858101,0.0001999600079984,0.0001999600079984,0.103461109336546,0.112322093930162,0.0737499009402876,"True","True",0.112322093930162,TRUE,"parity"
0.5,"dense_Q_0.745000",0.745,11.175,15,22.35,14.6887840074938,19.7164886006628,29.3775680149876,203.202256273659,0.0001999600079984,0.0001999600079984,0.112229274502425,0.11284730169546,0.0697394978582774,"True","True",0.11284730169546,TRUE,"parity"
0.5,"dense_Q_0.740000",0.74,11.1,15,22.2,14.5902015644905,19.7164886006628,29.180403128981,198.824829228755,0.0001999600079984,0.0001999600079984,0.115161692933799,0.113011770714673,0.0664254706967395,"False","True",0.115161692933799,TRUE,"parity"
0.5,"dense_Q_0.735000",0.735,11.025,15,22.05,14.4916191214872,19.7164886006628,28.9832382429744,196.056382146613,0.0001999600079984,0.0001999600079984,0.112327007247986,0.112026780211513,0.0654209336955132,"False","True",0.112327007247986,TRUE,"parity"
0.5,"dense_Q_0.730000",0.73,10.95,15,21.9,14.3930366784839,19.7164886006628,28.7860733569677,194.626182893583,0.0001999600079984,0.0001999600079984,0.109365561540013,0.111121766953247,0.0662109369464221,"False","True",0.111121766953247,TRUE,"parity"
0.5,"dense_Q_0.725000",0.725,10.875,15,21.75,14.2944542354806,19.7164886006628,28.5889084709611,193.596120383927,0.0001999600079984,0.0001999600079984,0.103852846920401,0.109992922562326,0.0675886161113435,"True","True",0.109992922562326,TRUE,"parity"
0.5,"dense_Q_0.720000",0.72,10.8,15,21.6,14.1958717924772,19.7164886006628,28.3917435849545,192.440806231268,0.0001999600079984,0.0001999600079984,0.10013981851261,0.108700916166348,0.069248879090063,"True","True",0.108700916166348,TRUE,"parity"
0.5,"dense_Q_0.715000",0.715,10.725,15,21.45,14.0972893494739,19.7164886006628,28.1945786989478,191.059820151175,0.0001999600079984,0.0001999600079984,0.100726320106462,0.107879555121336,0.07040473826042,"False","True",0.107879555121336,TRUE,"parity"
0.5,"dense_Q_0.710000",0.71,10.65,15,21.3,13.9987069064706,19.7164886006628,27.9974138129412,189.352103530691,0.0001999600079984,0.0001999600079984,0.0981086174717268,0.106749716185683,0.0710709590118728,"False","True",0.106749716185683,TRUE,"parity"
0.5,"dense_Q_0.705000",0.705,10.575,15,21.15,13.9001244634673,19.7164886006628,27.8002489269346,187.732899785244,0.0001999600079984,0.0001999600079984,0.0955915822530344,0.106008900018445,0.0714550396630859,"False","True",0.106008900018445,TRUE,"parity"
0.5,"dense_Q_0.700000",0.7,10.5,15,21,13.801542020464,19.7164886006628,27.603084040928,186.612999673884,0.0001999600079984,0.0001999600079984,0.0932891693132686,0.105859662559425,0.0719340282087724,"False","True",0.105859662559425,TRUE,"parity"
0.5,"dense_Q_0.695000",0.695,10.425,15,20.85,13.7029595774607,19.7164886006628,27.4059191549213,186.078576943718,0.0001999600079984,0.0001999600079984,0.0914065431156654,0.106295193947911,0.0725637068090815,"False","True",0.106295193947911,TRUE,"parity"
0.5,"dense_Q_0.690000",0.69,10.35,15,20.7,13.6043771344574,19.7164886006628,27.2087542689147,185.787848056265,0.0001999600079984,0.0001999600079984,0.0900466761656145,0.107091550805974,0.0730331304428409,"False","True",0.107091550805974,TRUE,"parity"
0.5,"dense_Q_0.685000",0.685,10.275,15,20.55,13.505794691454,19.7164886006628,27.0115893829081,185.190871911418,0.0001999600079984,0.0001999600079984,0.0890801755421487,0.107962555425358,0.0729866585662504,"False","True",0.107962555425358,TRUE,"parity"
0.5,"dense_Q_0.680000",0.68,10.2,15,20.4,13.4072122484507,19.7164886006628,26.8144244969015,183.868871762541,0.0001999600079984,0.0001999600079984,0.0883142539303566,0.108752677840966,0.0721759947950976,"False","True",0.108752677840966,TRUE,"parity"
0.5,"dense_Q_0.675000",0.675,10.125,15,20.25,13.3086298054474,19.7164886006628,26.6172596108948,181.952097887529,0.0001999600079984,0.0001999600079984,0.0875776082842057,0.109535528792872,0.0708050030631584,"False","True",0.109535528792872,TRUE,"parity"
0.5,"dense_Q_0.670000",0.67,10.05,15,20.1,13.2100473624441,19.7164886006628,26.4200947248882,180.158605112346,0.0001999600079984,0.0001999600079984,0.0867414982755608,0.110359217524885,0.0697590281480377,"False","True",0.110359217524885,TRUE,"parity"
0.5,"koide_lepton",0.666666666666667,10,15,20,13.1443257337752,19.7164886006628,26.2886514675504,179.401593646749,0.0001999600079984,0.0001999600079984,0.0860745493363466,0.110855433817779,0.0696976337915948,"False","True",0.110855433817779,TRUE,"parity"
0.5,"dense_Q_0.665000",0.665,9.975,15,19.95,13.1114649194408,19.7164886006628,26.2229298388816,179.197725059264,0.0001999600079984,0.0001999600079984,0.0856952975125176,0.111057697199696,0.0699022996814864,"False","True",0.111057697199696,TRUE,"parity"
0.5,"dense_Q_0.660000",0.66,9.9,15,19.8,13.0128824764375,19.7164886006628,26.0257649528749,179.262870381265,0.0001999600079984,0.0001999600079984,0.0843389019507304,0.111322526462462,0.0714029309110625,"False","True",0.111322526462462,TRUE,"parity"
