"step","count","kind","source"
"root_files_discovered",6,"sequential","28 provenance"
"trees_discovered",6,"sequential","28 provenance"
"raw_events_loaded_q2_range",17411254,"sequential","28 provenance sum"
"selected_after_mass_cuts_before_charm_09d",298801,"sequential","09d summary (committed target)"
"retained_fit_bins_09d_60bin_mask",43,"diagnostic_bins","09d summary (committed target)"
"signal_active_events_28",15863,"sequential","28 summary"
"B_low_sideband_active_events_28",29533,"diagnostic","28 summary"
"B_high_sideband_active_events_28",26244,"diagnostic","28 summary"
"signal_hist_sum_28",15630,"sequential","28 summary"
"sideband_hist_sum_28",54850,"diagnostic","28 summary"
