"stage","nominal_alpha","realised_rate","ci_lo","ci_hi","n_outer","threshold_deltaChi2","mc_resolution","status","note"
"28",0.1,0.1,0.0412010804637984,0.158798919536202,100,18.3468721280006,0.01,"DEVELOPMENT_ONLY","self-consistent WLS scan-max null; event-free"
"28",0.05,0.05,0.00728357529205296,0.0927164247079471,100,20.6551005059397,0.01,"DEVELOPMENT_ONLY","self-consistent WLS scan-max null; event-free"
"28",0.01,0.01,0,0.0295013954179879,100,29.7732147530621,0.01,"DEVELOPMENT_ONLY","self-consistent WLS scan-max null; event-free"
"09d",0.1,NA,NA,NA,0,NA,NA,"UNAVAILABLE_NO_EVENT_DATA","needs event-level regeneration + KDE retrain"
"09d",0.05,NA,NA,NA,0,NA,NA,"UNAVAILABLE_NO_EVENT_DATA","needs event-level regeneration + KDE retrain"
"09d",0.01,NA,NA,NA,0,NA,NA,"UNAVAILABLE_NO_EVENT_DATA","needs event-level regeneration + KDE retrain"
"12",0.1,NA,NA,NA,0,NA,NA,"UNAVAILABLE_NO_EVENT_DATA","needs event-level regeneration + KDE retrain"
"12",0.05,NA,NA,NA,0,NA,NA,"UNAVAILABLE_NO_EVENT_DATA","needs event-level regeneration + KDE retrain"
"12",0.01,NA,NA,NA,0,NA,NA,"UNAVAILABLE_NO_EVENT_DATA","needs event-level regeneration + KDE retrain"
"13",0.1,NA,NA,NA,0,NA,NA,"UNAVAILABLE_NO_EVENT_DATA","needs event-level regeneration + KDE retrain"
"13",0.05,NA,NA,NA,0,NA,NA,"UNAVAILABLE_NO_EVENT_DATA","needs event-level regeneration + KDE retrain"
"13",0.01,NA,NA,NA,0,NA,NA,"UNAVAILABLE_NO_EVENT_DATA","needs event-level regeneration + KDE retrain"
