mc,delta_chi2_vs_const,delta_chi2_vs_charm,p_local_rough_vs_const,p_local_rough_vs_charm,best_k,wct_aic_minus_charm_aic,wct_bic_minus_charm_bic,wct_preferred_over_charm_by_aic,wct_preferred_over_charm_by_bic,hit_delta_vs_const,hit_delta_vs_charm,hit_k_window,hit_delta_vs_charm_and_k
0,935.7172602096351,-157.6220008943667,0.0,1.0,2.0,161.6220008943667,163.16717833884627,False,False,True,False,False,False
1,825.4412742720468,-156.58127490295695,0.0,1.0,2.0,160.58127490295695,162.12645234743653,False,False,True,False,False,False
2,764.2304048070516,-167.03204496318898,0.0,1.0,2.0,171.03204496318898,172.57722240766856,False,False,True,False,False,False
3,827.9926608279711,-179.98386549241124,0.0,1.0,2.0,183.98386549241124,185.52904293689082,False,False,True,False,False,False
4,927.3746707706271,-187.9444875508237,0.0,1.0,2.0,191.9444875508237,193.4896649953033,False,False,True,False,False,False
5,819.8471040256371,-151.54363411243295,0.0,1.0,2.0,155.54363411243295,157.08881155691253,False,False,True,False,False,False
6,838.0308225646505,-169.37474276438732,0.0,1.0,2.0,173.37474276438732,174.9199202088669,False,False,True,False,False,False
7,784.4463932488143,-98.73387800398802,0.0,1.0,2.0,102.73387800398802,104.27905544846757,False,False,True,False,False,False
8,725.3768122611436,-171.03287800537407,0.0,1.0,2.0,175.03287800537407,176.57805544985362,False,False,True,False,False,False
9,843.8259172416956,-119.11306190889358,0.0,1.0,2.0,123.11306190889357,124.65823935337315,False,False,True,False,False,False
10,823.1442470002473,-180.28176497435282,0.0,1.0,2.0,184.28176497435282,185.8269424188324,False,False,True,False,False,False
11,786.771495882397,-86.7532274511812,0.0,1.0,2.0,90.7532274511812,92.29840489566075,False,False,True,False,False,False
12,736.1750115693952,-179.05432581318513,0.0,1.0,2.0,183.05432581318513,184.5995032576647,False,False,True,False,False,False
13,880.6778815300551,-162.9824225403158,0.0,1.0,2.0,166.9824225403158,168.5275999847954,False,False,True,False,False,False
14,783.4705665471981,-140.5825081833909,0.0,1.0,2.0,144.5825081833909,146.12768562787045,False,False,True,False,False,False
15,774.0462075885627,-201.97158451692997,0.0,1.0,2.0,205.97158451692997,207.51676196140954,False,False,True,False,False,False
16,753.4037368297327,-175.15407083396292,0.0,1.0,2.0,179.15407083396292,180.6992482784425,False,False,True,False,False,False
17,828.250677698383,-153.7307655811258,0.0,1.0,2.0,157.7307655811258,159.2759430256054,False,False,True,False,False,False
18,758.8193000162464,-112.47539243564984,0.0,1.0,2.0,116.47539243564984,118.02056988012941,False,False,True,False,False,False
19,871.0991643398813,-113.56116200521092,0.0,1.0,2.0,117.56116200521092,119.10633944969048,False,False,True,False,False,False
20,744.8083293783586,-136.40783440303335,0.0,1.0,2.0,140.40783440303335,141.95301184751293,False,False,True,False,False,False
21,814.653936340719,-186.99761837927736,0.0,1.0,2.0,190.99761837927736,192.54279582375693,False,False,True,False,False,False
22,834.3345184909407,-101.2777946039136,0.0,1.0,2.0,105.2777946039136,106.82297204839317,False,False,True,False,False,False
23,905.4910136217433,-174.81306681292614,0.0,1.0,2.0,178.81306681292614,180.35824425740572,False,False,True,False,False,False
24,799.1439405998486,-164.74252394476835,0.0,1.0,2.0,168.74252394476838,170.28770138924793,False,False,True,False,False,False
25,799.0098737363317,-183.19748064516844,0.0,1.0,2.0,187.19748064516844,188.74265808964802,False,False,True,False,False,False
26,799.0278744500208,-167.93022814100132,0.0,1.0,2.0,171.93022814100132,173.4754055854809,False,False,True,False,False,False
27,914.9884873518859,-177.07341223421582,0.0,1.0,2.0,181.07341223421582,182.6185896786954,False,False,True,False,False,False
28,745.3503255203378,-114.58902453823092,0.0,1.0,2.0,118.58902453823092,120.13420198271047,False,False,True,False,False,False
29,787.21213548211,-145.99292765066104,0.0,1.0,2.0,149.99292765066104,151.53810509514062,False,False,True,False,False,False
30,649.067471281114,-132.46630686098194,0.0,1.0,2.0,136.46630686098194,138.01148430546152,False,False,True,False,False,False
31,795.6479818272435,-138.56928859916903,0.0,1.0,2.0,142.569288599169,144.11446604364858,False,False,True,False,False,False
32,741.3778690200409,-151.18575401987272,0.0,1.0,2.0,155.18575401987272,156.7309314643523,False,False,True,False,False,False
33,725.0916349939519,-132.85793343380053,0.0,1.0,2.0,136.85793343380053,138.4031108782801,False,False,True,False,False,False
34,755.7456172743343,-150.3090788089964,0.0,1.0,2.0,154.3090788089964,155.85425625347597,False,False,True,False,False,False
35,776.1498177589168,-166.16569751063554,0.0,1.0,2.0,170.16569751063554,171.7108749551151,False,False,True,False,False,False
36,805.6934035009255,-136.08818995512777,0.0,1.0,2.0,140.08818995512777,141.63336739960735,False,False,True,False,False,False
37,763.8493099701656,-153.3854388652174,0.0,1.0,2.0,157.3854388652174,158.93061630969697,False,False,True,False,False,False
38,839.5878741416119,-179.0553609723987,0.0,1.0,2.0,183.0553609723987,184.60053841687827,False,False,True,False,False,False
39,924.9309447797689,-141.4646812319332,0.0,1.0,2.0,145.4646812319332,147.0098586764128,False,False,True,False,False,False
40,806.3936426731498,-176.96166205801177,0.0,1.0,2.0,180.96166205801177,182.50683950249135,False,False,True,False,False,False
41,781.885007218367,-175.72691420952708,0.0,1.0,2.0,179.72691420952708,181.27209165400666,False,False,True,False,False,False
42,773.0498764766558,-203.28426727595996,0.0,1.0,2.0,207.28426727595996,208.82944472043954,False,False,True,False,False,False
43,784.1515622891221,-149.15921400707387,0.0,1.0,2.0,153.15921400707387,154.70439145155345,False,False,True,False,False,False
44,812.825656377184,-181.4876085099668,0.0,1.0,2.0,185.4876085099668,187.03278595444635,False,False,True,False,False,False
45,805.9803697722093,-165.39072635204298,0.0,1.0,2.0,169.39072635204298,170.93590379652255,False,False,True,False,False,False
46,761.396412656792,-113.59873301913842,0.0,1.0,2.0,117.59873301913844,119.14391046361797,False,False,True,False,False,False
47,746.556657655997,-202.09783619790335,0.0,1.0,2.0,206.09783619790335,207.64301364238293,False,False,True,False,False,False
48,801.4034347486299,-119.71161634043968,0.0,1.0,2.0,123.71161634043969,125.25679378491924,False,False,True,False,False,False
49,900.4880057816239,-168.08719288698435,0.0,1.0,2.0,172.08719288698435,173.63237033146393,False,False,True,False,False,False
50,851.8815834919549,-121.34227669569506,0.0,1.0,2.0,125.34227669569506,126.88745414017464,False,False,True,False,False,False
51,801.8085339345131,-159.62467706228907,0.0,1.0,2.0,163.62467706228907,165.16985450676864,False,False,True,False,False,False
52,776.9076771536994,-169.5852537902697,0.0,1.0,2.0,173.5852537902697,175.13043123474924,False,False,True,False,False,False
53,892.2031948151002,-151.41026782802297,0.0,1.0,2.0,155.41026782802297,156.95544527250254,False,False,True,False,False,False
54,820.1055178180445,-208.84021006550617,0.0,1.0,2.0,212.84021006550617,214.38538750998572,False,False,True,False,False,False
55,878.9311374434983,-140.91193553433706,0.0,1.0,2.0,144.91193553433706,146.4571129788166,False,False,True,False,False,False
56,749.6382364626638,-180.2754234359229,0.0,1.0,2.0,184.2754234359229,185.82060088040248,False,False,True,False,False,False
57,775.6570833136774,-153.44230579592522,0.0,1.0,2.0,157.44230579592522,158.98748324040477,False,False,True,False,False,False
58,818.9756749856551,-137.79055525200707,0.0,1.0,2.0,141.79055525200707,143.33573269648664,False,False,True,False,False,False
59,746.9995174203607,-121.55895444525733,0.0,1.0,2.0,125.55895444525733,127.10413188973689,False,False,True,False,False,False
60,819.5794139370635,-143.6529121266838,0.0,1.0,2.0,147.6529121266838,149.19808957116337,False,False,True,False,False,False
61,756.8033447273888,-183.83828931247575,0.0,1.0,2.0,187.83828931247575,189.38346675695533,False,False,True,False,False,False
62,807.5016685419388,-169.60163751119254,0.0,1.0,2.0,173.60163751119254,175.14681495567208,False,False,True,False,False,False
63,841.4364416828455,-129.21682067546502,0.0,1.0,2.0,133.21682067546502,134.7619981199446,False,False,True,False,False,False
64,880.6891303122284,-198.7332049044731,0.0,1.0,2.0,202.7332049044731,204.27838234895268,False,False,True,False,False,False
65,812.2113144801682,-166.62082723854388,0.0,1.0,2.0,170.62082723854388,172.16600468302346,False,False,True,False,False,False
66,809.4705826764134,-202.39447544954734,0.0,1.0,2.0,206.39447544954731,207.9396528940269,False,False,True,False,False,False
67,799.2916739378594,-159.2931196654827,0.0,1.0,2.0,163.2931196654827,164.83829710996227,False,False,True,False,False,False
68,769.6224908242591,-136.92346689964933,0.0,1.0,2.0,140.92346689964933,142.4686443441289,False,False,True,False,False,False
69,826.6493928304808,-152.75989057062216,0.0,1.0,2.0,156.75989057062216,158.3050680151017,False,False,True,False,False,False
70,875.5535893501301,-149.49437822740987,0.0,1.0,2.0,153.49437822740987,155.03955567188945,False,False,True,False,False,False
71,828.2333485606689,-148.62525611013805,0.0,1.0,2.0,152.62525611013805,154.17043355461763,False,False,True,False,False,False
72,709.7756457642988,-166.73673375591005,0.0,1.0,2.0,170.73673375591005,172.28191120038963,False,False,True,False,False,False
